Fixed,,,,,,,,,,,,
,,,,,,,,,,,,
Table 1: Summary of network access & call revenues (£millions),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
2009,"6,738","1,709",338,"2,199","2,492",25.40%,,,,,,
2010,"6,741","1,605",328,"2,488","2,320",23.80%,,,,,,
2011,"6,485","1,386",302,"2,796","2,001",21.40%,,,,,,
2012,"5,885","1,176",275,"2,657","1,777",20.00%,,,,,,
2013,"4,994",979,257,"2,620","1,138",19.60%,,,,,,
2014,"4,417",883,227,"2,467",840,20.00%,,,,,,
2015,"4,044",789,206,"2,304",745,19.50%,,,,,,
2016,"3,301",675,173,"1,813",640,20.40%,,,,,,
2017,"2,514",576,107,"1,367",464,22.90%,,,,,,
,,,,,,,,,,,,
2007 Q1,"1,728",467,77,392,792,27.00%,,,,,,
2007 Q2,"1,712",461,91,452,708,26.90%,,,,,,
2007 Q3,"1,707",458,96,449,703,26.80%,,,,,,
2007 Q4,"1,738",446,99,458,734,25.70%,,,,,,
2008 Q1,"1,782",475,98,452,757,26.70%,,,,,,
2008 Q2,"1,791",467,92,533,699,26.10%,,,,,,
2008 Q3,"1,769",455,87,540,687,25.70%,,,,,,
2008 Q4,"1,742",455,89,536,661,26.10%,,,,,,
2009 Q1,"1,748",452,86,557,652,25.90%,,,,,,
2009 Q2,"1,682",426,83,546,627,25.30%,,,,,,
2009 Q3,"1,625",407,84,535,599,25.00%,,,,,,
2009 Q4,"1,683",424,85,560,614,25.20%,,,,,,
2010 Q1,"1,687",421,85,585,596,25.00%,,,,,,
2010 Q2,"1,701",405,82,631,583,23.80%,,,,,,
2010 Q3,"1,675",386,80,645,564,23.00%,,,,,,
2010 Q4,"1,678",393,81,627,577,23.40%,,,,,,
2011 Q1,"1,757",382,79,750,546,21.70%,,,,,,
2011 Q2,"1,695",359,78,742,516,21.20%,,,,,,
2011 Q3,"1,522",329,72,597,524,21.60%,,,,,,
2011 Q4,"1,510",316,73,707,414,20.90%,,,,,,
2012 Q1,"1,516",318,72,650,477,21.00%,,,,,,
2012 Q2,"1,518",298,70,671,478,19.60%,,,,,,
2012 Q3,"1,472",277,65,654,476,18.80%,,,,,,
2012 Q4,"1,379",283,68,682,346,20.50%,,,,,,
2013 Q1,"1,306",260,67,658,321,19.90%,,,,,,
2013 Q2,"1,279",252,65,660,302,19.70%,,,,,,
2013 Q3,"1,214",235,62,652,265,19.40%,,,,,,
2013 Q4,"1,195",232,63,650,249,19.40%,,,,,,
2014 Q1,"1,151",221,60,638,232,19.20%,,,,,,
2014 Q2,"1,106",225,57,608,216,20.30%,,,,,,
2014 Q3,"1,081",218,55,611,197,20.20%,,,,,,
2014 Q4,"1,079",219,55,610,195,20.30%,,,,,,
2015 Q1,"1,096",212,54,637,193,19.30%,,,,,,
2015 Q2,"1,007",200,50,581,176,19.90%,,,,,,
2015 Q3,978,190,51,546,191,19.40%,,,,,,
2015 Q4,963,187,51,540,185,19.40%,,,,,,
2016 Q1,907,181,50,501,175,20.00%,,,,,,
2016 Q2,859,175,46,478,160,20.40%,,,,,,
2016 Q3,799,162,41,444,153,20.30%,,,,,,
2016 Q4,735,157,36,390,152,21.40%,,,,,,
2017 Q1,677,153,31,351,141,22.60%,,,,,,
2017 Q2,622,140,26,336,121,22.50%,,,,,,
2017 Q3,612,130,26,345,111,21.20%,,,,,,
2017 Q4,603,153,24,335,91,25.40%,,,,,,
2018 Q1,551,146,22,297,86,26.50%,,,,,,
,,,,,,,,,,,,
Calls to mobiles,,,,,,,,,,,,
2007,"14,599","7,192","1,589","1,259","4,559",49.30%,,,,,,
2008,"13,556","6,266","1,328","1,480","4,481",46.20%,,,,,,
2009,"12,387","5,254","1,124","1,459","4,550",42.40%,,,,,,
2010,"11,802","4,538",975,"1,697","4,592",38.40%,,,,,,
2011,"10,401","3,922",848,"1,841","3,790",37.70%,,,,,,
2012,"9,454","3,622",801,"1,925","3,106",38.30%,,,,,,
2013,"8,713","3,148",920,"1,932","2,714",36.10%,,,,,,
2014,"7,659","2,899",778,"1,818","2,164",37.90%,,,,,,
2015,"7,092","2,703",720,"1,739","1,930",38.10%,,,,,,
2016,"6,881","2,525",633,"1,892","1,830",36.70%,,,,,,
2017,"6,251","2,304",508,"1,819","1,620",36.90%,,,,,,
,,,,,,,,,,,,
2007 Q1,"3,814","1,892",419,294,"1,210",49.60%,,,,,,
2007 Q2,"3,700","1,836",405,319,"1,140",49.60%,,,,,,
2007 Q3,"3,597","1,791",385,323,"1,098",49.80%,,,,,,
2007 Q4,"3,488","1,673",380,324,"1,112",48.00%,,,,,,
2008 Q1,"3,456","1,655",355,330,"1,116",47.90%,,,,,,
2008 Q2,"3,453","1,616",341,384,"1,112",46.80%,,,,,,
2008 Q3,"3,393","1,543",323,390,"1,137",45.50%,,,,,,
2008 Q4,"3,253","1,452",309,376,"1,116",44.60%,,,,,,
2009 Q1,"3,203","1,397",296,379,"1,131",43.60%,,,,,,
2009 Q2,"3,057","1,323",283,353,"1,097",43.30%,,,,,,
2009 Q3,"3,055","1,297",279,336,"1,143",42.50%,,,,,,
2009 Q4,"3,073","1,237",266,391,"1,178",40.30%,,,,,,
2010 Q1,"3,079","1,206",258,413,"1,202",39.20%,,,,,,
2010 Q2,"2,943","1,131",244,407,"1,161",38.40%,,,,,,
2010 Q3,"2,923","1,111",238,437,"1,137",38.00%,,,,,,
2010 Q4,"2,857","1,090",235,441,"1,092",38.10%,,,,,,
2011 Q1,"2,729","1,025",219,473,"1,012",37.60%,,,,,,
2011 Q2,"2,623",975,209,473,966,37.20%,,,,,,
2011 Q3,"2,578",986,211,449,932,38.20%,,,,,,
2011 Q4,"2,471",936,209,447,879,37.90%,,,,,,
2012 Q1,"2,461",950,209,466,836,38.60%,,,,,,
2012 Q2,"2,377",909,198,474,796,38.20%,,,,,,
2012 Q3,"2,338",899,198,484,757,38.50%,,,,,,
2012 Q4,"2,278",864,196,501,717,37.90%,,,,,,
2013 Q1,"2,256",838,196,484,738,37.20%,,,,,,
2013 Q2,"2,221",817,219,487,698,36.80%,,,,,,
2013 Q3,"2,215",763,296,497,659,34.40%,,,,,,
2013 Q4,"2,022",730,209,464,618,36.10%,,,,,,
2014 Q1,"1,940",706,197,447,590,36.40%,,,,,,
2014 Q2,"1,930",740,195,453,542,38.40%,,,,,,
2014 Q3,"1,926",740,195,461,530,38.40%,,,,,,
2014 Q4,"1,863",713,191,456,503,38.30%,,,,,,
2015 Q1,"1,834",703,185,444,502,38.30%,,,,,,
2015 Q2,"1,768",675,177,431,485,38.20%,,,,,,
2015 Q3,"1,766",675,180,433,477,38.20%,,,,,,
2015 Q4,"1,725",650,178,431,465,37.70%,,,,,,
2016 Q1,"1,743",644,172,451,477,36.90%,,,,,,
2016 Q2,"1,731",646,165,457,463,37.30%,,,,,,
2016 Q3,"1,689",632,154,460,443,37.40%,,,,,,
2016 Q4,"1,717",603,142,524,448,35.10%,,,,,,
2017 Q1,"1,683",601,134,499,449,35.70%,,,,,,
2017 Q2,"1,581",571,119,478,413,36.10%,,,,,,
2017 Q3,"1,510",559,131,423,397,37.00%,,,,,,
2017 Q4,"1,477",573,124,419,361,38.80%,,,,,,
2018 Q1,"1,461",567,121,416,358,38.80%,,,,,,
,,,,,,,,,,,,
Other calls1,,,,,,,,,,,,
2007,"46,168","27,061","6,483","3,422","9,202",58.60%,,,,,,
2008,"33,122","17,689","3,846","2,807","8,780",53.40%,,,,,,
2009,"26,129","13,174","3,300","2,879","6,776",50.40%,,,,,,
2010,"23,233","10,589","2,882","3,575","6,187",45.60%,,,,,,
2011,"20,342","8,754","2,509","3,579","5,501",43.00%,,,,,,
2012,"18,635","7,768","2,249","4,785","3,834",41.70%,,,,,,
2013,"17,946","7,808","1,877","5,366","2,896",43.50%,,,,,,
2014,"15,562","6,312","1,611","5,472","2,167",40.60%,,,,,,
2015,"14,343","5,766","1,160","5,615","1,801",40.20%,,,,,,
2016,"12,735","5,016",842,"4,809","2,068",39.40%,,,,,,
2017,"10,139","4,155",530,"3,583","1,871",41.00%,,,,,,
,,,,,,,,,,,,
2007 Q1,"13,711","8,091","1,948","1,194","2,478",59.00%,,,,,,
2007 Q2,"11,703","6,909","1,605",952,"2,237",59.00%,,,,,,
2007 Q3,"11,405","6,449","1,963",661,"2,332",56.50%,,,,,,
2007 Q4,"9,349","5,612",967,616,"2,154",60.00%,,,,,,
2008 Q1,"8,983","5,261",943,607,"2,172",58.60%,,,,,,
2008 Q2,"8,410","4,458",982,715,"2,256",53.00%,,,,,,
2008 Q3,"8,472","4,184",992,761,"2,535",49.40%,,,,,,
2008 Q4,"7,257","3,786",929,724,"1,818",52.20%,,,,,,
2009 Q1,"7,061","3,655",889,722,"1,796",51.80%,,,,,,
2009 Q2,"6,555","3,308",813,704,"1,731",50.50%,,,,,,
2009 Q3,"6,390","3,242",826,705,"1,617",50.70%,,,,,,
2009 Q4,"6,122","2,969",772,749,"1,633",48.50%,,,,,,
2010 Q1,"6,087","2,921",760,816,"1,591",48.00%,,,,,,
2010 Q2,"5,985","2,641",717,"1,096","1,531",44.10%,,,,,,
2010 Q3,"5,762","2,658",727,870,"1,507",46.10%,,,,,,
2010 Q4,"5,398","2,369",678,793,"1,558",43.90%,,,,,,
2011 Q1,"5,382","2,348",665,917,"1,452",43.60%,,,,,,
2011 Q2,"5,132","2,174",626,996,"1,336",42.40%,,,,,,
2011 Q3,"4,981","2,196",628,792,"1,365",44.10%,,,,,,
2011 Q4,"4,848","2,036",590,874,"1,348",42.00%,,,,,,
2012 Q1,"4,895","1,989",597,"1,205","1,103",40.60%,,,,,,
2012 Q2,"4,626","1,970",570,"1,093",993,42.60%,,,,,,
2012 Q3,"4,495","1,938",558,"1,121",878,43.10%,,,,,,
2012 Q4,"4,620","1,871",524,"1,365",860,40.50%,,,,,,
2013 Q1,"4,866","2,136",507,"1,391",832,43.90%,,,,,,
2013 Q2,"4,547","1,996",471,"1,309",772,43.90%,,,,,,
2013 Q3,"4,333","1,959",443,"1,264",667,45.20%,,,,,,
2013 Q4,"4,200","1,717",456,"1,402",625,40.90%,,,,,,
2014 Q1,"4,059","1,641",442,"1,380",596,40.40%,,,,,,
2014 Q2,"3,862","1,575",414,"1,343",530,40.80%,,,,,,
2014 Q3,"3,878","1,587",400,"1,358",533,40.90%,,,,,,
2014 Q4,"3,763","1,509",355,"1,391",509,40.10%,,,,,,
2015 Q1,"3,956","1,535",341,"1,563",517,38.80%,,,,,,
2015 Q2,"3,500","1,443",296,"1,410",352,41.20%,,,,,,
2015 Q3,"3,552","1,465",277,"1,341",469,41.20%,,,,,,
2015 Q4,"3,335","1,323",246,"1,302",463,39.70%,,,,,,
2016 Q1,"3,372","1,318",245,"1,310",499,39.10%,,,,,,
2016 Q2,"3,213","1,247",220,"1,243",503,38.80%,,,,,,
2016 Q3,"3,215","1,243",206,"1,183",583,38.70%,,,,,,
2016 Q4,"2,935","1,208",171,"1,074",483,41.20%,,,,,,
2017 Q1,"2,917","1,183",151,971,612,40.60%,,,,,,
2017 Q2,"2,474",965,124,950,435,39.00%,,,,,,
2017 Q3,"2,454",991,134,845,484,40.40%,,,,,,
2017 Q4,"2,294","1,016",121,817,341,44.30%,,,,,,
2018 Q1,"2,243","1,019",115,777,332,45.40%,,,,,,
,,,,,,,,,,,,
"1 Includes freephone, special services, premium rate, directory enquiries and all other call types; 2 Includes",,,,,,,,,,,,
EE from 2017 Q4.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 6: Summary of residential network access & call revenues (£millions),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
,,,,,,,,,,,,
Access & calls1,,,,,,,,,,,,
2007,"6,219","3,848","1,076","1,295",,61.90%,,,,,,
2008,"6,197","3,617","1,055","1,524",,58.40%,,,,,,
2009,"6,075","3,363","1,044","1,668",,55.40%,,,,,,
2010,"6,058","3,092","1,061","1,905",,51.00%,,,,,,
2011,"5,827","2,811",976,"2,041",,48.20%,,,,,,
2012,"5,848","2,603",976,"2,270",,44.50%,,,,,,
2013,"5,907","2,541",937,"2,429",,43.00%,,,,,,
2014,"5,914","2,534",822,"2,559",,42.80%,,,,,,
2015,"6,064","2,514",807,"2,743",,41.50%,,,,,,
2016,"6,179","2,541",761,"2,878",,41.10%,,,,,,
2017,"6,194","2,509",719,"2,966",,40.50%,,,,,,
,,,,,,,,,,,,
2007 Q1,"1,564",983,278,304,,62.80%,,,,,,
2007 Q2,"1,534",950,272,312,,61.90%,,,,,,
2007 Q3,"1,555",957,271,328,,61.50%,,,,,,
2007 Q4,"1,565",958,256,350,,61.30%,,,,,,
2008 Q1,"1,538",901,271,365,,58.60%,,,,,,
2008 Q2,"1,579",938,264,378,,59.40%,,,,,,
2008 Q3,"1,531",888,260,383,,58.00%,,,,,,
2008 Q4,"1,549",890,260,398,,57.50%,,,,,,
2009 Q1,"1,469",829,260,380,,56.40%,,,,,,
2009 Q2,"1,551",886,258,407,,57.10%,,,,,,
2009 Q3,"1,501",822,259,420,,54.80%,,,,,,
2009 Q4,"1,555",826,268,461,,53.10%,,,,,,
2010 Q1,"1,511",789,261,462,,52.20%,,,,,,
2010 Q2,"1,509",776,265,467,,51.40%,,,,,,
2010 Q3,"1,498",750,268,480,,50.10%,,,,,,
2010 Q4,"1,540",777,267,496,,50.40%,,,,,,
2011 Q1,"1,480",725,249,506,,49.00%,,,,,,
2011 Q2,"1,424",703,251,471,,49.30%,,,,,,
2011 Q3,"1,445",690,238,517,,47.80%,,,,,,
2011 Q4,"1,478",693,239,547,,46.90%,,,,,,
2012 Q1,"1,482",681,244,557,,45.90%,,,,,,
2012 Q2,"1,454",654,246,553,,45.00%,,,,,,
2012 Q3,"1,454",642,242,569,,44.20%,,,,,,
2012 Q4,"1,458",625,243,590,,42.90%,,,,,,
2013 Q1,"1,501",649,241,610,,43.30%,,,,,,
2013 Q2,"1,480",629,241,610,,42.50%,,,,,,
2013 Q3,"1,472",631,236,604,,42.90%,,,,,,
2013 Q4,"1,454",631,218,605,,43.40%,,,,,,
2014 Q1,"1,489",662,212,616,,44.40%,,,,,,
2014 Q2,"1,468",626,207,635,,42.60%,,,,,,
2014 Q3,"1,472",621,202,649,,42.20%,,,,,,
2014 Q4,"1,484",624,201,659,,42.10%,,,,,,
2015 Q1,"1,519",635,200,684,,41.80%,,,,,,
2015 Q2,"1,501",619,206,676,,41.20%,,,,,,
2015 Q3,"1,508",619,201,689,,41.00%,,,,,,
2015 Q4,"1,535",642,199,695,,41.80%,,,,,,
2016 Q1,"1,551",631,191,729,,40.70%,,,,,,
2016 Q2,"1,529",618,191,719,,40.40%,,,,,,
2016 Q3,"1,546",649,190,707,,42.00%,,,,,,
2016 Q4,"1,553",643,188,722,,41.40%,,,,,,
2017 Q1,"1,540",625,185,730,,40.60%,,,,,,
2017 Q2,"1,563",632,179,752,,40.40%,,,,,,
2017 Q3,"1,556",626,179,752,,40.20%,,,,,,
2017 Q4,"1,534",627,176,732,,40.80%,,,,,,
2018 Q1,"1,515",621,174,720,,41.00%,,,,,,
,,,,,,,,,,,,
Access2,,,,,,,,,,,,
2007,"3,127","2,058",544,525,,65.80%,,,,,,
2008,"3,224","2,025",532,666,,62.80%,,,,,,
2009,"3,182","1,893",538,751,,59.50%,,,,,,
2010,"3,229","1,734",563,932,,53.70%,,,,,,
2011,"3,386","1,664",576,"1,146",,49.10%,,,,,,
2012,"3,703","1,591",639,"1,473",,43.00%,,,,,,
2013,"3,970","1,589",668,"1,714",,40.00%,,,,,,
2014,"4,155","1,602",599,"1,954",,38.60%,,,,,,
2015,"4,470","1,608",624,"2,238",,36.00%,,,,,,
2016,"4,776","1,669",612,"2,495",,34.90%,,,,,,
2017,"4,972","1,697",614,"2,661",,34.10%,,,,,,
,,,,,,,,,,,,
2007 Q1,768,508,144,116,,66.10%,,,,,,
2007 Q2,783,514,142,127,,65.60%,,,,,,
2007 Q3,797,519,141,137,,65.10%,,,,,,
2007 Q4,779,517,117,145,,66.40%,,,,,,
2008 Q1,781,494,135,152,,63.20%,,,,,,
2008 Q2,825,530,132,163,,64.20%,,,,,,
2008 Q3,805,503,132,169,,62.60%,,,,,,
2008 Q4,813,498,133,182,,61.20%,,,,,,
2009 Q1,774,471,135,168,,60.80%,,,,,,
2009 Q2,826,509,135,183,,61.60%,,,,,,
2009 Q3,791,464,134,193,,58.60%,,,,,,
2009 Q4,791,450,135,206,,56.90%,,,,,,
2010 Q1,790,441,135,214,,55.80%,,,,,,
2010 Q2,807,437,143,227,,54.20%,,,,,,
2010 Q3,806,426,143,238,,52.80%,,,,,,
2010 Q4,826,431,142,253,,52.10%,,,,,,
2011 Q1,823,418,141,264,,50.80%,,,,,,
2011 Q2,815,413,149,252,,50.70%,,,,,,
2011 Q3,848,412,139,297,,48.60%,,,,,,
2011 Q4,901,420,147,334,,46.60%,,,,,,
2012 Q1,933,419,159,355,,44.90%,,,,,,
2012 Q2,918,404,159,355,,44.00%,,,,,,
2012 Q3,919,390,158,371,,42.40%,,,,,,
2012 Q4,934,379,163,392,,40.50%,,,,,,
2013 Q1,993,404,168,421,,40.70%,,,,,,
2013 Q2,997,395,174,429,,39.60%,,,,,,
2013 Q3,994,395,170,429,,39.80%,,,,,,
2013 Q4,985,393,155,436,,39.90%,,,,,,
2014 Q1,"1,037",426,154,457,,41.10%,,,,,,
2014 Q2,"1,026",394,151,481,,38.40%,,,,,,
2014 Q3,"1,035",389,147,499,,37.60%,,,,,,
2014 Q4,"1,057",392,148,517,,37.10%,,,,,,
2015 Q1,"1,106",406,152,549,,36.70%,,,,,,
2015 Q2,"1,109",399,160,550,,36.00%,,,,,,
2015 Q3,"1,111",393,157,561,,35.40%,,,,,,
2015 Q4,"1,144",411,155,578,,35.90%,,,,,,
2016 Q1,"1,188",412,151,625,,34.60%,,,,,,
2016 Q2,"1,183",407,153,623,,34.40%,,,,,,
2016 Q3,"1,193",426,153,614,,35.70%,,,,,,
2016 Q4,"1,212",425,155,632,,35.00%,,,,,,
2017 Q1,"1,225",421,157,648,,34.30%,,,,,,
2017 Q2,"1,253",427,154,673,,34.10%,,,,,,
2017 Q3,"1,252",425,153,675,,34.00%,,,,,,
2017 Q4,"1,241",424,151,666,,34.10%,,,,,,
2018 Q1,"1,222",414,151,657,,33.90%,,,,,,
,,,,,,,,,,,,
Calls,,,,,,,,,,,,
2007,"3,091","1,791",531,769,,57.90%,,,,,,
2008,"2,973","1,592",523,858,,53.50%,,,,,,
2009,"2,894","1,470",506,918,,50.80%,,,,,,
2010,"2,829","1,358",498,973,,48.00%,,,,,,
2011,"2,441","1,147",400,895,,47.00%,,,,,,
2012,"2,145","1,012",337,796,,47.20%,,,,,,
2013,"1,936",952,269,715,,49.20%,,,,,,
2014,"1,759",932,222,605,,53.00%,,,,,,
2015,"1,594",906,183,505,,56.80%,,,,,,
2016,"1,404",872,149,382,,62.10%,,,,,,
2017,"1,222",812,105,305,,66.50%,,,,,,
,,,,,,,,,,,,
2007 Q1,796,475,133,188,,59.70%,,,,,,
2007 Q2,751,436,129,185,,58.10%,,,,,,
2007 Q3,759,438,130,191,,57.70%,,,,,,
2007 Q4,786,441,139,205,,56.20%,,,,,,
2008 Q1,757,407,136,213,,53.80%,,,,,,
2008 Q2,755,408,132,215,,54.10%,,,,,,
2008 Q3,726,385,128,214,,53.00%,,,,,,
2008 Q4,735,392,127,216,,53.30%,,,,,,
2009 Q1,695,358,126,212,,51.50%,,,,,,
2009 Q2,725,377,123,225,,52.00%,,,,,,
2009 Q3,710,359,125,227,,50.50%,,,,,,
2009 Q4,764,376,133,255,,49.30%,,,,,,
2010 Q1,721,348,126,247,,48.30%,,,,,,
2010 Q2,702,339,122,241,,48.30%,,,,,,
2010 Q3,692,325,125,243,,46.90%,,,,,,
2010 Q4,714,346,125,243,,48.50%,,,,,,
2011 Q1,657,307,108,242,,46.70%,,,,,,
2011 Q2,609,289,102,218,,47.50%,,,,,,
2011 Q3,598,278,98,221,,46.60%,,,,,,
2011 Q4,577,272,91,213,,47.20%,,,,,,
2012 Q1,549,262,86,202,,47.70%,,,,,,
2012 Q2,537,251,88,198,,46.80%,,,,,,
2012 Q3,535,252,84,199,,47.10%,,,,,,
2012 Q4,524,247,80,198,,47.10%,,,,,,
2013 Q1,507,245,73,190,,48.30%,,,,,,
2013 Q2,483,234,67,182,,48.50%,,,,,,
2013 Q3,477,235,66,176,,49.30%,,,,,,
2013 Q4,469,238,63,168,,50.70%,,,,,,
2014 Q1,453,236,58,159,,52.00%,,,,,,
2014 Q2,442,232,56,154,,52.60%,,,,,,
2014 Q3,437,232,55,150,,53.00%,,,,,,
2014 Q4,427,232,53,142,,54.40%,,,,,,
2015 Q1,413,229,49,135,,55.50%,,,,,,
2015 Q2,392,220,46,126,,56.10%,,,,,,
2015 Q3,398,226,44,127,,56.80%,,,,,,
2015 Q4,391,231,44,117,,59.10%,,,,,,
2016 Q1,363,219,40,104,,60.40%,,,,,,
2016 Q2,346,212,38,96,,61.20%,,,,,,
2016 Q3,354,223,37,93,,63.10%,,,,,,
2016 Q4,341,218,33,90,,64.00%,,,,,,
2017 Q1,315,204,29,82,,64.80%,,,,,,
2017 Q2,310,205,26,79,,66.10%,,,,,,
2017 Q3,304,200,26,77,,66.00%,,,,,,
2017 Q4,293,203,24,66,,69.20%,,,,,,
2018 Q1,292,207,22,63,,70.80%,,,,,,
,,,,,,,,,,,,
Excludes VAT; 1 Revenue figures are not intended to include subscription revenues for internet access,,,,,,,,,,,,
although some element may remain; 2 Includes EE from 2017 Q4.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 7: Summary of residential exchange line numbers at end of quarter (000's),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
,,,,,,,,,,,,
2007,"23,582","16,050","4,114","3,418",,68.10%,,,,,,
2008,"23,537","14,956","4,170","4,411",,63.50%,,,,,,
2009,"23,380","13,330","4,249","5,801",,57.00%,,,,,,
2010,"23,746","12,043","4,313","7,389",,50.70%,,,,,,
2011,"23,897","11,123","4,299","8,474",,46.50%,,,,,,
2012,"24,494","10,341","4,322","9,831",,42.20%,,,,,,
2013,"25,008","9,957","4,245","10,805",,39.80%,,,,,,
2014,"25,597","9,694","4,245","11,657",,37.90%,,,,,,
2015,"26,097","9,528","4,277","12,292",,36.50%,,,,,,
2016,"26,509","9,404","4,379","12,726",,35.50%,,,,,,
2017,"26,696","10,191","4,424","12,082",,38.20%,,,,,,
,,,,,,,,,,,,
2007 Q1,"23,688","16,636","4,126","2,926",,70.20%,,,,,,
2007 Q2,"23,641","16,490","4,078","3,073",,69.80%,,,,,,
2007 Q3,"23,548","16,250","4,096","3,202",,69.00%,,,,,,
2007 Q4,"23,582","16,050","4,114","3,418",,68.10%,,,,,,
2008 Q1,"23,579","15,792","4,133","3,654",,67.00%,,,,,,
2008 Q2,"23,540","15,523","4,142","3,874",,65.90%,,,,,,
2008 Q3,"23,534","15,290","4,154","4,091",,65.00%,,,,,,
2008 Q4,"23,537","14,956","4,170","4,411",,63.50%,,,,,,
2009 Q1,"23,473","14,515","4,177","4,780",,61.80%,,,,,,
2009 Q2,"23,400","14,089","4,169","5,141",,60.20%,,,,,,
2009 Q3,"23,371","13,696","4,182","5,493",,58.60%,,,,,,
2009 Q4,"23,380","13,330","4,249","5,801",,57.00%,,,,,,
2010 Q1,"23,451","13,047","4,292","6,112",,55.60%,,,,,,
2010 Q2,"23,490","12,703","4,304","6,483",,54.10%,,,,,,
2010 Q3,"23,590","12,331","4,292","6,966",,52.30%,,,,,,
2010 Q4,"23,746","12,043","4,313","7,389",,50.70%,,,,,,
2011 Q1,"23,654","11,825","4,336","7,492",,50.00%,,,,,,
2011 Q2,"23,723","11,576","4,323","7,823",,48.80%,,,,,,
2011 Q3,"23,750","11,302","4,294","8,154",,47.60%,,,,,,
2011 Q4,"23,897","11,123","4,299","8,474",,46.50%,,,,,,
2012 Q1,"24,075","10,896","4,179","9,001",,45.30%,,,,,,
2012 Q2,"24,225","10,697","4,304","9,224",,44.20%,,,,,,
2012 Q3,"24,226","10,414","4,305","9,507",,43.00%,,,,,,
2012 Q4,"24,494","10,341","4,322","9,831",,42.20%,,,,,,
2013 Q1,"24,653","10,184","4,316","10,154",,41.30%,,,,,,
2013 Q2,"24,728","10,034","4,294","10,400",,40.60%,,,,,,
2013 Q3,"24,825","10,028","4,258","10,539",,40.40%,,,,,,
2013 Q4,"25,008","9,957","4,245","10,805",,39.80%,,,,,,
2014 Q1,"25,066","9,908","4,241","10,917",,39.50%,,,,,,
2014 Q2,"25,188","9,839","4,235","11,115",,39.10%,,,,,,
2014 Q3,"25,334","9,754","4,226","11,355",,38.50%,,,,,,
2014 Q4,"25,597","9,694","4,245","11,657",,37.90%,,,,,,
2015 Q1,"25,734","9,633","4,242","11,859",,37.40%,,,,,,
2015 Q2,"25,826","9,577","4,227","12,022",,37.10%,,,,,,
2015 Q3,"25,915","9,522","4,234","12,159",,36.70%,,,,,,
2015 Q4,"26,097","9,528","4,277","12,292",,36.50%,,,,,,
2016 Q1,"26,221","9,510","4,326","12,385",,36.30%,,,,,,
2016 Q2,"26,305","9,468","4,375","12,462",,36.00%,,,,,,
2016 Q3,"26,404","9,422","4,429","12,553",,35.70%,,,,,,
2016 Q4,"26,509","9,404","4,379","12,726",,35.50%,,,,,,
2017 Q1,"26,429","9,327","4,390","12,711",,35.30%,,,,,,
2017 Q2,"26,453","9,259","4,414","12,780",,35.00%,,,,,,
2017 Q3,"26,631","9,199","4,422","13,010",,34.50%,,,,,,
2017 Q4,"26,696","10,191","4,424","12,082",,38.20%,,,,,,
2018 Q1,"26,753","10,134","4,418","12,201",,37.90%,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 8: Summary of residential call volumes (millions of minutes),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
,,,,,,,,,,,,
2007,"110,195","60,669","19,870","29,656",,55.10%,,,,,,
2008,"98,433","49,180","16,717","32,536",,50.00%,,,,,,
2009,"91,592","41,586","15,039","34,967",,45.40%,,,,,,
2010,"87,727","36,189","13,632","37,906",,41.30%,,,,,,
2011,"78,191","31,106","11,791","35,294",,39.80%,,,,,,
2012,"71,503","28,310","10,614","32,579",,39.60%,,,,,,
2013,"63,678","25,218","9,450","29,010",,39.60%,,,,,,
2014,"55,750","21,984","8,392","25,374",,39.40%,,,,,,
2015,"49,925","19,847","7,382","22,696",,39.80%,,,,,,
2016,"43,277","17,508","6,063","19,706",,40.50%,,,,,,
2017,"34,968","15,243","3,418","16,307",,43.60%,,,,,,
,,,,,,,,,,,,
2007 Q1,"29,862","17,020","5,457","7,385",,57.00%,,,,,,
2007 Q2,"27,467","15,350","4,880","7,237",,55.90%,,,,,,
2007 Q3,"27,075","14,595","5,131","7,349",,53.90%,,,,,,
2007 Q4,"25,791","13,704","4,402","7,685",,53.10%,,,,,,
2008 Q1,"25,975","13,562","4,391","8,022",,52.20%,,,,,,
2008 Q2,"24,473","12,234","4,173","8,066",,50.00%,,,,,,
2008 Q3,"24,287","11,783","4,044","8,460",,48.50%,,,,,,
2008 Q4,"23,698","11,601","4,109","7,988",,49.00%,,,,,,
2009 Q1,"23,639","11,354","4,031","8,254",,48.00%,,,,,,
2009 Q2,"22,303","10,179","3,664","8,460",,45.60%,,,,,,
2009 Q3,"22,318","9,963","3,642","8,713",,44.60%,,,,,,
2009 Q4,"23,333","10,090","3,702","9,541",,43.20%,,,,,,
