Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Location
Liberty Bell Trucking,1341 Route 52,,Carmel,NY,10512,Putnam,3,8458789294,Liberty Bell Trucking,Private,C&D processing - registration,[40W04],Yes,606419,4587474,,Asphalt;Concrete;Construction & Demolition Debris,Upgrade Order,?,,,"{'human_address': '{""address"":""1341 Route 52"",""city"":""Carmel"",""state"":""NY"",""zip"":""10512""}', 'latitude': '41.509107', 'longitude': '-73.684003', 'needs_recoding': False}"
Quogue (V) - Highway Yard,40 Old Country Road,,Quogue,NY,11959,Suffolk,1,6316534498,Village of Quogue,Municipal,C&D processing - registration,[52W161R],Yes,701031,4523043,4.3 - Utilization of Digital Orthophoto Quads,Wood (Brush/ Branches/ Trees/ Stumps),Registration,?52W161R,2010-07-29T00:00:00,,"{'human_address': '{""address"":""40 Old Country Road"",""city"":""Quogue"",""state"":""NY"",""zip"":""11959""}', 'latitude': '40.852647', 'longitude': '-72.57608', 'needs_recoding': False}"
R Schleider Contracting Corp (Site A),135 Old Northport Road,,Kings Park,NY,11754,Suffolk,1,6312696467,Raymon Schleider,Private,C&D processing - registration,[52W53R],Yes,644750,4526283,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Brick;Concrete;Rock;Soil (Clean);Sand,Registration,?52W53R,1997-03-27T00:00:00,,"{'human_address': '{""address"":""135 Old Northport Road"",""city"":""Kings Park"",""state"":""NY"",""zip"":""11754""}', 'latitude': '40.871262', 'longitude': '-73.270229', 'needs_recoding': False}"
Ralph Ave Highway Yard,1 Ralph Avenue,,Babylon,NY,11702,Suffolk,1,6316694878,Village of Babylon,Municipal,C&D processing - registration,[52W91],Yes,640998,4506779,,Asphalt;Concrete,Registration,?52W91R,1999-12-29T00:00:00,,"{'human_address': '{""address"":""1 Ralph Avenue"",""city"":""Babylon"",""state"":""NY"",""zip"":""11702""}', 'latitude': '40.699079', 'longitude': '-73.33057', 'needs_recoding': False}"
Rason Asphalt - Melville,136 Spagnoli Road,,Melville,NY,11747,Suffolk,1,6312936210,Nassau Asphalt Supply Corp.,Private,C&D processing - registration,[52W24R],Yes,631801,4513458,4.3 - Utilization of Digital Orthophoto Quads,Asphalt,Registration,?52W24R,2000-08-28T00:00:00,,"{'human_address': '{""address"":""136 Spagnoli Road"",""city"":""Melville"",""state"":""NY"",""zip"":""11747""}', 'latitude': '40.761685', 'longitude': '-73.434126', 'needs_recoding': False}"
Riley Excavating & Contracting Inc,195 South Denver Ave,,Bayshore,NY,11706,Suffolk,1,6316650420,Russell Riley III,Private,C&D processing - registration,[52W65R],Yes,649335,4510984,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Asphalt;Soil (Clean);Rock;Brick,Registration,?52W65R,1998-03-05T00:00:00,,"{'human_address': '{""address"":""195 South Denver Ave"",""city"":""Bayshore"",""state"":""NY"",""zip"":""11706""}', 'latitude': '40.737166', 'longitude': '-73.231829', 'needs_recoding': False}"
Upstone - Lewis Quarry,9198 Route 9,,Lewis,NY,12950,Essex,5,5188732275,Upstone Materials Inc,Private,C&D processing - registration,[16W01],Yes,615549,4907878,1 - No accuracy stated,,Registration,?16W01,2009-04-29T00:00:00,,"{'human_address': '{""address"":""9198 Route 9"",""city"":""Lewis"",""state"":""NY"",""zip"":""12950""}', 'latitude': '44.316175', 'longitude': '-73.549876', 'needs_recoding': False}"
RJ Murray Enterprises Inc,131 Old Northport Road,,Kings Park,NY,11754,Suffolk,1,6315444400,Ryan Murray,Private,C&D processing - registration,[52W172R],Yes,636329,4525855,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Brick;Concrete;Rock;Soil (Clean),Registration,?52W172R,2013-01-23T00:00:00,,"{'human_address': '{""address"":""131 Old Northport Road"",""city"":""Kings Park"",""state"":""NY"",""zip"":""11754""}', 'latitude': '40.869955', 'longitude': '-73.268964', 'needs_recoding': False}"
Roanoke Sand & Gravel Corp,104 Rocky Point Road,,Middle Island,NY,11953,Suffolk,1,6319244100,Roanoke Sand & Gravel Corp.,Private,C&D processing - registration,[52W03R],Yes,672123,4530030,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Wood (Chips),Registration,?52W03R,1994-06-06T00:00:00,,"{'human_address': '{""address"":""104 Rocky Point Road"",""city"":""Middle Island"",""state"":""NY"",""zip"":""11953""}', 'latitude': '40.896038', 'longitude': '-72.944969', 'needs_recoding': False}"
Roberts Asphalt Company,1981 Montauk Highway,,Brookhaven,NY,11719,Suffolk,1,6314751906,Joann Tew,Private,C&D processing - registration,[52W166R],Yes,674786,4516116,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Asphalt;Brick;Soil (Clean),Registration,?52W166R,2010-09-23T00:00:00,,"{'human_address': '{""address"":""1981 Montauk Highway"",""city"":""Brookhaven"",""state"":""NY"",""zip"":""11719""}', 'latitude': '40.77613', 'longitude': '-72.931778', 'needs_recoding': False}"
Sagaponack Sand & Gravel Corp,32 Haines Path,,Bridgehampton,NY,11932,Suffolk,1,6315372252,Keith Grimes,Private,C&D processing - registration,[52W176R],Yes,728083,4536716,1 - No accuracy stated,Asphalt;Concrete;Soil (Clean);Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips);Rock,Registration,?52W176R,2011-08-31T00:00:00,,"{'human_address': '{""address"":""32 Haines Path"",""city"":""Bridgehampton"",""state"":""NY"",""zip"":""11932""}', 'latitude': '40.952372', 'longitude': '-72.289501', 'needs_recoding': False}"
Savy's Recycling Inc,27 Montclair Ave,,St. James,NY,11780,Suffolk,1,6319798450,Savy's Recycling Inc.,Private,C&D processing - registration,[52W181R],Yes,654743,4525104,,Asphalt;Brick;Concrete;Rock;Soil (Clean),Registration,?52W181R,2013-05-01T00:00:00,,"{'human_address': '{""address"":""27 Montclair Ave"",""city"":""St. James"",""state"":""NY"",""zip"":""11780""}', 'latitude': '40.86371', 'longitude': '-73.165206', 'needs_recoding': False}"
Scatt Materials Corp,44 S Fourth Street,,Bayshore,NY,11706,Suffolk,1,6315860554,Scatt Materials Corp.,Private,C&D processing - registration,[52W115R],Yes,644077,4513777,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Asphalt,Registration,?52W115R,2002-08-12T00:00:00,,"{'human_address': '{""address"":""44 S Fourth Street"",""city"":""Bayshore"",""state"":""NY"",""zip"":""11706""}', 'latitude': '40.762679', 'longitude': '-73.293443', 'needs_recoding': False}"
Shelter Island Recycling Transfer Station,34 N Menantic Road,,Shelter Island,NY,11964,Suffolk,1,6317491090,Town of Shelter Island,Municipal,C&D processing - registration,[52W73],Yes,722194,4550401,,Wood (Brush/ Branches/ Trees/ Stumps),Registration,?52W73R,1998-07-10T00:00:00,,"{'human_address': '{""address"":""34 N Menantic Road"",""city"":""Shelter Island"",""state"":""NY"",""zip"":""11964""}', 'latitude': '41.066907', 'longitude': '-72.352087', 'needs_recoding': False}"
Shelter Island Sand; Gravel & Construction,17 Bowditch Road,,Shelter Island,NY,11964,Suffolk,1,6317491040,Peder G. Larsen,Private,C&D processing - registration,[52W107R],Yes,722854,4550019,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Brick;Asphalt;Soil (Clean);Wood (Clean);Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips),Registration,?52W107R,2002-03-13T00:00:00,,"{'human_address': '{""address"":""17 Bowditch Road"",""city"":""Shelter Island"",""state"":""NY"",""zip"":""11964""}', 'latitude': '41.069975', 'longitude': '-72.349722', 'needs_recoding': False}"
Sky Materials Corp.,4331 Middle Country Road,,Calverton,NY,11933,Suffolk,1,6312082999,Calverton Industries,Private,C&D processing - registration,[52W80R],Yes,687412,4532821,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Brick;Concrete;Gravel;Rock;Soil (Clean);Wood (Unadulterated);Wood (Brush/ Branches/ Trees/ Stumps),Registration,?52W80R,2011-05-09T00:00:00,,"{'human_address': '{""address"":""4331 Middle Country Road"",""city"":""Calverton"",""state"":""NY"",""zip"":""11933""}', 'latitude': '40.928211', 'longitude': '-72.774169', 'needs_recoding': False}"
Skyline LLC,56 Comsewogue Road,,East Setauket,NY,11733,Suffolk,1,6314034131,Louis J. Bove,Private,C&D processing - registration,[52W19R],Yes,661081,4533079,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete;Rock;Soil (Clean);Brick;Construction & Demolition Debris,Registration,?52W19R,,,"{'human_address': '{""address"":""56 Comsewogue Road"",""city"":""East Setauket"",""state"":""NY"",""zip"":""11733""}', 'latitude': '40.934588', 'longitude': '-73.086702', 'needs_recoding': False}"
Smithtown Kings Park Facility,300 Old Northport Road,,Kings Park,NY,11754,Suffolk,1,6312696600,Town of Smithtown,Municipal,C&D processing - registration,[52W150R],Yes,648667,4525864,4.3 - Utilization of Digital Orthophoto Quads,Street Sweepings;Brick;Concrete;Soil (Clean);Asphalt;Rock;Wood (Brush/ Branches/ Trees/ Stumps),Registration,?52W150R,2010-05-10T00:00:00,,"{'human_address': '{""address"":""300 Old Northport Road"",""city"":""Kings Park"",""state"":""NY"",""zip"":""11754""}', 'latitude': '40.877243', 'longitude': '-73.282608', 'needs_recoding': False}"
Smithtown Montclair North - Highway Facility,Montclair Ave,,Saint James,NY,11780,Suffolk,1,6313607500,Town of Smithtown,Municipal,C&D processing - registration,[52W118R],Yes,657107,4525126,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete;Street Sweepings;Soil (Clean);Rock;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips);Metals (Ferrous);Metals (Non-Ferrous),Registration,?52W118R,2010-05-05T00:00:00,,
South Shore Materials,60 South 4th Street,,Bayshore,NY,11706,Suffolk,1,6312434905,Augusiewicz Excavating Corp.,Private,C&D processing - registration,[52W06R],Yes,643956,4513941,,Concrete;Asphalt;Brick;Construction & Demolition Debris;Rock;Soil (Clean),Registration,?52W06R,1995-01-11T00:00:00,,"{'human_address': '{""address"":""60 South 4th Street"",""city"":""Bayshore"",""state"":""NY"",""zip"":""11706""}', 'latitude': '40.762669', 'longitude': '-73.29269', 'needs_recoding': False}"
Speonk Earth Recycling LLC,60 5th Ave,,Speonk,NY,11972,Suffolk,1,6315868300,Alex Porto,Private,C&D processing - registration,[52W143R],Yes,694466,4523423,4.3 - Utilization of Digital Orthophoto Quads,Brick;Rock;Soil (Clean);Concrete;Asphalt;Wood (Clean),Registration,?52W143R,2008-09-10T00:00:00,,"{'human_address': '{""address"":""60 5th Ave"",""city"":""Speonk"",""state"":""NY"",""zip"":""11972""}', 'latitude': '40.840111', 'longitude': '-72.693545', 'needs_recoding': False}"
Star Ready Mix Inc,172 Peconic Ave,,Medford,NY,11763,Suffolk,1,6312898787,Star Ready Mix; Inc.,Private,C&D processing - registration,[52W171R],Yes,669547,4520207,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Soil (Clean);Concrete,Registration,?52W171R,2010-11-24T00:00:00,,"{'human_address': '{""address"":""172 Peconic Ave"",""city"":""Medford"",""state"":""NY"",""zip"":""11763""}', 'latitude': '40.816366', 'longitude': '-72.989776', 'needs_recoding': False}"
Steven M Mezynieski,110 North Magee Street,,Southampton,NY,11968,Suffolk,1,6312040001,Steven M. Mezynieski,Private,C&D processing - registration,[52W124R],Yes,717343,4531051,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Asphalt;Wood (Brush/ Branches/ Trees/ Stumps);Soil (Clean),Registration,?52W124R,2004-07-20T00:00:00,,"{'human_address': '{""address"":""110 North Magee Street"",""city"":""Southampton"",""state"":""NY"",""zip"":""11968""}', 'latitude': '40.901922', 'longitude': '-72.420266', 'needs_recoding': False}"
Darcy Construction Corp,442 Saddleback Ridge Road,,Stephentown,NY,12168,Rensselaer,4,5187918476,Darcy Construction Corp.,,Land application - septage - registration,[42L30],Yes,626030,4707536,,,,?,,,
Stonco Materials,73 Cederhurst Ave.,,Medford,NY,11763,Suffolk,1,6312073478,Stephen Affatato,Private,C&D processing - registration,[52W136R],Yes,669292,4523261,4.3 - Utilization of Digital Orthophoto Quads,Brick;Rock;Concrete;Sand;Soil (Clean);Asphalt;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous);Wood (Chips);Construction & Demolition Debris,Registration,?52W136R,2007-11-26T00:00:00,,"{'human_address': '{""address"":""73 Cederhurst Ave."",""city"":""Medford"",""state"":""NY"",""zip"":""11763""}', 'latitude': '40.843228', 'longitude': '-72.991614', 'needs_recoding': False}"
Suffolk Asphalt Supply - West Hampton Beach,100 Rogers Avenue,,West Hampton Beach,NY,11978,Suffolk,1,6312936210,Suffolk Asphalt Supply; Inc.,Private,C&D processing - registration,[52W23R],Yes,698755,4522510,4.3 - Utilization of Digital Orthophoto Quads,Asphalt,Registration,?52W23R,1995-04-19T00:00:00,,"{'human_address': '{""address"":""100 Rogers Avenue"",""city"":""West Hampton Beach"",""state"":""NY"",""zip"":""11978""}', 'latitude': '40.82905', 'longitude': '-72.644266', 'needs_recoding': False}"
Keywell LLC,300 Falconer Street,,Frewsburg,NY,14738,Chautauqua,9,7165690700,Kaywell LLC,,RHRF - exempt (non-VDF),[07M00],Yes,156172,4665825,,,,?,,,"{'human_address': '{""address"":""300 Falconer Street"",""city"":""Frewsburg"",""state"":""NY"",""zip"":""14738""}', 'latitude': '42.069394', 'longitude': '-79.158155', 'needs_recoding': False}"
TS Haulers,3968 Middle Country Road,,Calverton,NY,11933,Suffolk,1,6313691265,Edward Partidge,Private,C&D processing - registration,[52W77R],Yes,689305,4533435,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete;Metals (Ferrous);Metals (Non-Ferrous),Registration,?52W77R,1999-01-04T00:00:00,,"{'human_address': '{""address"":""3968 Middle Country Road"",""city"":""Calverton"",""state"":""NY"",""zip"":""11933""}', 'latitude': '40.927698', 'longitude': '-72.759368', 'needs_recoding': False}"
Wainscott Sand & Gravel,Millstone Road & Middleline Highway,,Noyac,NY,11967,Suffolk,1,6315374583,John Tintle,Private,C&D processing - registration,[52W35R],Yes,727182,4535357,,Wood (Clean);Concrete;Asphalt;Wood (Brush/ Branches/ Trees/ Stumps);Rock;Brick;Soil (Clean),Registration,?52W35R,1996-11-24T00:00:00,,"{'human_address': '{""address"":""Millstone Road &amp; Middleline Highway"",""city"":""Noyac"",""state"":""NY"",""zip"":""11967""}', 'latitude': '40.96975', 'longitude': '-72.344926', 'needs_recoding': False}"
Watbro Recycling Inc,45 South Fourth Street,,Bayshore,NY,11706,Suffolk,1,6315868300,John Watral,Private,C&D processing - registration,[52W106R],Yes,644146,4513830,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete,Registration,?52W106R,2001-05-15T00:00:00,,"{'human_address': '{""address"":""45 South Fourth Street"",""city"":""Bayshore"",""state"":""NY"",""zip"":""11706""}', 'latitude': '40.762683', 'longitude': '-73.294384', 'needs_recoding': False}"
Westhampton Property Associates Inc,1220 Speonk-Riverhead Road,,Speonk,NY,11972,Suffolk,1,6312423595,Anthony Giaguinto,Private,C&D processing - registration,[52W139R],Yes,694634,4523952,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Soil (Clean);Rock;Concrete;Brick,Registration,?52W67R,1998-03-23T00:00:00,,"{'human_address': '{""address"":""1220 Speonk-Riverhead Road"",""city"":""Speonk"",""state"":""NY"",""zip"":""11972""}', 'latitude': '40.845041', 'longitude': '-72.69661', 'needs_recoding': False}"
White Post Wholesale Growers,100 Railroad Street,,Huntington Station,NY,11746,Suffolk,1,6312710147,John Brigati,Private,C&D processing - registration,[52W179R],Yes,633242,4523055,1 - No accuracy stated,Asphalt;Brick;Concrete;Rock;Soil (Clean),Registration,?52W179R,2011-11-25T00:00:00,,"{'human_address': '{""address"":""100 Railroad Street"",""city"":""Huntington Station"",""state"":""NY"",""zip"":""11746""}', 'latitude': '40.847597', 'longitude': '-73.419557', 'needs_recoding': False}"
All City Recycling LLC,850 East 133rd Street,,Bronx,NY,10454,Bronx,2,7185850700,Frank Todino,Private,C&D processing - registration,[03W89],Yes,591353,4517730,,Construction & Demolition Debris,Registration,?03W89,2006-07-13T00:00:00,,"{'human_address': '{""address"":""850 East 133rd Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10454""}', 'latitude': '40.800138', 'longitude': '-73.911952', 'needs_recoding': False}"
Bronx City Recycling (1390 Viele Ave),1390 Viele Avenue,,Bronx,NY,10474,Bronx,2,7188606071,Dominick Eugene,Private,C&D processing - registration,[03W88],Yes,594445,4517979,,Asphalt;Brick;Metals (Ferrous);Metals (Non-Ferrous);Concrete;Construction & Demolition Debris;Rock;Soil (Clean),Registration,?03W88,,,"{'human_address': '{""address"":""1390 Viele Avenue"",""city"":""Bronx"",""state"":""NY"",""zip"":""10474""}', 'latitude': '40.807508', 'longitude': '-73.880071', 'needs_recoding': False}"
Castle Hill Recycling,1000 Zerega Avenue,,Bronx,NY,10462,Bronx,2,6463427874,Frank Todino/Castle Hill Recycling LLC,Private,C&D processing - registration,[03W94],Yes,597513,4520484,,Construction & Demolition Debris,Registration,?03W94,,,"{'human_address': '{""address"":""1000 Zerega Avenue"",""city"":""Bronx"",""state"":""NY"",""zip"":""10462""}', 'latitude': '40.829502', 'longitude': '-73.84416', 'needs_recoding': False}"
New York Recycling LLC,475 Exterior Street,,Bronx,NY,10451,Bronx,2,7187420755,Eric Coppola,Private,C&D processing - registration,[03W87],Yes,590182,4519111,1 - No accuracy stated,Asphalt;Brick;Concrete;Rock;Soil (Clean);Metals (Ferrous);Metals (Non-Ferrous);Construction & Demolition Debris,Registration,?03W87,,,"{'human_address': '{""address"":""475 Exterior Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10451""}', 'latitude': '40.819506', 'longitude': '-73.93045', 'needs_recoding': False}"
Petro Recycling LLC (290East 132Street),290 East 132 Street,,Bronx,NY,10454,Bronx,2,9147778292,Petro Recycling LLC,Private,C&D processing - registration,[03W81],Yes,590988,4517447,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Asphalt;Rock;Soil (Clean),Registration,?03W81,,,"{'human_address': '{""address"":""290 East 132 Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10454""}', 'latitude': '40.806797', 'longitude': '-73.929357', 'needs_recoding': False}"
Tilcon New York Inc,980 EAST 149 STREET,,Bronx,NY,10455,Bronx,2,7186659350,Tilcon New York Inc,Private,C&D processing - registration,[03W39],Yes,592500,4518200,2.1 - NYSDEC 100 m grid collection,Concrete;Rock;Soil (Clean);Construction & Demolition Debris;Asphalt,Registration,?03W39,2002-07-15T00:00:00,,"{'human_address': '{""address"":""980 EAST 149 STREET"",""city"":""Bronx"",""state"":""NY"",""zip"":""10455""}', 'latitude': '40.806708', 'longitude': '-73.902536', 'needs_recoding': False}"
Allocco Recycling Ltd (Kingsland Ave),540 Kingsland Avenue,,Brooklyn,NY,11222,Kings,2,7183493094,Michael Allocco,Private,C&D processing - registration,[24WA3],Yes,589200,4509500,2.1 - NYSDEC 100 m grid collection,Asphalt;Concrete;Metals (Ferrous);Metals (Non-Ferrous);Rock;Sand;Soil (Clean);Commingled Paper;Brick;Magazines;Newspaper;Office Paper,Registration,?24WA3,,,"{'human_address': '{""address"":""540 Kingsland Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11222""}', 'latitude': '40.734571', 'longitude': '-73.944753', 'needs_recoding': False}"
National Grid,287 Maspeth Avenue,,Brooklyn,NY,11222,Kings,2,7182705786,Mattia Auriemma,Private,C&D processing - registration,[24W38],Yes,590245,4508023,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete;Brick;Rock;Soil (Clean);Construction & Demolition Debris,Registration,?24W38,,,"{'human_address': '{""address"":""287 Maspeth Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11222""}', 'latitude': '40.718103', 'longitude': '-73.931266', 'needs_recoding': False}"
Con Edison -Fill Transfer Station # 8,276-290 Avenue C,,Manhattan,NY,10009,New York,2,2122539553,Cynthia Diaz,Private,C&D processing - registration,[31W13C],Yes,111111,111111,,,,?,,,"{'human_address': '{""address"":""276-290 Avenue C"",""city"":""Manhattan"",""state"":""NY"",""zip"":""10009""}', 'latitude': '40.729753', 'longitude': '-73.974675', 'needs_recoding': False}"
Consolidated Edison of NY,276-290 Avenue C ( East 16th Street),,New York,NY,10009,New York,2,2122539553,Consolidated Edison company of New York,Private,C&D processing - registration,[31W13],Yes,586581,4509252,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Asphalt;Street Sweepings,Registration,?31W13,2005-10-12T00:00:00,,
Durante Bros Construction Corp.,31-40  123rd STREET,,Flushing,NY,11354,Queens,2,7187622500,John and Michael Durante,Private,C&D processing - registration,[41W22],Yes,597431,4513760,4.3 - Utilization of Digital Orthophoto Quads,Rock;Soil (Clean);Concrete;Metals (Ferrous);Metals (Non-Ferrous),Registration,?41W22,1995-04-20T00:00:00,,"{'human_address': '{""address"":""31-40 123rd STREET"",""city"":""Flushing"",""state"":""NY"",""zip"":""11354""}', 'latitude': '40.768571', 'longitude': '-73.845728', 'needs_recoding': False}"
Evergreen Recycling of Corona (Willets Point Blvd),Willlets Point Blvd,,Corona,NY,11368,Queens,2,7182058038,Tully Environmental; Inc.,,C&D processing - registration,[41W93],Yes,597757,4512582,,Asphalt;Concrete;Soil (Clean);Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Brick;Rock,Registration,?41W93,,,
Hunters Point Recycling Inc,29-55 Hunters Point Ave,,Long Island City,NY,11101,Queens,2,5167796081,James Juliano,Private,C&D processing - registration,[41MB1],Yes,589575,4510523,,Concrete;Rock;Soil (Clean);Metals (Ferrous);Metals (Non-Ferrous);Wood (Unadulterated),Registration,?41MB1,,,"{'human_address': '{""address"":""29-55 Hunters Point Ave"",""city"":""Long Island City"",""state"":""NY"",""zip"":""11101""}', 'latitude': '40.740623', 'longitude': '-73.939091', 'needs_recoding': False}"
Maspeth Recycling Inc,58-08 48 Street,,Maspeth,NY,11106,Queens,2,7186281290,Domenick Cipollone,Private,C&D processing - registration,[41W39],Yes,591000,4508900,2.1 - NYSDEC 100 m grid collection,Concrete;Asphalt;Soil (Clean);Sand,Registration,?41W39,,,"{'human_address': '{""address"":""58-08 48 Street"",""city"":""Maspeth"",""state"":""NY"",""zip"":""11106""}', 'latitude': '40.721242', 'longitude': '-73.921993', 'needs_recoding': False}"
New York Paving Inc,37-18 Railroad Ave,,Long Island City,NY,11101,Queens,2,7184820780,Anthony Bartone,Private,C&D processing - registration,[41W41],Yes,589900,4508600,2.1 - NYSDEC 100 m grid collection,Concrete;Rock;Soil (Clean),Registration,?,,,"{'human_address': '{""address"":""37-18 Railroad Ave"",""city"":""Long Island City"",""state"":""NY"",""zip"":""11101""}', 'latitude': '40.733174', 'longitude': '-73.938552', 'needs_recoding': False}"
Pebble Lane Associates LLC,57-00 47TH Street,,Maspeth,NY,11378,Queens,2,7184562520,US Concrete; Inc,Private,C&D processing - registration,[41W64],Yes,591200,4509900,2.1 - NYSDEC 100 m grid collection,Asphalt;Brick;Concrete;Rock;Soil (Clean);Glass;Metals (Ferrous);Metals (Non-Ferrous);Construction & Demolition Debris,Registration,?41W64,2009-04-27T00:00:00,,"{'human_address': '{""address"":""57-00 47TH Street"",""city"":""Maspeth"",""state"":""NY"",""zip"":""11378""}', 'latitude': '40.719288', 'longitude': '-73.922744', 'needs_recoding': False}"
Russo Recycling Company/Whip Realty Corp,248-12 Brookville Blvd,,Rosedale,NY,11422,Queens,2,7187231111,Whip Realty Corp,Private,C&D processing - registration,[41W47],Yes,606220,4499562,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Soil (Clean);Metals (Ferrous);Metals (Non-Ferrous);Rock,Registration,?41W47,,,"{'human_address': '{""address"":""248-12 Brookville Blvd"",""city"":""Rosedale"",""state"":""NY"",""zip"":""11422""}', 'latitude': '40.638372', 'longitude': '-73.741804', 'needs_recoding': False}"
Safeway Construction Enterprises,54-60 44th Street,,Maspeth,NY,11378,Queens,2,9174160498,Steve Cistaro,Private,C&D processing - registration,[41WB8],Yes,590862,4509393,,Rock;Sand;Soil (Clean),Registration,?41WB8,,,"{'human_address': '{""address"":""54-60 44th Street"",""city"":""Maspeth"",""state"":""NY"",""zip"":""11378""}', 'latitude': '40.730365', 'longitude': '-73.923812', 'needs_recoding': False}"
Faztec Industries,200 Bloomfield Avenue,,Staten Island,NY,10314,Richmond,2,7184941600,Faztec Industries,Private,C&D processing - registration,[43W47],Yes,569050,4496128,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Rock;Asphalt;Brick;Concrete,,?,,,"{'human_address': '{""address"":""200 Bloomfield Avenue"",""city"":""Staten Island"",""state"":""NY"",""zip"":""10314""}', 'latitude': '40.61369', 'longitude': '-74.185386', 'needs_recoding': False}"
Faztec Industries  Asphalt Pave,331 Edward Curry Avenue,,Staten Island,NY,10303,Richmond,2,7184941600,John Difazio,Private,C&D processing - registration,[43W61],Yes,569241,4495760,1 - No accuracy stated,,Registration,?,,,"{'human_address': '{""address"":""331 Edward Curry Avenue"",""city"":""Staten Island"",""state"":""NY"",""zip"":""10303""}', 'latitude': '40.611216', 'longitude': '-74.187055', 'needs_recoding': False}"
J Bruno and Sons Inc,280 Meredith Avenue ( when mailing: Building E),,Staten Island,NY,10314,Richmond,2,7184941500,J and A Bruno,Private,C&D processing - registration,[43M27],Yes,568209,4494582,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Rock;Sand,Registration,?43M27,1994-12-11T00:00:00,,"{'human_address': '{""address"":""280 Meredith Avenue ( when mailing: Building E)"",""city"":""Staten Island"",""state"":""NY"",""zip"":""10314""}', 'latitude': '40.600322', 'longitude': '-74.194718', 'needs_recoding': False}"
Perfetto Contracting Co Inc,2000 Richmond Terrace,,Staten Island,NY,10302,Richmond,2,7188588600,Chez Perfetto,Private,C&D processing - registration,[43W58],Yes,573566,4499117,4.2 - Utilization of GIS and existing spatial data,Brick;Concrete;Rock;Soil (Clean);Asphalt,Registration,?,,,"{'human_address': '{""address"":""2000 Richmond Terrace"",""city"":""Staten Island"",""state"":""NY"",""zip"":""10302""}', 'latitude': '40.639675', 'longitude': '-74.129974', 'needs_recoding': False}"
South Shore Recycling LLC,18 Zarelli Court,,Staten Island,NY,10309,Richmond,2,7184948973,Julia Coluccio,Private,C&D processing - registration,[43M56],Yes,564936,4489255,4.1 - Address Matching,Asphalt;Rock;Concrete;Soil (Clean);Gravel,Registration,?43M56,2016-05-20T00:00:00,2021-05-19T00:00:00,
TM Maintenance Inc,451 Spencer Street,,Staten Island,NY,10314,Richmond,2,7187612984,Anastasios Tom Glikis,Private,C&D processing - registration,[43W46],Yes,568117,4494873,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Soil (Clean),,?,,,"{'human_address': '{""address"":""451 Spencer Street"",""city"":""Staten Island"",""state"":""NY"",""zip"":""10314""}', 'latitude': '40.602137', 'longitude': '-74.195602', 'needs_recoding': False}"
Cheever Pit (Reale) LCD LF,NYS Route 9N,Mile Marker 1228,Moriah,NY,12960,Essex,5,5185856782,Anthony Reale,Private,Landfill - land clearing debris,[16D13],Yes,623349,4857770,1 - No accuracy stated,,Registration,?16D13,2011-05-18T00:00:00,,
