Company: Company Name,Company: Company Name (Fake),Company: Industry,Company: Company Number,Company: Stock Name,Company: Stock Symbol,Company: Stock Sector,Company: IBAN
Wikivu,Wisoky Group,Industrial Machinery/Components,09-221-6942,"MSC Industrial Direct Company, Inc.",MSM,Capital Goods,BR04 0812 3136 0159 9952 6192 704T L
LiveZ,"Pagac, Beer and Sauer",n/a,94-719-3637,"AG Mortgage Investment Trust, Inc.",MITT,n/a,MK78 709X TV9H FINN 332
Trudoo,"Deckow, Herman and Stiedemann",Miscellaneous,03-918-1241,"Meridian Waste Solutions, Inc",MRDN,Basic Industries,KZ67 020Y U00X NPQO UOFT
Vitz,Crist-Satterfield,n/a,67-878-9431,Babson Global Short Duration High Yield Fund,BGH,n/a,SA08 89NQ DWNB TA2A AHVO ROLI
Jaxnation,Johns Inc,Medical Specialities,97-568-5014,"OpGen, Inc.",OPGNW,Health Care,TR11 9991 0K9V F5EI SHPT TGEO T7
Tagfeed,King and Sons,Real Estate Investment Trusts,02-731-6327,Geo Group Inc (The),GEO,Consumer Services,DK61 1669 1524 2126 93
Photospace,"Zieme, Mills and Schmidt",Military/Government/Technical,54-550-4627,"TRC Companies, Inc.",TRR,Consumer Services,PL69 0386 5005 6197 3103 0292 8903
Feedbug,Satterfield LLC,Telecommunications Equipment,37-900-7186,"pdvWireless, Inc.",PDVW,Public Utilities,IS45 7528 8933 7512 3961 4344 50
Devify,Olson Inc,n/a,66-607-0964,NASDAQ TEST STOCK,NTEST.C,n/a,SE31 6769 1515 7486 8355 9697
Yodo,"Shanahan, Mayer and Dare",n/a,67-586-0563,Nuveen California Municipal Value Fund 2,NCB,n/a,MC68 2434 8576 37LL BXMC DPD4 D85
Wordify,Treutel-Bernier,Industrial Machinery/Components,91-241-1297,"Woodward, Inc.",WWD,Energy,VG91 CYCP 1908 1726 9838 7211
Jaxspan,Smith and Sons,Computer Software: Prepackaged Software,45-236-1025,"2U, Inc.",TWOU,Technology,IL90 5466 1479 4365 2203 522
Thoughtstorm,Towne-Harber,Major Banks,13-365-5238,WSFS Financial Corporation,WSFSL,Finance,AL44 8269 3686 BNWD 7DHL GLBD DVKO
Viva,Rogahn and Sons,Finance: Consumer Services,38-444-1895,"Elevate Credit, Inc.",ELVT,Finance,BE60 5913 5317 0960
Fadeo,Moen-Nolan,Business Services,86-236-5113,Boulevard Acquisition Corp. II,BLVD,Finance,LU33 195O LYHX CEHV 8L8I
Dabtype,"Ruecker, O'Kon and Prosacco",Packaged Foods,35-701-9220,"McCormick & Company, Incorporated",MKC,Consumer Non-Durables,FR49 1480 3813 25MX RNQW SKRJ H83
Reallinks,Hauck-Douglas,EDP Services,17-023-7848,"CACI International, Inc.",CACI,Technology,FR78 1832 5372 63DQ RN72 AGR3 O90
Quatz,Monahan-Koelpin,Industrial Machinery/Components,89-197-2491,"Twin Disc, Incorporated",TWIN,Technology,IL88 9691 6220 2977 7588 714
Youopia,Rogahn-Turcotte,Automotive Aftermarket,92-270-8960,Cooper Tire & Rubber Company,CTB,Consumer Durables,FR58 2769 6898 59PS 4EFQ MAOX E17
Einti,Schaden-Metz,Major Banks,14-112-2907,Pacific Continental Corporation (Ore),PCBK,Finance,NO47 3452 7299 544
Camimbo,Okuneva-Reynolds,Office Equipment/Supplies/Services,99-342-4004,"HD Supply Holdings, Inc.",HDS,Consumer Services,DO38 KZ19 8891 7424 3426 1773 4091
Zoonder,"Mayer, Jenkins and Davis",Hotels/Resorts,82-863-1027,"ClubCorp Holdings, Inc.",MYCC,Consumer Services,SM65 V067 9011 402S NJNG DT56 J1X
Wordify,"Ledner, Satterfield and Rau",Diversified Commercial Services,71-415-1783,"Vectrus, Inc.",VEC,Consumer Services,TR92 7851 3ABT OQRQ OP3H LL40 6V
Rhyzio,Lemke and Sons,Major Chemicals,40-987-5781,"A. Schulman, Inc.",SHLM,Basic Industries,LB87 3974 D7GI ONNL SAFG 1QTB MX0U
Snaptags,Hansen and Sons,Real Estate Investment Trusts,12-330-1810,"Dynex Capital, Inc.",DX,Consumer Services,FR10 0132 3920 24UA KBZR RKG2 R27
Kwideo,Lubowitz Inc,Property-Casualty Insurers,93-386-2713,Aspen Insurance Holdings Limited,AHL,Finance,GL02 3889 9587 9414 15
Skynoodle,Mueller-Dicki,Major Pharmaceuticals,63-332-0057,"Chiasma, Inc.",CHMA,Health Care,FR87 6819 8583 32RE UKHO C2YA 794
Thoughtstorm,Jacobs Group,Miscellaneous manufacturing industries,23-508-6811,"Sigma Labs, Inc.",SGLB,Consumer Durables,GR78 3617 929T LOS2 I27Q XWG2 U0A
Reallinks,Kris Inc,Business Services,30-267-2783,"Collectors Universe, Inc.",CLCT,Miscellaneous,SI66 6361 6872 2445 663
Shufflebeat,Barton Group,Electronic Components,99-693-9371,"Monster Digital, Inc.",MSDIW,Technology,MD32 CIGG LRAX BR0Q RD7N E7EW
Yadel,Padberg LLC,Home Furnishings,55-271-4910,"Stanley Furniture Company, Inc.",STLY,Consumer Durables,HU62 4566 2053 4157 7658 4401 1372
Dynabox,Larson LLC,Package Goods/Cosmetics,33-404-0783,Stepan Company,SCL,Basic Industries,SE64 6372 9917 2058 9234 6671
Gigaclub,"Pollich, Littel and Zboncak",n/a,05-975-3694,PIMCO California Municipal Income Fund,PCQ,n/a,BE54 4480 7205 9066
Topdrive,"Morar, Walker and Rohan",Medical/Dental Instruments,62-040-0049,"Becton, Dickinson and Company",BDXA,Health Care,MK75 508V ORBS PBSE R65
Trupe,"Eichmann, Stoltenberg and Lang",Medical/Dental Instruments,03-341-6469,"CAS Medical Systems, Inc.",CASM,Health Care,BH91 INWW 4C1O FFSB OIY6 XN
Thoughtmix,Grimes-Kertzmann,n/a,66-815-7622,MainStay DefinedTerm Municipal Opportunities Fund,MMD,n/a,BG34 OLFA 5118 44DW XCQA 7E
Zoombeat,Rosenbaum Inc,Major Pharmaceuticals,10-872-8034,Merus N.V.,MRUS,Health Care,SK67 7459 4993 7401 3692 8610
Innojam,Hansen-Reichel,Computer Communications Equipment,76-715-8759,Black Box Corporation,BBOX,Technology,TR26 2746 8TOT FMAA HIQ0 8HET AU
Browsetype,"Flatley, Rogahn and Johns",Trucking Freight/Courier Services,37-108-8740,"Schneider National, Inc.",SNDR,Transportation,TR64 0209 3ENQ BOXL MGKH PJYJ 3R
Voolith,Schaden-Robel,Major Pharmaceuticals,76-544-1843,"Impax Laboratories, Inc.",IPXL,Health Care,FR66 1469 1724 94QT XFX5 JD7L Y67
Yombu,Sporer Group,Industrial Specialties,72-552-5071,"Exactech, Inc.",EXAC,Health Care,PS50 GECZ 0CW2 BPXL EEF4 JVOG OJVQ I
Dynabox,Raynor Inc,Specialty Insurers,31-679-6347,"Marsh & McLennan Companies, Inc.",MMC,Finance,RO67 NPBT AQHA E7HF CKOB FSGF
Photobean,Schiller LLC,Diversified Commercial Services,07-117-0055,"FlexShopper, Inc.",FPAY,Technology,AD48 0622 0633 NPLV YV88 ZKBJ
Blognation,"Robel, Ondricka and West",n/a,16-937-2597,Gabelli Multi-Media Trust Inc. (The),GGT,n/a,RS86 6128 6047 7454 1569 23
Wordpedia,Kihn-Mante,Metal Fabrications,73-204-7709,EnPro Industries,NPO,Basic Industries,BA23 0565 4760 2385 5394
Yombu,"Hickle, Gutmann and Swaniawski",Medical Specialities,81-501-7292,Psychemedics Corporation,PMD,Health Care,MU80 YDCT 6680 3774 4350 7925 364B TY
Oyoba,Bergstrom Group,Computer peripheral equipment,71-743-5503,RadiSys Corporation,RSYS,Technology,GI52 VISR 4U65 YEAD PQEC FD5
Divape,"Bednar, Bernier and Wilkinson",n/a,45-961-7918,Cohen & Steers Reit and Preferred Income Fund Inc,RNP,n/a,HR70 9190 9240 3420 3081 5
Realblab,"Miller, Smitham and Berge",Multi-Sector Companies,58-523-4910,RPX Corporation,RPXC,Miscellaneous,PK03 BYXG KK4B 5SEX BGCJ 8GO6
Myworks,Gibson-Mohr,Industrial Machinery/Components,63-212-7796,"Thermon Group Holdings, Inc.",THR,Energy,CZ28 5413 2605 4122 2297 6753
Vimbo,Wolf and Sons,Investment Managers,90-891-2586,"Financial Engines, Inc.",FNGN,Finance,FR15 2057 1466 98BC KR0A XX3C 597
Jayo,"Hudson, Schamberger and Schmidt",Real Estate Investment Trusts,39-512-0281,Colony Starwood Homes,SFR,Consumer Services,ES04 3962 8283 5023 1086 4486
Flashspan,"Quitzon, Cassin and Zemlak",Consumer Electronics/Video Chains,75-593-8508,"Netflix, Inc.",NFLX,Consumer Services,FR44 3818 5825 81QH XOAI KW2O H36
Youbridge,Turner-Schumm,Biotechnology: In Vitro & In Vivo Diagnostic Substances,10-786-2948,Nymox Pharmaceutical Corporation,NYMX,Health Care,LV65 AHIY 5Z5P BIGU Z9HI J
Avamm,Price Inc,Medical/Dental Instruments,83-398-1608,"Antares Pharma, Inc.",ATRS,Health Care,ME20 5882 8764 4427 2091 93
Youfeed,"Moen, Will and Jaskolski",n/a,41-491-4556,PowerShares KBW Bank Portfolio,KBWB,n/a,BE98 1659 2463 9793
Skilith,Ruecker-Ziemann,Savings Institutions,36-633-1893,Wayne Savings Bancshares Inc.,WAYN,Finance,GB87 ZRNK 0399 5956 2305 73
Rhyloo,Rempel-Roberts,Precious Metals,58-660-5934,Buenaventura Mining Company Inc.,BVN,Basic Industries,GT60 V8MT PF2Y 2ODZ R7XS 8DXI QEEK
Edgetag,"Runolfsson, Bernier and Pagac",n/a,22-650-8370,First Trust Municipal CEF Income Opportunity ETF,MCEF,n/a,ES94 9564 4410 8807 5887 4752
Wikibox,"Willms, White and Pfeffer",Homebuilding,42-794-3102,"UCP, Inc.",UCP,Capital Goods,CY08 1869 9280 9EDH 3YBB UMS2 OQ3I
Quimm,Grant and Sons,Movies/Entertainment,75-110-9811,Regal Entertainment Group,RGC,Consumer Services,FR36 7281 3123 134J MAI7 W47U X83
Flipopia,"Goodwin, Jast and Leffler",Major Chemicals,58-171-4004,"Internationa Flavors & Fragrances, Inc.",IFF,Basic Industries,NO29 4961 1533 091
Teklist,Block-Deckow,Hotels/Resorts,69-852-1546,"Full House Resorts, Inc.",FLL,Consumer Services,SA65 46OR ZDOD SYKZ V1F6 6GHY
Linklinks,Wilderman-Hudson,Marine Transportation,51-433-5853,Teekay Corporation,TK,Transportation,BA89 7928 9956 9085 3824
Dabtype,Nolan and Sons,Automotive Aftermarket,26-396-0442,"Camping World Holdings, Inc.",CWH,Consumer Durables,SE62 6724 1227 6718 6094 2671
Fadeo,"Nikolaus, Harvey and Harvey",Beverages (Production/Distribution),49-426-0639,Coca Cola Femsa S.A.B. de C.V.,KOF,Consumer Non-Durables,DE12 0237 7305 9969 0223 03
Browsezoom,Rau-Padberg,n/a,61-318-2352,First Trust Nasdaq Oil & Gas ETF,FTXN,n/a,MD66 WRSW RG46 N7XH JCX8 GWKX
Agivu,Stehr Group,Computer Software: Prepackaged Software,69-149-6171,"Varonis Systems, Inc.",VRNS,Technology,BG88 HBSO 5107 21T2 4W3J JL
Thoughtmix,"Reynolds, Hartmann and Bartell",n/a,04-011-9262,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",DMB,n/a,SM13 Y104 4296 160H 3XU6 YTYR 8OA
Quimba,Schowalter LLC,Business Services,08-598-9013,Capitol Acquisition Corp. III,CLACW,Finance,AZ60 ZLMR CLLW RILL H4PV 2TEN 8310
Tazzy,Moore-Klocko,Package Goods/Cosmetics,05-413-5520,Ecolab Inc.,ECL,Basic Industries,MR22 8110 6440 7135 7083 7407 115
Centimia,"Rosenbaum, Bogisich and Orn",Business Services,69-580-7296,Pacific Special Acquisition Corp.,PAACU,Finance,BR16 3235 3108 1683 8123 1775 204V 7
Jetpulse,Pouros-Adams,Diversified Commercial Services,59-545-3166,Triton International Limited,TRTN,Technology,BH36 YEPY DUZV DYHI G6BQ DN
Twitterbeat,Bosco-Pfannerstill,Diversified Commercial Services,16-469-4910,NXT-ID Inc.,NXTD,Consumer Services,RO37 JSCM N0VC NWC9 HBIX 1TMF
Gigabox,Rice-Schmidt,Advertising,42-349-0505,Omnicom Group Inc.,OMC,Technology,VG61 GHMQ 8109 2720 0196 6018
Thoughtbridge,"Nader, Dach and Mohr",Property-Casualty Insurers,20-159-8368,"The Navigators Group, Inc.",NAVG,Finance,BH97 YFTP HOLE GCEP PHUT GK
Skibox,Kilback-Boyer,Major Banks,62-752-5453,"First Community Financial Partners, Inc.",FCFP,Finance,MR74 3767 9953 6027 9207 4353 623
Dazzlesphere,Runte-Hartmann,n/a,57-394-3441,Blackrock Municipal 2020 Term Trust,BKK,n/a,MU86 VSZF 6956 7364 2427 2270 094E YK
Ntag,Oberbrunner and Sons,Mining & Quarrying of Nonmetallic Minerals (No Fuels),18-242-1991,"MDU Resources Group, Inc.",MDU,Basic Industries,LT70 8094 4411 9399 9053
Fivechat,Sanford LLC,Real Estate Investment Trusts,73-654-8257,"Highwoods Properties, Inc.",HIW,Consumer Services,CH23 9971 8VID YQDI 5RW3 K
Yacero,"Olson, Tremblay and Considine",Oil & Gas Production,76-412-1686,"Continental Resources, Inc.",CLR,Energy,RO29 KDIZ AUZM HOBS 2XR4 J0AF
Skyndu,Bins and Sons,Major Banks,22-827-8368,"Popular, Inc.",BPOPN,Finance,KZ46 180W IKEA KMAA OOQI
Twinder,"Heaney, Gorczany and Prosacco",Marine Transportation,12-109-3317,SEACOR Marine Holdings Inc.,SMHI,Transportation,FR16 0399 8846 14NK 7N5L AK4Q N46
Twimbo,"Lemke, Mohr and Sanford",n/a,64-088-9061,Endurance Specialty Holdings Ltd,ENH^C,n/a,SK12 4999 8695 5745 7846 5967
Twitterwire,Williamson-Shanahan,Banks,63-861-6042,"ESSA Bancorp, Inc.",ESSA,Finance,FR07 1435 9477 45FU 1TS3 KQZC F13
Trudoo,Schaden-Corkery,Industrial Machinery/Components,18-346-6916,"Carbo Ceramics, Inc.",CRR,Capital Goods,LU79 184E SFEE II3P 9KNZ
Yata,Kertzmann-Jones,Property-Casualty Insurers,96-067-4776,"AmTrust Financial Services, Inc.",AFST,Finance,DE16 1681 1075 0179 8511 13
Avamba,Breitenberg-Feil,Savings Institutions,84-710-2930,"Sunshine Bancorp, Inc.",SBCP,Finance,RO57 RRYW OPIN WKFS HAYZ TSAU
Vipe,Volkman-Tromp,n/a,75-980-4402,Vanguard Total International Bond ETF,BNDX,n/a,FR36 4748 0534 0489 GOVI OBKZ H42
Geba,Schmitt Group,Real Estate Investment Trusts,78-642-6761,Iron Mountain Incorporated,IRM,Consumer Services,CR04 8719 0195 8796 9588 3
Pixope,Hand Inc,Precision Instruments,71-631-8276,"Rennova Health, Inc.",RNVAZ,Health Care,FR16 1383 0460 28DJ DVCZ JUVB J67
Vidoo,Klein and Sons,Major Pharmaceuticals,96-912-2136,"MediciNova, Inc.",MNOV,Health Care,HU89 9560 8149 1228 1034 8853 9259
Kare,Ernser-O'Connell,Diversified Commercial Services,71-488-5530,Textainer Group Holdings Limited,TGH,Technology,PT68 0386 5229 0614 3104 5185 9
Dabtype,Ortiz-Parisian,Other Consumer Services,22-995-8804,"Premier, Inc.",PINC,Consumer Services,KW23 SGMZ MB1Y ZEC6 6YQU JQN5 4PXC FK
Youfeed,Reilly-Brown,Semiconductors,72-221-2970,"Micron Technology, Inc.",MU,Technology,PK94 ULSH 8STS GQGG RXTJ 7SVQ
Camimbo,"Kuphal, Rogahn and Little",Consumer Electronics/Appliances,45-355-5860,Emerson Electric Company,EMR,Energy,AL47 0704 4140 XSEB D7TS NQDJ UDTD
JumpXS,Huels-Larkin,Telecommunications Equipment,89-318-9023,Qwest Corporation,CTW,Public Utilities,IS23 1279 6749 4709 1933 0790 87
Buzzdog,"Mertz, Rice and O'Connell",Hospital/Nursing Management,07-153-5591,"Caladrius Biosciences, Inc.",CLBS,Health Care,SE10 9601 3005 6296 3795 3345
Abatz,Langosh Inc,Hotels/Resorts,89-541-3657,Caesars Entertainment Corporation,CZR,Consumer Services,CY77 6291 2074 YFX5 YEPV K9YZ 0LJO
Thoughtworks,"Crona, Daugherty and Donnelly",Medical/Nursing Services,88-684-1126,Concord Medical Services Holdings Limited,CCM,Health Care,IS27 6412 4767 1793 7461 9719 58
Devpulse,"Walker, Kihn and Casper",Automotive Aftermarket,79-708-5396,TravelCenters of America LLC,TA,Consumer Durables,FI96 8170 2300 8812 43
Kwinu,"Cormier, Parker and Altenwerth",Real Estate,06-105-5562,Nam Tai Property Inc.,NTP,Finance,PK66 WDLW 9CTF LFLB YXM8 1YHL
Realcube,Dibbert-Wehner,Finance: Consumer Services,85-086-9585,TransUnion,TRU,Finance,CR60 7152 0151 3038 8800 9
Linkbuzz,Leuschke-Friesen,Banks,60-564-5232,Heritage Financial Corporation,HFWA,Finance,AZ92 VTNM JMKT SSAN CVJ8 B7IH CTMV
Tavu,"Douglas, Hoppe and Hammes",Homebuilding,32-165-0235,Xinyuan Real Estate Co Ltd,XIN,Basic Industries,IL74 3251 9332 7506 6818 080
Zooveo,Kihn LLC,n/a,78-762-2671,Newtek Business Services Corp.,NEWTL,n/a,FR44 2086 7281 803T NHX7 KYFC P85
DabZ,MacGyver Group,Finance Companies,84-878-6252,Federal Agricultural Mortgage Corporation,AGM,Finance,SK40 8176 0662 6129 6147 3430
Oba,"Paucek, Wuckert and Hudson",Major Pharmaceuticals,32-919-8470,Inotek Pharmaceuticals Corporation,ITEK,Health Care,AE20 4751 0467 7213 1366 382
Browsetype,Heaney-Schuppe,n/a,51-099-9385,"Western Asset Municipal High Income Fund, Inc.",MHF,n/a,DK95 0143 6309 5684 55
Mita,Wolf Group,Air Freight/Delivery Services,05-937-5965,"Copa Holdings, S.A.",CPA,Transportation,FR68 5051 6603 57TK A36E ET7K M14
Voonix,Gusikowski-Langosh,Professional Services,41-689-5717,The RMR Group Inc.,RMR,Consumer Services,TR49 0120 074J 94IF UCYE UXP2 Q5
Rooxo,Kassulke-Kunde,Business Services,51-857-5228,"MercadoLibre, Inc.",MELI,Miscellaneous,IL86 8293 4184 5004 6492 489
Yakidoo,"Johnson, Marks and Orn",n/a,96-620-5289,Blackstone GSO Senior Floating Rate Term Fund,BSL,n/a,MK95 492A 22BK FV3H Y57
Lazz,Wintheiser LLC,Restaurants,64-797-2343,"Cracker Barrel Old Country Store, Inc.",CBRL,Consumer Services,MU97 GAYL 1306 9751 5069 7976 365T SP
Demizz,"Dicki, Kuhn and Grimes",Property-Casualty Insurers,80-839-7158,Mercury General Corporation,MCY,Finance,SI39 4141 1886 3888 635
Divanoodle,"Nader, Stokes and Blanda",Hospital/Nursing Management,02-140-5462,DaVita Inc.,DVA,Health Care,PL37 1928 8240 7268 8653 3807 2016
Jaloo,Bernier-Schinner,n/a,08-104-4571,"PS Business Parks, Inc.",PSB^T,n/a,LU44 8304 ILMG EDQQ S8P4
Dablist,"Gleason, Rath and Hyatt",Major Pharmaceuticals,02-224-2692,"Esperion Therapeutics, Inc.",ESPR,Health Care,IE04 VNFC 9696 5911 8684 12
Quaxo,Gaylord-Gutkowski,Catalog/Specialty Distribution,43-768-1259,"Overstock.com, Inc.",OSTK,Consumer Services,RO65 XNDS ZAHG DSIT MTX6 KGNL
Babbleblab,Haag-Littel,Electric Utilities: Central,27-265-9451,El Paso Electric Company,EE,Public Utilities,ES63 9255 9381 0563 4571 5543
Tambee,Hansen Group,Broadcasting,32-767-2917,"Townsquare Media, Inc.",TSQ,Consumer Services,CY74 4443 5804 XOCJ 2HPA JZGM LKB1
Quaxo,Wyman-Bosco,Power Generation,49-216-2394,Public Service Enterprise Group Incorporated,PEG,Public Utilities,EE53 6243 0379 7289 0616
Jabbersphere,"Kshlerin, Quigley and Kassulke",Business Services,85-846-2158,"Onvia, Inc.",ONVI,Miscellaneous,GT48 RMWL HNNQ PZ5U D4WM 7SOB TVH3
Kwilith,Block-Bode,Metal Fabrications,12-789-7674,Harsco Corporation,HSC,Capital Goods,FR97 9390 0340 82CR A5XR QN4L M40
Snaptags,"Lueilwitz, Zboncak and Feil",Industrial Machinery/Components,88-323-3923,"MOCON, Inc.",MOCO,Capital Goods,AD38 1547 5645 OL8F RNMT TR60
Meedoo,"Schowalter, Gusikowski and Emmerich",Computer Software: Prepackaged Software,47-061-6000,"Cadence Design Systems, Inc.",CDNS,Technology,KW24 MWDL JRNW HSQI LEJO 4EXB WLOF FD
Brightdog,Lockman-Kozey,Broadcasting,56-801-8726,Emmis Communications Corporation,EMMS,Consumer Services,GB16 PXWJ 0902 4330 3937 75
Trunyx,Olson LLC,Computer Software: Prepackaged Software,17-784-6723,"Box, Inc.",BOX,Technology,KZ84 723X NCMM 0XDE TOHX
Skimia,"Bogan, Corkery and Lowe",Computer Software: Prepackaged Software,66-769-1509,"My Size, Inc.",MYSZ,Technology,SA03 04G3 GQXB OZMW 9NWQ WJOC
Yodoo,Koss LLC,n/a,93-693-6533,First Trust Mid Cap Growth AlphaDEX Fund,FNY,n/a,ME43 3352 3842 7816 7655 02
Linkbuzz,DuBuque-Osinski,Finance Companies,56-617-3074,Encore Capital Group Inc,ECPG,Finance,GB75 JTWT 4182 1766 0483 15
Trunyx,"Casper, Kautzer and Adams",Forest Products,94-140-3158,American Woodmark Corporation,AMWD,Basic Industries,SE22 8749 7083 6229 0214 9601
Feedspan,Cronin LLC,Radio And Television Broadcasting And Communications Equipment,98-648-8711,"KVH Industries, Inc.",KVHI,Technology,FR27 9737 9728 62MJ 35JF QQ68 C91
Twimbo,Beatty and Sons,Real Estate Investment Trusts,38-214-8570,"Tanger Factory Outlet Centers, Inc.",SKT,Consumer Services,FR38 5456 0346 41C8 RO5K GGHP B90
LiveZ,Schoen-Abernathy,Biotechnology: Biological Products (No Diagnostic Substances),60-341-0041,"Oncobiologics, Inc.",ONSIZ,Health Care,GL88 4530 9915 7324 71
Buzzdog,"Murphy, Green and Ferry",Oil & Gas Production,31-815-5437,Bellatrix Exploration Ltd,BXE,Energy,DE27 4661 8685 5461 7144 63
Eire,"Bahringer, Borer and Homenick",Real Estate,52-065-0188,"CBRE Group, Inc.",CBG,Finance,CY38 8048 1884 VTT8 H8JP HCBE FMR2
Riffpedia,"Nikolaus, Emmerich and Davis",n/a,50-242-1191,Nuveen California AMT-Free Quality Municipal Income Fund,NKX,n/a,CZ34 5052 3760 6143 8021 8648
Ozu,Wolff-Jacobson,Consumer Electronics/Appliances,77-069-3102,General Electric Capital Corporation,GEK,Energy,CZ18 6561 9928 8450 0230 7337
Ooba,Purdy-Shields,Natural Gas Distribution,09-268-9401,"EnLink Midstream Partners, LP",ENLK,Public Utilities,FR66 5662 9960 78HK N6ZM 17SS R34
Wordpedia,"Maggio, Beatty and Beatty",Investment Bankers/Brokers/Service,67-738-4541,Morgan Stanley,MS,Finance,MU88 VUMD 7294 0549 7529 0788 307M VU
Demizz,Rogahn Inc,Textiles,00-314-0275,"Unifi, Inc.",UFI,Consumer Non-Durables,FR36 6518 4750 75KM YNVJ VKVQ W01
Eimbee,Ullrich LLC,n/a,58-116-4660,Calamos Convertible Opportunities and Income Fund,CHI,n/a,BH70 BZJW LTHI X9V1 DUCJ PN
Yombu,Durgan Inc,Life Insurance,89-145-8434,Aegon NV,AEG,Finance,FR58 7077 2708 95IC UKYZ E7B1 549
Latz,Emard Group,Telecommunications Equipment,17-298-9423,PLDT Inc.,PHI,Public Utilities,FR07 0399 7749 012Q YZ6Q TTYP R17
Skivee,Abernathy Inc,Electric Utilities: Central,05-858-6069,Southern Company (The),SOJA,Public Utilities,PK50 REYQ QGWP FO7P FBJM 0CIT
Trunyx,Blanda Group,Hotels/Resorts,81-128-5334,"Sunstone Hotel Investors, Inc.",SHO,Consumer Services,CR69 6176 4286 2120 4063 7
Devpulse,Hintz Inc,Biotechnology: Biological Products (No Diagnostic Substances),74-048-9245,"NanoString Technologies, Inc.",NSTG,Health Care,CZ78 9179 8667 7211 5597 9778
Flashset,Streich and Sons,Property-Casualty Insurers,58-936-3442,"State National Companies, Inc.",SNC,Finance,KW83 LKVL TBDW JOAD BQ9D XXYZ 0TV6 OE
Devshare,Heidenreich-Rolfson,Major Banks,36-159-7789,First United Corporation,FUNC,Finance,SI92 1351 7293 2196 525
Yotz,Zemlak Inc,Medical/Nursing Services,34-636-1179,Amedisys Inc,AMED,Health Care,FR56 6178 1879 38OV JZ0W YTZB T75
Quatz,Harris and Sons,Real Estate,32-407-5036,Leju Holdings Limited,LEJU,Finance,MT18 CIXK 6304 8IRG YQEU YU4C C4NW YPN
Plambee,"Schamberger, Hessel and Feest",Business Services,47-202-2386,Origo Acquisition Corporation,OACQU,Finance,AD41 1040 8874 XL7Q BHHO CYJN
Jetpulse,"Ryan, Zieme and Dicki",n/a,43-733-4426,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",MIE,n/a,BE06 2690 4737 5345
Tavu,Murazik-Hessel,Investment Bankers/Brokers/Service,39-171-6890,VelocityShares Daily Inverse VIX Medium-Term ETN,ZIV,Finance,VG51 NSTK 9732 6656 9597 5976
Twinder,Hoppe-Rutherford,Railroads,36-381-4163,Norfolk Souther Corporation,NSC,Transportation,CY45 9539 2918 DMEO O0IT DW35 LJSG
Youbridge,Schneider-Waelchi,n/a,95-325-7341,Eastman Kodak Company,KODK.WS,n/a,GE72 SJ41 0581 2697 5140 87
Buzzbean,"Stehr, Reinger and Hickle",Major Banks,13-686-2331,First Community Corporation,FCCO,Finance,BE37 3012 3431 9859
Meejo,Roob Inc,Auto Parts:O.E.M.,17-804-2311,"Stoneridge, Inc.",SRI,Capital Goods,FR20 6738 5914 32ZF J1KB 3MQL D46
Wikivu,Stroman-Lind,n/a,53-643-9855,Dividend and Income Fund,DNI,n/a,FR45 4286 4947 560C DB5I KLX2 342
Skiptube,Glover-Haley,n/a,94-611-2995,Anworth Mortgage Asset  Corporation,ANH^C,n/a,AD41 0595 7382 INRR JDZV A57X
Quamba,Leannon Group,Business Services,98-036-0042,Barington/Hilco Acquisition Corp.,BHACR,Finance,GL93 1055 3193 3566 50
Brainlounge,Watsica Group,Real Estate Investment Trusts,75-468-9308,"Global Net Lease, Inc.",GNL,Consumer Services,MT58 WJBW 8299 9NOH EKWE 7CLB EHU9 NNH
Twinder,"Lang, Quitzon and Wilderman",Major Pharmaceuticals,56-952-9709,"Sarepta Therapeutics, Inc.",SRPT,Health Care,PK71 NSED QUOE KWSZ OLAY KBZE
Babbleset,"Leuschke, Schuster and Murray",Automotive Aftermarket,86-229-4707,"America's Car-Mart, Inc.",CRMT,Consumer Durables,RO40 QFBW G3EB WLQ6 4205 YKD9
Jabbersphere,Kshlerin-Denesik,Major Banks,23-933-7956,Comerica Incorporated,CMA,Finance,PS92 UFAY HWWK 6GB7 BORO LJKZ QJMU U
Brainsphere,"Oberbrunner, Nicolas and Boyle",Major Banks,20-428-2256,"SunTrust Banks, Inc.",STI,Finance,FR05 3921 6775 51HT GZNW VHJD E49
Fivespan,Beahan LLC,Major Pharmaceuticals,99-857-1763,Strongbridge Biopharma plc,SBBP,Health Care,MC88 2851 0927 79HS HRPL NK7A X35
Topdrive,Waters-Metz,n/a,32-548-0686,"PS Business Parks, Inc.",PSB^W,n/a,HR57 9980 8936 1732 1985 3
Jaxworks,McLaughlin-Wilkinson,n/a,67-190-8150,FIRST REPUBLIC BANK,FRC^E,n/a,PT22 6737 4108 1902 7175 0211 6
Jayo,Hartmann-Schuppe,Natural Gas Distribution,34-938-4227,Antero Midstream Partners LP,AM,Public Utilities,GE62 FA64 6591 7004 9382 81
Yombu,Greenfelder Group,Major Pharmaceuticals,61-094-0108,Cumberland Pharmaceuticals Inc.,CPIX,Health Care,SK77 2668 0717 9803 2479 1850
