Principal Balance,UPB,Loan ID,Origination Channel,MARP Status,Origination Date,Last Payment Amount,Origination Country,Loan Purpose,Prod Type,Amort Type,Org Mat Date,Cur Mat Date,Currency,Org Amount,Accrued Interest Balance (On book),Original Rate Type,Rate Description,Original Interest Rate Reference,Current Rate Type,Current Rate Ref,Early Redemption Penalty,Last Payment Date,Next Principal Scheduled Repayment Date,Early Redemption Penalty,Loan Status,Days in Past-Due
80750,80764.45,ZLP27391,Branch,Not in MARP,6/4/2013,236.1111111,Ireland,Mortage,Loan,Linear,5/27/2045,6/1/2045,EUR,200000,14.45,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
190000,190034,ZLP27392,Web,Not in MARP,6/5/2013,555.5555556,Ireland,Mortage,Loan,Linear,5/28/2045,6/2/2045,EUR,175000,34,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,213
150030,150055.5,ZLP27393,Broker,Not in MARP,6/6/2013,416.6666667,Ireland,Mortage,Loan,Linear,5/29/2045,5/28/2051,EUR,170000,25.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,187
129200,129540,ZLP27394,Branch,Not in MARP,6/7/2013,377.7777778,Ireland,Mortage,Loan,Linear,5/30/2045,5/29/2050,EUR,165000,340,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
140700,141122.1,ZLP27395,Web,Not in MARP,6/8/2013,434.2592593,Ireland,Mortage,Loan,Linear,5/31/2045,5/30/2050,EUR,160000,422.1,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
158666.6667,159602.4762,ZLP27396,Broker,Not in MARP,6/9/2013,449.7354497,Ireland,Mortage,Loan,Linear,6/1/2045,5/31/2050,EUR,155000,935.8095238,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
159102.381,159939.7619,ZLP27397,Branch,Not in MARP,6/10/2013,465.2116402,Ireland,Mortage,Loan,Linear,6/2/2045,6/1/2050,EUR,150000,837.3809524,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
164395.2381,164424.6562,ZLP27398,Branch,Not in MARP,6/11/2013,480.6878307,Ireland,Mortage,Loan,Linear,6/3/2045,6/2/2050,EUR,145000,29.41809524,fixed,,,fixed,,0.03,7/23/2019,8/30/2019,0.04,non-performing,93
169688.0952,170581.1905,ZLP27399,Web,Not in MARP,6/12/2013,496.1640212,Ireland,Mortage,Loan,Linear,6/4/2045,6/2/2053,EUR,140000,893.0952381,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,200
174980.9524,175901.9048,ZLP27400,Broker,Not in MARP,6/13/2013,511.6402116,Ireland,Mortage,Loan,Linear,6/5/2045,6/10/2045,EUR,135000,920.952381,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
170785.7143,171260.119,ZLP27401,Branch,Not in MARP,6/14/2013,0,Ireland,Mortage,Loan,Linear,6/6/2045,6/11/2045,EUR,130000,474.4047619,variable,,LIBOR,fixed,LIBOR,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
191426.6667,191954.0667,ZLP27402,Web,Not in MARP,6/15/2013,542.5925926,Ireland,Mortage,Loan,Linear,6/7/2045,6/12/2045,EUR,125000,527.4,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
190000,191156,ZLP27403,Broker,Not in MARP,6/16/2013,555.5555556,Ireland,Mortage,Loan,Linear,6/8/2045,6/13/2045,EUR,200000,1156,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
135000,135750,ZLP27404,Branch,ARA,6/17/2013,416.6666667,Ireland,Mortage,Loan,Linear,6/9/2045,6/14/2045,EUR,221666.6667,750,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
98000,98270,ZLP27405,Branch,Exited MARP,6/18/2013,277.7777778,Ireland,Mortage,Loan,Linear,6/10/2045,6/15/2045,EUR,256666.6667,270,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,190
80750,81241.3,ZLP27406,Web,Not in MARP,6/19/2013,236.1111111,Ireland,Mortage,Loan,Linear,6/11/2045,6/10/2051,EUR,291666.6667,491.3,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
190000,191000,ZLP27407,Broker,ARA,6/20/2013,555.5555556,Ireland,Mortage,Loan,Linear,6/12/2045,6/11/2050,EUR,326666.6667,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
150030,150055.5,ZLP27408,Branch,ARA,6/21/2013,416.6666667,Ireland,Mortage,Loan,Linear,6/13/2045,6/12/2050,EUR,361666.6667,25.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
129200,129223.12,ZLP27409,Web,ARA,6/22/2013,377.7777778,Ireland,Mortage,Loan,Linear,6/14/2045,6/13/2050,EUR,396666.6667,23.12,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
119442.8571,119465.4186,ZLP27410,Broker,Not in MARP,6/23/2013,368.6507937,Ireland,Mortage,Loan,Linear,6/15/2045,6/14/2050,EUR,431666.6667,22.56142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
126840,127163.5714,ZLP27411,Branch,Not in MARP,6/24/2013,0,Ireland,Mortage,Loan,Linear,6/16/2045,6/15/2050,EUR,125000,323.5714286,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,320
119835.7143,120176.3,ZLP27412,Branch,Not in MARP,6/25/2013,350.3968254,Ireland,Mortage,Loan,Linear,6/17/2045,6/15/2053,EUR,132714.2857,340.5857143,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
116714.2857,117424.4,ZLP27413,Web,Not in MARP,6/26/2013,341.2698413,Ireland,Mortage,Loan,Linear,6/18/2045,6/23/2045,EUR,129428.5714,710.1142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
113592.8571,114190.7143,ZLP27414,Broker,Not in MARP,6/27/2013,332.1428571,Ireland,Mortage,Loan,Linear,6/19/2045,6/24/2045,EUR,126142.8571,597.8571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
110471.4286,110491.1971,ZLP27415,Branch,Not in MARP,6/28/2013,323.015873,Ireland,Mortage,Loan,Linear,6/20/2045,6/25/2045,EUR,122857.1429,19.76857143,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
180000,181000,ZLP27416,Web,Not in MARP,6/29/2013,555.5555556,Ireland,Mortage,Loan,Linear,6/21/2045,6/26/2045,EUR,119571.4286,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
147000,147750,ZLP27417,Broker,Not in MARP,6/30/2013,416.6666667,Ireland,Mortage,Loan,Linear,2/8/2045,2/13/2045,EUR,116285.7143,750,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
95000,95250,ZLP27418,Branch,Not in MARP,7/1/2013,277.7777778,Ireland,Mortage,Loan,Linear,2/9/2045,2/14/2045,EUR,132714.2857,250,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,92
76500,76729.5,ZLP27419,Branch,Not in MARP,7/2/2013,0,Ireland,Mortage,Loan,Linear,2/10/2045,2/9/2051,EUR,129428.5714,229.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,300
196000,197156,ZLP27420,Web,Not in MARP,7/3/2013,555.5555556,Ireland,Mortage,Loan,Linear,2/11/2045,2/10/2050,EUR,126142.8571,1156,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
142500,143250,ZLP27421,Broker,Not in MARP,7/4/2013,416.6666667,Ireland,Mortage,Loan,Linear,2/12/2045,2/11/2050,EUR,122857.1429,750,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
129200,129567.2,ZLP27422,Branch,Not in MARP,7/5/2013,377.7777778,Ireland,Mortage,Loan,Linear,2/13/2045,2/12/2050,EUR,119571.4286,367.2,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
132740.8286,133507.9171,ZLP27423,Web,Not in MARP,7/6/2013,368.6507937,Ireland,Mortage,Loan,Linear,2/14/2045,2/13/2050,EUR,116285.7143,767.0885714,fixed,,,fixed,,0.03,7/23/2019,8/30/2019,0.04,non-performing,97
122957.1429,123604.2857,ZLP27424,Broker,ARA,7/7/2013,359.5238095,Ireland,Mortage,Loan,Linear,2/15/2045,2/14/2050,EUR,132714.2857,647.1428571,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
113528.5714,113550.0157,ZLP27425,Branch,Exited MARP,7/8/2013,350.3968254,Ireland,Mortage,Loan,Linear,2/16/2045,2/14/2053,EUR,129428.5714,21.44428571,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,198
120400,120420.8857,ZLP27426,Branch,Not in MARP,7/9/2013,341.2698413,Ireland,Mortage,Loan,Linear,2/17/2045,2/22/2045,EUR,126142.8571,20.88571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
113592.8571,113613.1843,ZLP27427,Web,ARA,7/10/2013,332.1428571,Ireland,Mortage,Loan,Linear,2/18/2045,2/23/2045,EUR,122857.1429,20.32714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
110471.4286,110762.1429,ZLP27428,Broker,ARA,7/11/2013,323.015873,Ireland,Mortage,Loan,Linear,2/19/2045,2/24/2045,EUR,119571.4286,290.7142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
142500,142905,ZLP27429,Branch,ARA,7/12/2013,416.6666667,Ireland,Mortage,Loan,Linear,2/20/2045,2/25/2045,EUR,116285.7143,405,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
95000,95578,ZLP27430,Web,Not in MARP,7/13/2013,277.7777778,Ireland,Mortage,Loan,Linear,2/21/2045,2/26/2045,EUR,132714.2857,578,variable,,LIBOR,fixed,LIBOR,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
76500,76925,ZLP27431,Broker,Not in MARP,7/14/2013,0,Ireland,Mortage,Loan,Linear,2/22/2045,2/27/2045,EUR,129428.5714,425,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,400
196000,196034,ZLP27432,Branch,Not in MARP,7/15/2013,800,Ireland,Mortage,Loan,Linear,2/23/2045,2/22/2051,EUR,126142.8571,34,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
142500,143250,ZLP27433,Branch,Not in MARP,7/16/2013,416.6666667,Ireland,Mortage,Loan,Linear,2/24/2045,2/23/2050,EUR,122857.1429,750,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
122400,123080,ZLP27434,Web,Not in MARP,7/17/2013,377.7777778,Ireland,Mortage,Loan,Linear,2/25/2045,2/24/2050,EUR,119571.4286,680,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
153206.6667,153597.5,ZLP27435,Broker,Not in MARP,7/18/2013,434.2592593,Ireland,Mortage,Loan,Linear,2/26/2045,2/25/2050,EUR,116285.7143,390.8333333,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
153809.5238,154246.6667,ZLP27436,Branch,Not in MARP,7/19/2013,449.7354497,Ireland,Mortage,Loan,Linear,2/27/2045,2/26/2050,EUR,119571.4286,437.1428571,fixed,,,fixed,,0.03,7/22/2019,8/30/2019,0.04,non-performing,93
159102.381,160070.3933,ZLP27437,Web,Not in MARP,7/20/2013,465.2116402,Ireland,Mortage,Loan,Linear,2/28/2045,2/27/2050,EUR,116285.7143,968.012381,fixed,,,fixed,,0.03,7/31/2019,8/30/2019,0.04,non-performing,260
173082.2286,173947.4667,ZLP27438,Broker,Not in MARP,7/21/2013,480.6878307,Ireland,Mortage,Loan,Linear,3/1/2045,2/27/2053,EUR,200000,865.2380952,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
169688.0952,170170.3667,ZLP27439,Branch,Not in MARP,7/22/2013,496.1640212,Ireland,Mortage,Loan,Linear,3/2/2045,3/7/2045,EUR,200000,482.2714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
165771.4286,166836.0495,ZLP27440,Branch,Not in MARP,7/23/2013,511.6402116,Ireland,Mortage,Loan,Linear,3/3/2045,3/8/2045,EUR,150000,1064.620952,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
185966.6667,186915.4762,ZLP27441,Web,Not in MARP,7/24/2013,527.1164021,Ireland,Mortage,Loan,Linear,3/4/2045,3/9/2045,EUR,200000,948.8095238,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
185566.6667,185599.8733,ZLP27442,Broker,Not in MARP,7/25/2013,542.5925926,Ireland,Mortage,Loan,Linear,3/5/2045,3/10/2045,EUR,175000,33.20666667,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
190000,190034,ZLP27443,Branch,Not in MARP,7/26/2013,555.5555556,Ireland,Mortage,Loan,Linear,3/6/2045,3/11/2045,EUR,170000,34,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
142500,142525.5,ZLP27444,Web,ARA,7/27/2013,416.6666667,Ireland,Mortage,Loan,Linear,3/7/2045,3/12/2045,EUR,165000,25.5,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,92
95000,95250,ZLP27445,Broker,Exited MARP,7/28/2013,277.7777778,Ireland,Mortage,Loan,Linear,3/8/2045,3/7/2051,EUR,160000,250,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
76500,76729.5,ZLP27446,Branch,Not in MARP,7/29/2013,236.1111111,Ireland,Mortage,Loan,Linear,3/9/2045,3/8/2050,EUR,155000,229.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
196000,197156,ZLP27447,Branch,ARA,7/30/2013,555.5555556,Ireland,Mortage,Loan,Linear,3/10/2045,3/9/2050,EUR,150000,1156,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
142500,143250,ZLP27448,Web,ARA,7/31/2013,416.6666667,Ireland,Mortage,Loan,Linear,3/11/2045,3/10/2050,EUR,145000,750,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
122400,122423.12,ZLP27449,Broker,ARA,8/1/2013,377.7777778,Ireland,Mortage,Loan,Linear,3/12/2045,3/11/2050,EUR,140000,23.12,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
130060,130723.5714,ZLP27450,Branch,Not in MARP,8/2/2013,368.6507937,Ireland,Mortage,Loan,Linear,3/13/2045,3/12/2050,EUR,135000,663.5714286,fixed,,,fixed,,0.03,7/23/2019,8/30/2019,0.04,non-performing,92
122957.1429,123604.2857,ZLP27451,Web,Not in MARP,8/3/2013,359.5238095,Ireland,Mortage,Loan,Linear,3/14/2045,3/12/2053,EUR,130000,647.1428571,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,180
119835.7143,120151.0714,ZLP27452,Broker,Not in MARP,8/4/2013,350.3968254,Ireland,Mortage,Loan,Linear,3/15/2045,3/20/2045,EUR,125000,315.3571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,170
122881.7143,123213.4286,ZLP27453,Branch,Not in MARP,8/5/2013,341.2698413,Ireland,Mortage,Loan,Linear,3/16/2045,3/21/2045,EUR,200000,331.7142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,213
113592.8571,114283.98,ZLP27454,Branch,Not in MARP,8/6/2013,332.1428571,Ireland,Mortage,Loan,Linear,3/17/2045,3/22/2045,EUR,200000,691.1228571,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,280
104657.1429,105238.5714,ZLP27455,Web,Not in MARP,8/7/2013,323.015873,Ireland,Mortage,Loan,Linear,3/18/2045,3/23/2045,EUR,150000,581.4285714,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
196000,196540,ZLP27456,Broker,Not in MARP,8/8/2013,555.5555556,Ireland,Mortage,Loan,Linear,3/19/2045,3/24/2045,EUR,200000,540,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
142500,143367,ZLP27457,Branch,Not in MARP,8/9/2013,416.6666667,Ireland,Mortage,Loan,Linear,3/20/2045,3/25/2045,EUR,175000,867,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
95000,95500,ZLP27458,Web,Not in MARP,8/10/2013,277.7777778,Ireland,Mortage,Loan,Linear,3/21/2045,3/20/2051,EUR,170000,500,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
80750,80764.45,ZLP27459,Broker,Not in MARP,8/11/2013,236.1111111,Ireland,Mortage,Loan,Linear,3/22/2045,3/21/2050,EUR,165000,14.45,variable,,LIBOR,fixed,LIBOR,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
190000,190034,ZLP27460,Branch,Not in MARP,8/12/2013,555.5555556,Ireland,Mortage,Loan,Linear,3/23/2045,3/22/2050,EUR,160000,34,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,213
135000,135025.5,ZLP27461,Branch,Not in MARP,8/13/2013,0,Ireland,Mortage,Loan,Linear,3/24/2045,3/23/2050,EUR,155000,25.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,350
133280,133620,ZLP27462,Web,Not in MARP,8/14/2013,377.7777778,Ireland,Mortage,Loan,Linear,3/25/2045,3/24/2050,EUR,150000,340,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
126078.5714,126436.9,ZLP27463,Broker,Not in MARP,8/15/2013,368.6507937,Ireland,Mortage,Loan,Linear,3/26/2045,3/25/2050,EUR,145000,358.3285714,fixed,,,fixed,,0.03,7/29/2019,8/30/2019,0.04,non-performing,91
116485.7143,117233.8114,ZLP27464,Branch,ARA,8/16/2013,0,Ireland,Mortage,Loan,Linear,3/27/2045,3/25/2053,EUR,140000,748.0971429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
123620,124250.7143,ZLP27465,Web,Exited MARP,8/17/2013,350.3968254,Ireland,Mortage,Loan,Linear,3/28/2045,4/2/2045,EUR,135000,630.7142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
116714.2857,116735.1714,ZLP27466,Broker,Not in MARP,8/18/2013,341.2698413,Ireland,Mortage,Loan,Linear,3/29/2045,4/3/2045,EUR,130000,20.88571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
113592.8571,114190.7143,ZLP27467,Branch,ARA,8/19/2013,332.1428571,Ireland,Mortage,Loan,Linear,3/30/2045,4/4/2045,EUR,125000,597.8571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,270
116308.9714,116890.4,ZLP27468,Branch,ARA,8/20/2013,323.015873,Ireland,Mortage,Loan,Linear,3/31/2045,4/5/2045,EUR,200000,581.4285714,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
142500,142875,ZLP27469,Web,ARA,8/21/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/1/2045,4/6/2045,EUR,221666.6667,375,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
90000,90270,ZLP27470,Broker,Not in MARP,8/22/2013,277.7777778,Ireland,Mortage,Loan,Linear,4/2/2045,4/7/2045,EUR,256666.6667,270,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
83300,83791.3,ZLP27471,Branch,Not in MARP,8/23/2013,236.1111111,Ireland,Mortage,Loan,Linear,4/3/2045,4/2/2051,EUR,291666.6667,491.3,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
190000,191000,ZLP27472,Web,Not in MARP,8/24/2013,555.5555556,Ireland,Mortage,Loan,Linear,4/4/2045,4/3/2050,EUR,326666.6667,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
142500,142905,ZLP27473,Broker,Not in MARP,8/25/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/5/2045,4/4/2050,EUR,361666.6667,405,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,200
129200,129986.08,ZLP27474,Branch,Not in MARP,8/26/2013,468.9655172,Ireland,Mortage,Loan,Linear,4/6/2045,4/5/2050,EUR,396666.6667,786.08,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
148516.6667,149298.3333,ZLP27475,Branch,Not in MARP,8/27/2013,0,Ireland,Mortage,Loan,Linear,4/7/2045,4/6/2050,EUR,431666.6667,781.6666667,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,400
145714.2857,145741.8095,ZLP27476,Web,Not in MARP,8/28/2013,449.7354497,Ireland,Mortage,Loan,Linear,4/8/2045,4/7/2050,EUR,132714.2857,27.52380952,fixed,,,fixed,,0.03,7/23/2019,8/30/2019,0.04,non-performing,95
164126.6667,164155.1376,ZLP27477,Broker,Not in MARP,8/29/2013,465.2116402,Ireland,Mortage,Loan,Linear,4/9/2045,4/7/2053,EUR,129428.5714,28.47095238,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
164395.2381,164424.6562,ZLP27478,Branch,Not in MARP,8/30/2013,480.6878307,Ireland,Mortage,Loan,Linear,4/10/2045,4/15/2045,EUR,126142.8571,29.41809524,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
160757.1429,161203.6905,ZLP27479,Web,Not in MARP,8/31/2013,496.1640212,Ireland,Mortage,Loan,Linear,4/11/2045,4/16/2045,EUR,122857.1429,446.547619,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,20
180506.6667,181003.981,ZLP27480,Broker,Not in MARP,9/1/2013,511.6402116,Ireland,Mortage,Loan,Linear,4/12/2045,4/17/2045,EUR,119571.4286,497.3142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
180273.8095,181370.6333,ZLP27481,Branch,Not in MARP,9/2/2013,527.1164021,Ireland,Mortage,Loan,Linear,4/13/2045,4/18/2045,EUR,116285.7143,1096.82381,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,92
185566.6667,186543.3333,ZLP27482,Branch,Not in MARP,9/3/2013,542.5925926,Ireland,Mortage,Loan,Linear,4/14/2045,4/19/2045,EUR,132714.2857,976.6666667,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,180
200040,200074,ZLP27483,Web,Not in MARP,9/4/2013,555.5555556,Ireland,Mortage,Loan,Linear,4/15/2045,4/20/2045,EUR,129428.5714,34,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,170
142500,143250,ZLP27484,Broker,ARA,9/5/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/16/2045,4/15/2051,EUR,126142.8571,750,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,213
90000,90500,ZLP27485,Branch,Exited MARP,9/6/2013,277.7777778,Ireland,Mortage,Loan,Linear,4/17/2045,4/16/2050,EUR,122857.1429,500,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,200
83300,83512.5,ZLP27486,Web,Not in MARP,9/7/2013,236.1111111,Ireland,Mortage,Loan,Linear,4/18/2045,4/17/2050,EUR,119571.4286,212.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
190000,190540,ZLP27487,Broker,ARA,9/8/2013,555.5555556,Ireland,Mortage,Loan,Linear,4/19/2045,4/18/2050,EUR,116285.7143,540,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
142500,143367,ZLP27488,Branch,ARA,9/9/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/20/2045,4/19/2050,EUR,132714.2857,867,variable,,LIBOR,fixed,LIBOR,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
129200,129880,ZLP27489,Branch,ARA,9/10/2013,377.7777778,Ireland,Mortage,Loan,Linear,4/21/2045,4/20/2050,EUR,129428.5714,680,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
126078.5714,126436.9,ZLP27490,Web,Not in MARP,9/11/2013,368.6507937,Ireland,Mortage,Loan,Linear,4/22/2045,4/20/2053,EUR,126142.8571,358.3285714,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
116485.7143,117233.8114,ZLP27491,Broker,Not in MARP,9/12/2013,359.5238095,Ireland,Mortage,Loan,Linear,4/23/2045,4/28/2045,EUR,122857.1429,748.0971429,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
123620,124250.7143,ZLP27492,Branch,Not in MARP,9/13/2013,350.3968254,Ireland,Mortage,Loan,Linear,4/24/2045,4/29/2045,EUR,119571.4286,630.7142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
116714.2857,116735.1714,ZLP27493,Web,Not in MARP,9/14/2013,0,Ireland,Mortage,Loan,Linear,4/25/2045,4/30/2045,EUR,116285.7143,20.88571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,360
107614.2857,107634.6129,ZLP27494,Broker,Not in MARP,9/15/2013,332.1428571,Ireland,Mortage,Loan,Linear,4/26/2045,5/1/2045,EUR,132714.2857,20.32714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
113960,113979.7686,ZLP27495,Branch,Not in MARP,9/16/2013,323.015873,Ireland,Mortage,Loan,Linear,4/27/2045,5/2/2045,EUR,129428.5714,19.76857143,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
190000,190500,ZLP27496,Branch,Not in MARP,9/17/2013,555.5555556,Ireland,Mortage,Loan,Linear,4/28/2045,5/3/2045,EUR,126142.8571,500,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
142500,142905,ZLP27497,Web,Not in MARP,9/18/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/29/2045,4/28/2051,EUR,122857.1429,405,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
100020,100598,ZLP27498,Broker,Not in MARP,9/19/2013,277.7777778,Ireland,Mortage,Loan,Linear,4/30/2045,4/29/2050,EUR,119571.4286,578,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
80750,81175,ZLP27499,Branch,Not in MARP,9/20/2013,236.1111111,Ireland,Mortage,Loan,Linear,5/1/2045,4/30/2050,EUR,116285.7143,425,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
180000,180034,ZLP27500,Web,Not in MARP,9/21/2013,555.5555556,Ireland,Mortage,Loan,Linear,5/2/2045,5/1/2050,EUR,119571.4286,34,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,92
