Contract Identifier,Instrument Identifier,Channel of Origination,Date of Origination,Country of Origination,Asset Class,Loan Purpose,Product Type,Amortisation Type,Original Maturity Date,Current Maturity Date,Loan Currency,Origination Amount,Principal Balance,Accrued Interest Balance (On book),Total Balance,Original Interest Rate,Original Interest Rate Type,Current Interest Rate Type,Current Interest Rate Reference,Early Redemption Penalty,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Loan Status,Days in Past-Due,,,,
A00019586,LP19523,Branch,6/2/2015,USA,Resi,Mortage,Loan,Linear,5/25/2045,5/24/2051,USD,200000,190000,1000,191000,0.043336114,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,,90,,,,
A00019587,LP19524,Branch,6/3/2015,USA,Resi,Mortage,Loan,Balloon,5/26/2045,5/25/2050,USD,150000,135000,405,135405,0.043440675,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,91,,,,
A00019588,LP19525,Web,6/4/2015,USA,Resi,Mortage,Loan,Linear,5/27/2045,5/26/2050,USD,100000,98000,578,98578,0.043545235,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,95,,,,
A00019589,LP19526,Broker,6/5/2015,USA,Resi,Mortage,Loan,Linear,5/28/2045,5/27/2050,USD,85000,80750,425,81175,0.043649796,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,97,,,,
A00019590,LP19527,Branch,6/6/2015,USA,Resi,Mortage,Loan,Linear,5/29/2045,5/28/2050,USD,200000,190000,34,190034,0.043754357,mixed,fixed,,0.03,7/23/2019,555.5555556,555.5555556,non-performing,93,,,,
A00019591,LP19528,Web,6/7/2015,USA,Resi,Mortage,Loan,Linear,5/30/2045,5/29/2050,USD,150000,150030,25.5,150055.5,0.043858917,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,20,,,,
A00019592,LP19529,Broker,6/8/2015,USA,Resi,Mortage,Loan,Linear,5/31/2045,5/29/2053,USD,136000,129200,23.12,129223.12,0.043963478,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,,90,,,,
A00019593,LP19530,Branch,6/9/2015,USA,Resi,Mortage,Loan,Linear,6/1/2045,6/6/2045,USD,132714.2857,119442.8571,331.7857143,119774.6429,0.044068039,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,non-performing,92,,,,
A00019594,LP19531,Branch,6/10/2015,USA,Resi,Mortage,Loan,Linear,6/2/2045,6/7/2045,USD,129428.5714,126840,349.4571429,127189.4571,0.044172599,mixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,non-performing,180,,,,
A00019595,LP19532,Web,6/11/2015,USA,Resi,Mortage,Loan,Linear,6/3/2045,6/8/2045,USD,126142.8571,119835.7143,729.1057143,120564.82,0.04427716,fixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,non-performing,170,,,,
A00019596,LP19533,Broker,6/12/2015,USA,CRE,Mortage,Loan,Linear,6/4/2045,6/9/2045,USD,122857.1429,116714.2857,614.2857143,117328.5714,0.04438172,fixed,fixed,,0.03,7/26/2019,341.2698413,341.2698413,non-performing,213,,,,
A00019597,LP19534,Branch,6/13/2015,USA,Resi,Mortage,Loan,Linear,6/5/2045,6/10/2045,USD,119571.4286,113592.8571,20.32714286,113613.1843,0.044486281,fixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,,20,,,,
A00019598,LP19535,Web,6/14/2015,USA,Resi,Mortage,Loan,Linear,6/6/2045,6/11/2045,USD,116285.7143,110471.4286,581.4285714,111052.8571,0.044590842,fixed,fixed,,0.03,7/26/2019,323.015873,323.015873,,90,,,,
A00019599,LP19536,Broker,6/15/2015,USA,Resi,Mortage,Loan,Linear,6/7/2045,6/6/2051,USD,200000,180000,1000,181000,0.044695402,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,91,,,,
A00019600,LP19537,Branch,6/16/2015,USA,Resi,Mortage,Loan,Linear,6/8/2045,6/7/2050,USD,150000,147000,375,147375,0.044799963,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,95,,,,
A00019601,LP19538,Branch,6/17/2015,USA,CRE,Mortage,Loan,Linear,6/9/2045,6/8/2050,USD,100000,95000,270,95270,0.044904524,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,97,,,,
A00019602,LP19539,Web,6/18/2015,USA,Resi,Mortage,Loan,Linear,6/10/2045,6/9/2050,USD,85000,76500,491.3,76991.3,0.04,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,93,,,,
A00019603,LP19540,Broker,6/19/2015,USA,Resi,Mortage,Loan,Linear,6/11/2045,6/10/2050,USD,200000,196000,1000,197000,0.035,fixed,fixed,,0.03,7/29/2019,555.5555556,555.5555556,non-performing,213,,,,
A00019604,LP19541,Branch,6/20/2015,USA,Resi,Mortage,Loan,Linear,6/12/2045,6/11/2050,USD,150000,142500,405,142905,0.04,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,20,,,,
A00019605,LP19542,Web,6/21/2015,USA,Resi,Mortage,Loan,Linear,6/13/2045,6/11/2053,USD,136000,129200,786.08,129986.08,0.04,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,,90,,,,
A00019606,LP19543,Broker,6/22/2015,USA,Resi,Mortage,Loan,Linear,6/14/2045,6/19/2045,USD,132714.2857,132740.8286,663.5714286,133404.4,0.04,fixed,fixed,,0.03,7/26/2019,331.7857143,368.6507937,non-performing,91,,,,
A00019607,LP19544,Branch,6/23/2015,USA,Resi,Mortage,Loan,Balloon,6/15/2045,6/20/2045,USD,129428.5714,122957.1429,22.00285714,122979.1457,0.0375,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,non-performing,95,,,,
A00019608,LP19545,Branch,6/24/2015,USA,Resi,Mortage,Loan,Linear,6/16/2045,6/21/2045,USD,126142.8571,113528.5714,21.44428571,113550.0157,0.04,mixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,non-performing,97,,,,
A00019609,LP19546,Web,6/25/2015,USA,Resi,Mortage,Loan,Linear,6/17/2045,6/22/2045,USD,122857.1429,120400,20.88571429,120420.8857,0.04,variable,fixed,LIBOR,0.03,7/26/2019,341.2698413,341.2698413,non-performing,93,,,,
A00019610,LP19547,Broker,6/26/2015,USA,Resi,Mortage,Loan,Linear,6/18/2045,6/23/2045,USD,119571.4286,113592.8571,298.9285714,113891.7857,0.04,fixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,,20,,,,
A00019611,LP19548,Branch,6/27/2015,USA,Resi,Mortage,Loan,Linear,6/19/2045,6/24/2045,USD,116285.7143,110471.4286,313.9714286,110785.4,0.04,fixed,fixed,,0.03,7/26/2019,323.015873,323.015873,,90,,,,
A00019612,LP19549,Web,6/28/2015,USA,Resi,Mortage,Loan,Linear,6/20/2045,6/19/2051,USD,150000,142500,867,143367,0.04,mixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,91,,,,
A00019613,LP19550,Broker,6/29/2015,USA,Resi,Mortage,Loan,Linear,6/21/2045,6/20/2050,USD,100000,95000,500,95500,0.04,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,95,,,,
A00019614,LP19551,Branch,4/20/2015,USA,Resi,Mortage,Loan,Linear,4/12/2045,4/11/2050,USD,85000,76500,14.45,76514.45,0.0375,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,97,,,,
A00019615,LP19552,Branch,4/21/2015,USA,Resi,Mortage,Loan,Linear,4/13/2045,4/12/2050,USD,200000,196000,1000,197000,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,93,,,,
A00019616,LP19553,Web,4/22/2015,USA,Resi,Mortage,Loan,Linear,4/14/2045,4/13/2050,USD,150000,142500,750,143250,0.04,fixed,fixed,,0.03,7/23/2019,416.6666667,416.6666667,,90,,,,
A00019617,LP19554,Broker,4/23/2015,USA,CRE,Mortage,Loan,Linear,4/15/2045,4/14/2050,USD,136000,122400,340,122740,0.04,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,non-performing,92,,,,
A00019618,LP19555,Branch,4/24/2015,USA,Resi,Mortage,Loan,Linear,4/16/2045,4/14/2053,USD,156333.3333,153206.6667,422.1,153628.7667,0.035,fixed,fixed,,0.03,7/26/2019,434.2592593,434.2592593,non-performing,180,,,,
A00019619,LP19556,Web,4/25/2015,USA,Resi,Mortage,Loan,Linear,4/17/2045,4/22/2045,USD,161904.7619,153809.5238,935.8095238,154745.3333,0.04,mixed,fixed,,0.03,7/26/2019,449.7354497,449.7354497,non-performing,170,,,,
A00019620,LP19557,Broker,4/26/2015,USA,Resi,Mortage,Loan,Linear,4/18/2045,4/23/2045,USD,167476.1905,159102.381,837.3809524,159939.7619,0.04,fixed,fixed,,0.03,7/26/2019,465.2116402,465.2116402,non-performing,213,,,,
A00019621,LP19558,Branch,4/27/2015,USA,Resi,Mortage,Loan,Linear,4/19/2045,4/24/2045,USD,173047.619,173082.2286,467.2285714,173549.4571,0.04,fixed,fixed,,0.03,7/26/2019,480.6878307,480.6878307,,20,,,,
A00019622,LP19559,Branch,4/28/2015,USA,CRE,Mortage,Loan,Linear,4/20/2045,4/25/2045,USD,178619.0476,169688.0952,1032.418095,170720.5133,0.04,fixed,fixed,,0.03,7/26/2019,496.1640212,496.1640212,,90,,,,
A00019623,LP19560,Web,4/29/2015,USA,Resi,Mortage,Loan,Linear,4/21/2045,4/26/2045,USD,184190.4762,165771.4286,920.952381,166692.381,0.04,mixed,fixed,,0.03,7/26/2019,511.6402116,511.6402116,non-performing,91,,,,
A00019624,LP19561,Broker,4/30/2015,USA,Resi,Mortage,Loan,Linear,4/22/2045,4/27/2045,USD,189761.9048,185966.6667,32.25952381,185998.9262,0.04,fixed,fixed,,0.03,7/26/2019,527.1164021,527.1164021,non-performing,95,,,,
A00019625,LP19562,Branch,5/1/2015,USA,Resi,Mortage,Loan,Linear,4/23/2045,4/22/2051,USD,195333.3333,185566.6667,33.20666667,185599.8733,0.04,fixed,fixed,,0.03,7/26/2019,542.5925926,542.5925926,non-performing,97,,,,
A00019626,LP19563,Web,5/2/2015,USA,Resi,Mortage,Loan,Linear,4/24/2045,4/23/2050,USD,200000,190000,34,190034,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,93,,,,
A00019627,LP19564,Broker,5/3/2015,USA,Resi,Mortage,Loan,Balloon,4/25/2045,4/24/2050,USD,150000,142500,375,142875,0.04,fixed,fixed,,0.03,7/26/2019,600,416.6666667,non-performing,213,,,,
A00019628,LP19565,Branch,5/4/2015,USA,Resi,Mortage,Loan,Linear,4/26/2045,4/25/2050,USD,100000,95000,270,95270,0.04,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,,20,,,,
A00019629,LP19566,Branch,5/5/2015,USA,Resi,Mortage,Loan,Linear,4/27/2045,4/26/2050,USD,85000,76500,491.3,76991.3,0.04,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,,90,,,,
A00019630,LP19567,Web,5/6/2015,USA,Resi,Mortage,Loan,Linear,4/28/2045,4/27/2050,USD,200000,196000,1000,197000,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,91,,,,
A00019631,LP19568,Broker,5/7/2015,USA,Resi,Mortage,Loan,Linear,4/29/2045,4/27/2053,USD,150000,142500,25.5,142525.5,0.05,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,95,,,,
A00019632,LP19569,Branch,5/8/2015,USA,Resi,Mortage,Loan,Linear,4/30/2045,5/5/2045,USD,136000,122400,680,123080,0.041454023,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,non-performing,97,,,,
A00019633,LP19570,Web,5/9/2015,USA,Resi,Mortage,Loan,Linear,5/1/2045,5/6/2045,USD,132714.2857,130060,663.5714286,130723.5714,0.041558584,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,non-performing,93,,,,
A00019634,LP19571,Broker,5/10/2015,USA,Resi,Mortage,Loan,Linear,5/2/2045,5/7/2045,USD,129428.5714,122957.1429,323.5714286,123280.7143,0.041663144,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,,20,,,,
A00019635,LP19572,Branch,5/11/2015,USA,Resi,Mortage,Loan,Linear,5/3/2045,5/8/2045,USD,126142.8571,119835.7143,340.5857143,120176.3,0.041767705,fixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,,90,,,,
A00019636,LP19573,Branch,5/12/2015,USA,Resi,Mortage,Loan,Linear,5/4/2045,5/9/2045,USD,122857.1429,122881.7143,710.1142857,123591.8286,0.041872265,fixed,fixed,,0.03,7/26/2019,341.2698413,341.2698413,non-performing,91,,,,
A00019637,LP19574,Web,5/13/2015,USA,Resi,Mortage,Loan,Linear,5/5/2045,5/10/2045,USD,119571.4286,113592.8571,597.8571429,114190.7143,0.041976826,mixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,non-performing,95,,,,
A00019638,LP19575,Broker,5/14/2015,USA,CRE,Mortage,Loan,Linear,5/6/2045,5/5/2051,USD,116285.7143,104657.1429,313.9714286,104971.1143,0.042081387,variable,fixed,LIBOR,0.03,7/26/2019,323.015873,323.015873,non-performing,97,,,,
A00019639,LP19576,Branch,5/15/2015,USA,Resi,Mortage,Loan,Linear,5/7/2045,5/6/2050,USD,200000,196000,1156,197156,0.042185947,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,93,,,,
A00019640,LP19577,Web,5/16/2015,USA,Resi,Mortage,Loan,Linear,5/8/2045,5/7/2050,USD,150000,142500,750,143250,0.042290508,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,20,,,,
A00019641,LP19578,Broker,5/17/2015,USA,Resi,Mortage,Loan,Linear,5/9/2045,5/8/2050,USD,100000,95000,17,95017,0.042395069,mixed,fixed,,0.03,7/23/2019,277.7777778,277.7777778,,90,,,,
A00019642,LP19579,Branch,5/18/2015,USA,Resi,Mortage,Loan,Linear,5/10/2045,5/9/2050,USD,85000,80750,14.45,80764.45,0.042499629,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,91,,,,
A00019643,LP19580,Branch,5/19/2015,USA,CRE,Mortage,Loan,Linear,5/11/2045,5/10/2050,USD,200000,190000,34,190034,0.04260419,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,95,,,,
A00019644,LP19581,Web,5/20/2015,USA,Resi,Mortage,Loan,Linear,5/12/2045,5/10/2053,USD,150000,135000,375,135375,0.04270875,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,97,,,,
A00019645,LP19582,Broker,5/21/2015,USA,Resi,Mortage,Loan,Linear,5/13/2045,5/18/2045,USD,136000,133280,367.2,133647.2,0.042813311,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,non-performing,93,,,,
A00019646,LP19583,Branch,5/22/2015,USA,Resi,Mortage,Loan,Linear,5/14/2045,5/19/2045,USD,132714.2857,126078.5714,767.0885714,126845.66,0.042917872,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,,20,,,,
A00019647,LP19584,Web,5/23/2015,USA,Resi,Mortage,Loan,Balloon,5/15/2045,5/20/2045,USD,129428.5714,116485.7143,647.1428571,117132.8571,0.043022432,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,,90,,,,
A00019648,LP19585,Broker,5/24/2015,USA,Resi,Mortage,Loan,Linear,5/16/2045,5/21/2045,USD,126142.8571,123620,21.44428571,123641.4443,0.043126993,mixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,non-performing,91,,,,
A00019649,LP19586,Branch,5/25/2015,USA,Resi,Mortage,Loan,Linear,5/17/2045,5/22/2045,USD,122857.1429,116714.2857,614.2857143,117328.5714,0.043231554,fixed,fixed,,0.03,7/26/2019,341.2698413,341.2698413,non-performing,95,,,,
A00019650,LP19587,Branch,5/26/2015,USA,Resi,Mortage,Loan,Linear,5/18/2045,5/23/2045,USD,119571.4286,113592.8571,597.8571429,114190.7143,0.043336114,fixed,fixed,,0.03,7/26/2019,0,332.1428571,non-performing,97,,,,
A00019651,LP19588,Web,5/27/2015,USA,Resi,Mortage,Loan,Linear,5/19/2045,5/18/2051,USD,116285.7143,116308.9714,290.7142857,116599.6857,0.043440675,fixed,fixed,,0.03,7/26/2019,323.015873,323.015873,non-performing,93,,,,
A00019652,LP19589,Broker,5/28/2015,USA,Resi,Mortage,Loan,Linear,5/20/2045,5/19/2050,USD,150000,142500,405,142905,0.043545235,mixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,90,,,,
A00019653,LP19590,Branch,5/29/2015,USA,Resi,Mortage,Loan,Linear,5/21/2045,5/20/2050,USD,100000,90000,578,90578,0.043649796,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,92,,,,
A00019654,LP19591,Web,5/30/2015,USA,Resi,Mortage,Loan,Linear,5/22/2045,5/21/2050,USD,85000,83300,425,83725,0.043754357,fixed,fixed,,0.03,7/22/2019,236.1111111,236.1111111,,20,,,,
A00019655,LP19592,Broker,5/31/2015,USA,Resi,Mortage,Loan,Linear,5/23/2045,5/22/2050,USD,200000,190000,540,190540,0.043858917,fixed,fixed,,0.03,7/31/2019,555.5555556,555.5555556,,90,,,,
A00019656,LP19593,Branch,6/1/2015,USA,Resi,Mortage,Loan,Linear,5/24/2045,5/23/2050,USD,150000,142500,867,143367,0.043963478,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,91,,,,
A00019657,LP19594,Branch,6/2/2015,USA,Resi,Mortage,Loan,Linear,5/25/2045,5/23/2053,USD,136000,129200,680,129880,0.044068039,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,non-performing,95,,,,
A00019658,LP19595,Web,6/3/2015,USA,Resi,Mortage,Loan,Linear,5/26/2045,5/31/2045,USD,156333.3333,148516.6667,26.57666667,148543.2433,0.044172599,fixed,fixed,,0.03,7/26/2019,434.2592593,434.2592593,non-performing,97,,,,
A00019659,LP19596,Broker,6/4/2015,USA,CRE,Mortage,Loan,Linear,5/27/2045,6/1/2045,USD,161904.7619,145714.2857,27.52380952,145741.8095,0.04427716,fixed,fixed,,0.03,7/26/2019,449.7354497,449.7354497,non-performing,93,,,,
A00019660,LP19597,Branch,6/5/2015,USA,Resi,Mortage,Loan,Linear,5/28/2045,6/2/2045,USD,167476.1905,164126.6667,28.47095238,164155.1376,0.04438172,fixed,fixed,,0.03,7/26/2019,465.2116402,465.2116402,,20,,,,
A00019661,LP19598,Web,6/6/2015,USA,Resi,Mortage,Loan,Linear,5/29/2045,6/3/2045,USD,173047.619,164395.2381,432.6190476,164827.8571,0.044486281,fixed,fixed,,0.03,7/26/2019,480.6878307,480.6878307,,90,,,,
A00019662,LP19599,Broker,6/7/2015,USA,Resi,Mortage,Loan,Linear,5/30/2045,6/4/2045,USD,178619.0476,160757.1429,482.2714286,161239.4143,0.044590842,fixed,fixed,,0.03,7/26/2019,496.1640212,496.1640212,non-performing,91,,,,
A00019663,LP19600,Branch,6/8/2015,USA,Resi,Mortage,Loan,Linear,5/31/2045,6/5/2045,USD,184190.4762,180506.6667,1064.620952,181571.2876,0.044695402,fixed,fixed,,0.03,7/26/2019,511.6402116,511.6402116,non-performing,95,,,,
A00019664,LP19601,Branch,6/9/2015,USA,CRE,Mortage,Loan,Linear,6/1/2045,5/31/2051,USD,189761.9048,180273.8095,948.8095238,181222.619,0.044799963,fixed,fixed,,0.03,7/26/2019,527.1164021,527.1164021,non-performing,97,,,,
A00019665,LP19602,Web,6/10/2015,USA,Resi,Mortage,Loan,Linear,6/2/2045,6/1/2050,USD,195333.3333,185566.6667,33.20666667,185599.8733,0.044904524,fixed,fixed,,0.03,7/26/2019,542.5925926,542.5925926,non-performing,93,,,,
A00019666,LP19603,Broker,6/11/2015,USA,Resi,Mortage,Loan,Linear,6/3/2045,6/2/2050,USD,200000,200040,1000,201040,0.04,mixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,,20,,,,
A00019667,LP19604,Branch,6/12/2015,USA,Resi,Mortage,Loan,Balloon,6/4/2045,6/3/2050,USD,150000,142500,750,143250,0.035,variable,fixed,LIBOR,0.03,7/26/2019,416.6666667,416.6666667,,90,,,,
A00019668,LP19605,Web,6/13/2015,USA,Resi,Mortage,Loan,Linear,6/5/2045,6/4/2050,USD,100000,90000,250,90250,0.04,fixed,fixed,,0.03,7/23/2019,277.7777778,277.7777778,non-performing,91,,,,
A00019669,LP19606,Broker,6/14/2015,USA,Resi,Mortage,Loan,Linear,6/6/2045,6/5/2050,USD,85000,83300,229.5,83529.5,0.04,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,95,,,,
A00019670,LP19607,Branch,6/15/2015,USA,Resi,Mortage,Loan,Linear,6/7/2045,6/5/2053,USD,200000,190000,1156,191156,0.04,mixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,97,,,,
A00019671,LP19608,Branch,6/16/2015,USA,Resi,Mortage,Loan,Linear,6/8/2045,6/13/2045,USD,150000,142500,750,143250,0.0375,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,93,,,,
A00019672,LP19609,Web,6/17/2015,USA,Resi,Mortage,Loan,Linear,6/9/2045,6/14/2045,USD,136000,129200,367.2,129567.2,0.04,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,,20,,,,
A00019673,LP19610,Broker,6/18/2015,USA,Resi,Mortage,Loan,Linear,6/10/2045,6/15/2045,USD,132714.2857,126078.5714,767.0885714,126845.66,0.04,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,,90,,,,
A00019674,LP19611,Branch,6/19/2015,USA,Resi,Mortage,Loan,Linear,6/11/2045,6/16/2045,USD,129428.5714,116485.7143,647.1428571,117132.8571,0.04,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,non-performing,91,,,,
A00019675,LP19612,Web,6/20/2015,USA,Resi,Mortage,Loan,Linear,6/12/2045,6/17/2045,USD,126142.8571,123620,21.44428571,123641.4443,0.04,fixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,non-performing,95,,,,
A00019676,LP19613,Broker,6/21/2015,USA,Resi,Mortage,Loan,Linear,6/13/2045,6/18/2045,USD,122857.1429,116714.2857,20.88571429,116735.1714,0.04,fixed,fixed,,0.03,7/26/2019,341.2698413,341.2698413,non-performing,97,,,,
A00019677,LP19614,Branch,6/22/2015,USA,Resi,Mortage,Loan,Linear,6/14/2045,6/13/2051,USD,119571.4286,107614.2857,20.32714286,107634.6129,0.04,mixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,non-performing,93,,,,
A00019678,LP19615,Branch,6/23/2015,USA,Resi,Mortage,Loan,Linear,6/15/2045,6/14/2050,USD,116285.7143,113960,290.7142857,114250.7143,0.0375,fixed,fixed,,0.03,7/26/2019,323.015873,323.015873,,90,,,,
A00019679,LP19616,Web,6/24/2015,USA,Resi,Mortage,Loan,Linear,6/16/2045,6/15/2050,USD,200000,190000,540,190540,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,92,,,,
A00019680,LP19617,Broker,6/25/2015,USA,CRE,Mortage,Loan,Linear,6/17/2045,6/16/2050,USD,150000,142500,867,143367,0.04,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,91,,,,
A00019681,LP19618,Branch,6/26/2015,USA,Resi,Mortage,Loan,Linear,6/18/2045,6/17/2050,USD,100000,100020,500,100520,0.04,mixed,fixed,,0.03,7/29/2019,277.7777778,277.7777778,non-performing,95,,,,
A00019682,LP19619,Web,6/27/2015,USA,Resi,Mortage,Loan,Linear,6/19/2045,6/18/2050,USD,85000,80750,14.45,80764.45,0.035,fixed,fixed,,0.03,7/26/2019,236.1111111,236.1111111,non-performing,97,,,,
A00019683,LP19620,Broker,6/28/2015,USA,Resi,Mortage,Loan,Linear,6/20/2045,6/18/2053,USD,200000,180000,1000,181000,0.04,fixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,93,,,,
A00019684,LP19621,Branch,6/29/2015,USA,Resi,Mortage,Loan,Linear,6/21/2045,6/26/2045,USD,150000,147000,750,147750,0.04,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,,90,,,,
A00019685,LP19622,Branch,2/16/2015,USA,CRE,Mortage,Loan,Linear,2/8/2045,2/13/2045,USD,136000,129200,340,129540,0.04,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,non-performing,92,,,,
A00019686,LP19623,Web,2/17/2015,USA,Resi,Mortage,Loan,Linear,2/9/2045,2/14/2045,USD,132714.2857,126078.5714,358.3285714,126436.9,0.04,fixed,fixed,,0.03,7/26/2019,368.6507937,368.6507937,non-performing,180,,,,
A00019687,LP19624,Broker,2/18/2015,USA,Resi,Mortage,Loan,Balloon,2/10/2045,2/15/2045,USD,129428.5714,122957.1429,748.0971429,123705.24,0.04,fixed,fixed,,0.03,7/26/2019,359.5238095,359.5238095,non-performing,170,,,,
A00019688,LP19625,Branch,2/19/2015,USA,Resi,Mortage,Loan,Linear,2/11/2045,2/16/2045,USD,126142.8571,119835.7143,630.7142857,120466.4286,0.04,fixed,fixed,,0.03,7/26/2019,350.3968254,350.3968254,non-performing,213,,,,
A00019689,LP19626,Web,2/20/2015,USA,Resi,Mortage,Loan,Linear,2/12/2045,2/17/2045,USD,122857.1429,110571.4286,331.7142857,110903.1429,0.04,fixed,fixed,,0.03,7/26/2019,341.2698413,341.2698413,,20,,,,
A00019690,LP19627,Broker,2/21/2015,USA,Resi,Mortage,Loan,Linear,2/13/2045,2/12/2051,USD,119571.4286,117180,691.1228571,117871.1229,0.04,fixed,fixed,,0.03,7/26/2019,332.1428571,332.1428571,,90,,,,
A00019691,LP19628,Branch,2/22/2015,USA,Resi,Mortage,Loan,Linear,2/14/2045,2/13/2050,USD,116285.7143,110471.4286,581.4285714,111052.8571,0.04,fixed,fixed,,0.03,7/26/2019,323.015873,323.015873,non-performing,91,,,,
A00019692,LP19629,Branch,2/23/2015,USA,Resi,Mortage,Loan,Linear,2/15/2045,2/14/2050,USD,150000,135000,25.5,135025.5,0.04,fixed,fixed,,0.03,7/26/2019,416.6666667,416.6666667,non-performing,95,,,,
A00019693,LP19630,Web,2/24/2015,USA,Resi,Mortage,Loan,Linear,2/16/2045,2/15/2050,USD,100000,98000,17,98017,0.04,fixed,fixed,,0.03,7/26/2019,277.7777778,277.7777778,non-performing,97,,,,
A00019694,LP19631,Broker,2/25/2015,USA,Resi,Mortage,Loan,Linear,2/17/2045,2/16/2050,USD,85000,80750,14.45,80764.45,0.04,fixed,fixed,,0.03,7/23/2019,236.1111111,236.1111111,non-performing,93,,,,
A00019695,LP19632,Branch,2/26/2015,USA,Resi,Mortage,Loan,Linear,2/18/2045,2/17/2050,USD,200000,190000,500,190500,0.05,mixed,fixed,,0.03,7/26/2019,555.5555556,555.5555556,non-performing,213,,,,
A00019696,LP19633,Web,2/27/2015,USA,Resi,Mortage,Loan,Linear,2/19/2045,2/17/2053,USD,150000,150030,405,150435,0.041454023,variable,fixed,LIBOR,0.03,7/26/2019,416.6666667,416.6666667,,20,,,,
A00019697,LP19634,Broker,2/28/2015,USA,Resi,Mortage,Loan,Linear,2/20/2045,2/25/2045,USD,136000,129200,786.08,129986.08,0.041558584,fixed,fixed,,0.03,7/26/2019,377.7777778,377.7777778,,90,,,,
A00019698,LP19635,Branch,3/1/2015,USA,Resi,Mortage,Loan,Linear,2/21/2045,2/26/2045,USD,156333.3333,140700,781.6666667,141481.6667,0.041663144,fixed,fixed,,0.03,7/26/2019,434.2592593,434.2592593,non-performing,91,,,,
