COMPANY NAME,INDUSTRY,ADDRESS,CITY,STATE,ZIP,P,WEBSITE URL,CEO,CONTACT TITLE,EMPLOYEES,SALES,SALES RANGE,SIC CODE,SIC DESCRIPTION,NAICS CODE,LATITUDE,LONGITUDE
AMN Healthcare Services Inc AMN Healthcare Services Inc,Other Business Services,312 California St # 400,San Francisco,CA,94104,214-808-1248,jmoorepartners.com,Colby Scotts,,,,"$100,000 - $500,001",7389,"Business Services, NEC",522320,37.793117,122.400139
Ashford Hospitality Trust Inc Common Stock,Professional Services,3653 Viaduct Lujosa,Escondido,CA,92025,918-354-8902,resourcetrends.com,Afton Wrinkle,,1,135000,,8748,"Business Consulting Services, NEC",541910,33.070377,117.047897
Ashford Hospitality Trust Inc 8.55% Cum Preferred Series A,Real Estate,331 Pythian Road,Santa Rosa,CA,95409,918-354-8903,torvickrealestate.com,India Sifford,President,2,268000,,6531,Real Estate Agents and Managers,531210,38.43005,122.58206
Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,Legal,101 West San Fernando St # 300,San Jose,CA,95113,918-354-8904,zilkakotab.com,Brunilda Coin,,2,334000,,8111,Legal Services,541110,37.44685,121.10625
Ashford Hospitality Trust Inc 9.00% Series E Cumulative Preferred Stock,Legal,15701 Winchester Boulevard,Los Gatos,CA,95030,918-354-8905,receiversinc.com,Jenifer Emanuel,Owner,2,334000,,8111,Legal Services,541110,37.653603,121.114827
Arlington Asset Investment Corp Class A (new),Other Business Services,4501 Woodman Ave. Suite A,Sherman Oaks,CA,91423,918-354-8906,ziegelgroup.com,Makeda Nosis,,,,Unknown,,"Business Services, NEC",,34.1530859,118.430863
iShares Asia 50 ETF,Other Business Services,249 Rickenbacker Circle,Livermore,CA,94551,214-808-1258,clarkpest.com,Vivan Oppy,,,,Unknown,7342,Disinfecting and Pest Control Services,561710,37.691843,121.80378
Apollo Investment Corporation 6.625% Senior Notes due 2042,Legal,8912 Research Drive,Irvine,CA,92618,214-808-1259,shimokaji.com,Eric Gazzola,Owner,,,$500.000 - $999.1000,8111,Legal Services,541110,33.64268,117.73774
Apollo Tactical Income Fund Inc. Common Stock,Professional Services,4271 North Blackstone Avenue # 110,Fresno,CA,93726,214-808-1260,chcfresno.org,Thersa Davirro,Executive Director,,,"$1,000,000 - $2,500,001",8748,"Business Consulting Services, NEC",531390,36.795287,119.790413
"American International Group, Inc. New Common Stock",Other Business Services,27701 Medical Center Road,Mission Viejo,CA,92691,214-808-1261,mission4health.com,Mindy Presnal,,2000,212000000,,7389,"Business Services, NEC",561499,33.56185,117.6674
"American International Group, Inc. Warrant expiring January 19, 2021",Professional Services,13702 Riverside Drive # 604,Sherman Oaks,CA,91423,214-808-1262,levineandassociates.com,Luis Metzner,Owner,2,420000,,8743,Public Relations Services,541820,34.157667,118.4313
Albany International Corporation Common Stock,Printing & Publishing,12401 High Bluff Drive # 100,San Diego,CA,92130,214-808-1263,amnhealthcare.com,Dawne Mcloud,CEO,1700,705843000,,7363,Help Supply Services,561330,32.94464,117.24059
Ashford Inc. Common Stock,Legal,3420 West Shaw Avenue,Fresno,CA,93711,918-354-8898,gltlaw.com,Karrie Kinikini,,9,1503000,,8111,Legal Services,541110,36.80814,119.85419
AAR Corp. Common Stock,Professional Services,"1031 15th Street, Suite 100",Sacramento,CA,95814,214-808-1260,adt.com,Mozelle Hermon,,,,Unknown,,"Business Consulting Services, NEC",,33.75782937,117.88
Air Industries Group Common Stock,Other Business Services,702 First Ave.,Sunnyvale,CA,94089,682-632-5967,justmyweight.com,Mila Hair,,,,Unknown,,"Business Services, NEC",,37.8637,122.01818
"Applied Industrial Technologies, Inc. Common Stock",Other Business Services,926 Blcaom Hill Road # 1525,San Jose,CA,95123,214-808-1267,ethanallen.com,Gilma Jefferys,,20,6120000,,7389,"Business Services, NEC",541410,37.7788,121.862879
Apartment Investment and Management Company Common Stock,Transportation & Shipping,2559 Merced Avenue,South El Monte,CA,91733,214-808-1268,vulcan.com,Armanda Mcduffie,Owner,,,"$1,000,000 - $2,500,000",3592,"Carburetors, Pistons, Piston Rings, and Valves",332710,34.0589,118.05125
Apartment Investment and Management Company Preferred Series Class A,Other Business Services,910 North Sepulveda Boulevard,El Segundo,CA,90245,214-808-1269,loanapp.com,Vonda Normandeau,,,0,"$1,000,000 - $2,500,000",7389,"Business Services, NEC",561499,33.930062,118.39625
Apartment Investment and Management Company Class Z Cumulative Preferred Stock,Legal,401 South Hope St # 1060,Los Angeles,CA,90071,214-808-1270,omm.com,Truman Mondale,,1500,0,"$100,000 - $500,001",8111,Legal Services,541110,34.052214,118.253655
Arlington Asset Investment Corp 6.625% Notes due 2023,Printing & Publishing,9841 Sixth St.,Rancho Cucamonga,CA,91730,214-808-1271,safariprinting.com,Elvis Tenuta,,2,414000,,,Printing and Writing Paper,,34.0859906,117.5547468
Apollo Investment Corporation 6.875% Senior Notes due 2043,Legal,Po Box 1901,Redlands,CA,92373,214-808-1272,waynejohnsonlaw.com,Loise Dedaj,Owner,2,334000,,8111,Legal Services,541110,34.03424,117.1126974
"Assurant, Inc. Common Stock",Legal,161 West Santa Clara St # 1050,San Jose,CA,95113,512-343-4497,businessandtechnologylawgroup.com,Jannette Pedder,,6,1002000,,8111,Legal Services,541110,37.33494,121.89305
Arthur J. Gallagher & Co. Common Stock,Other Business Services,"1042 n ogden dr #1, West Holly",Lee Vining,CA,93541,512-343-4498,laxlegacylimo.com/,Margo Rand,,,,Unknown,,"Business Services, NEC",,38.0407565,119.144595
Asanko Gold Inc.,Other Business Services,412 Lewis Rd. #190,San Jose,CA,95111,682-632-5967,quantumleapdatarecovery.com/california/data-recovery-in-san-jose-ca/,Dahlia Benett,,,,Unknown,,"Business Services, NEC",,37.29719,121.8417
Embotelladora Andina S.A. Common Stock,Professional Services,5631 Cerritos Avenue,Cypress,CA,90630,512-343-4500,wcct.com,Dominga Mckeon,,,,"$100,000 - $500,000",8731,Commercial Physical and Biological Research,541712,33.810094,118.034015
Embotelladora Andina S.A. Common Stock,Other Business Services,3417 Lancashire Lane,Modesto,CA,95350,512-343-4501,homereportcardinspections.com,Hollis Keomuangtai,President,1,219000,,7389,"Business Services, NEC",531390,37.687054,120.985549
Alliance California Municipal Income Fund Inc,Transportation & Shipping,7132 Mirabel Road,Forestville,CA,95436,682-632-5967,rruwater.com,Carry Ziller,Owner,9,2322000,,3713,Truck and Bus Bodies,221310,38.47475,122.3913
Acadia Realty Trust Common Stock,Other Business Services,3820 23rd St,San Francisco,CA,94114,512-343-4503,apieceofpeace.com,Bong Fears,,,,"$100,000 - $500,000",7389,"Business Services, NEC",812199,37.753225,122.5061
AK Steel Holding Corporation Common Stock,Legal,20751 Ventura Boulevard # 400,Woodland Hills,CA,91364,512-343-4504,lmwslaw.com,Yolande Staiano,Partner,75,12525000,,8111,Legal Services,541110,34.166502,118.585308
Air Lease Corporation Class A Common Stock,Insurance,14452 Chambers Road Ste 130,Tustin,CA,92780,682-632-5967,insuremegary.com,Lottie Hegdahl,,,,Unknown,,"Insurance Agents, Brokers, and Service",,33.72199,117.80748
Albemarle Corporation Common Stock,Professional Services,1128 11th St # 310,Sacramento,CA,95814,512-343-4505,theboveecompany.com,Jose Kylish,Owner,8,1680000,,8742,Management Consulting Services,541820,38.578539,121.492656
WisdomTree Asia Local Debt Fund ETF,Legal,536 Anton Boulevard # 810,Costa Mesa,CA,92626,214-808-1280,lawfriend.com,Tuyet Abramovitz,,,,"$100,000 - $500,001",8111,Legal Services,541110,33.69005,117.87686
"Alon USA Partners, LP Common Units representing Limited Partner Interests",Professional Services,13262 Moorpark Street Suite 201,Sherman Oaks,CA,91423,214-808-1281,hadassteincpa.com,Pearline Provenzano,,4,1876000,,,"Accounting, Auditing, and Bookkeeping Services",,34.1503,118.422
"Allete, Inc.",Advertising & Marketing,8655 Washington Boulevard,Culver City,CA,90232,214-808-1282,haleymiranda.com,Robt Hankison,Owner,10,2090000,,7311,Advertising Agencies,541810,34.02997,118.38266
"Alexander & Baldwin, Inc. Common Stock",Professional Services,,San Diego,CA,92121,682-632-5967,wilsonarchitecture.com,Shawnee Kesten,,1,207000,,8712,Architectural Services,541310,,
AlphaClone Alternative Alpha ETF,Printing & Publishing,695 South Oxford Avenue,Los Angeles,CA,90005,214-808-1285,calbook.org,Lacresha Quinones,Other,,,Unknown,5192,"Books, Periodicals, and Newspapers",813319,34.06004,118.30777
"Alamo Group, Inc. Common Stock",Professional Services,3315 Capobella,Aliso Viejo,CA,92656,214-808-1286,yeseverestcs.com,Basilia Vinroe,,,,Unknown,8742,Management Consulting Services,999990,33.59487,117.7332
"Alon USA Energy, Inc. common stick",Legal,356 South Grand Avenue # 2900,Los Angeles,CA,90071,214-808-1287,reedsmith.com,Aleisha Areizaga,,200,33400000,,8111,Legal Services,541110,34.05227,118.251989
"Alaska Air Group, Inc. Common Stock",Legal,556 California St,San Francisco,CA,94104,214-808-1288,ltws.com,Frank Tryninewski,,4,668000,,8111,Legal Services,541110,37.792712,122.403217
Allstate Corporation (The) Common Stock,Insurance,2241 East Plaza Boulevard # L,National City,CA,91950,682-632-5967,farmersagent.com/tbundalian,Ria Steinhorst,Manager,4,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.67869,117.08184
Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,Other Business Services,3326 Longview Drive,Sacramento,CA,95821,512-343-4505,local.terminix.com,Carla Kallenberger,,,,Unknown,7342,Disinfecting and Pest Control Services,561710,38.6434,121.386573
Allstate Corporation (The) 5.100% Fixed,Other Business Services,756 East Nees Avenue Unit 27156,Fresno,CA,93729,512-343-4506,levelupcareers.com,Lashanda Skahan,,,,"$100,000 - $500,001",7361,Employment Agencies,541612,36.85207,119.77132
Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,Other Business Services,602 East Holt Boulevard,Ontario,CA,91764,512-343-4507,acesmogcheck.com,Jarod Catalina,,3,324000,,,"Business Services, NEC",,34.06322,117.143608
The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,Legal,"7701 Irvine Center Drive, Suite 955",Irvine,CA,92618,512-343-4508,habbaspilaw.com/city/orange-county/,Leoma Rabago,,3,510000,,,Legal Services,,33.659096,117.2121951
Allstate Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E,Legal,320 North Main St # B,Fort Bragg,CA,95437,682-632-5967,fortbragglaw.com,Yasuko Greeves,Partner,2,334000,,8111,Legal Services,541110,39.44468,123.80606
Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,Printing & Publishing,101 S. CITRUS SUITE 204,Covina,CA,91723,512-343-4507,rochaarts.com,Jimmie Snelling,,,,Unknown,,Miscellaneous Publishing,,34.0859,117.8902
Allegion plc Ordinary Shares,Real Estate,2176 North Calif Boulevard # 300,Walnut Creek,CA,94596,682-632-5967,cbre.com,Titus Dugre,,,,Unknown,6531,Real Estate Agents and Managers,531210,37.90944,122.06542
Ally Financial Inc. Common Stock,Legal,"8997 Miramar Rd, Ste 220",San Diego,CA,92126,214-808-1293,aimeemorris.com,Joanne Teoh,,,,Unknown,,Legal Services,,32.8940773,117.31035
"GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities, Series 2",Professional Services,1482 Ford St # 201,Redlands,CA,92373,214-808-1294,caeap.com,Suzi Groom,President,7,574000,,8748,"Business Consulting Services, NEC",624190,34.03729,117.46546
"Ally Financial Inc Fixed Rate Floating Rate Perpetual Preferred Stock, Series A",Professional Services,3479 Buskirk Avenue # 215,Pleasant Hill,CA,94523,214-808-1237,mazeassociates.com,Denny Amazan,,38,3230000,,8721,"Accounting, Auditing, and Bookkeeping Services",541219,37.94152,122.05709
American Lorain Corporation Common Stock,Professional Services,28214 Foxlane Drive,Canyon Country,CA,91351,214-808-1238,svsmusicproductions.com,Willie Coughlan,,,,"$50,000 - $100,001",8748,"Business Consulting Services, NEC",541618,34.434375,118.467038
Alabama Power Company Preferred Stock,Legal,2226 East Bayshore Road # 200,Palo Alto,CA,94303,214-808-1239,williamclewis.com,Margurite Brake,Owner,4,668000,,8111,Legal Services,541110,37.450302,122.123098
Alabama Power Company Preferred Stock,Professional Services,1544 West Grand Avenue,Grover Beach,CA,93433,918-354-8901,cashamerica.com,Arlen Romack,,,,$500.000 - $999.1000,8742,Management Consulting Services,522320,35.12116,120.61235
Alabama Power Company 5.30% Cl A Pfd Stk,Professional Services,3526 Mount Diablo Boulevard 12,Lafayette,CA,94549,918-354-8902,maryfurlong.com,Shaniqua Corna,,,,"$100,000 - $500,000",8742,Management Consulting Services,541613,37.690568,122.38696
Alere Inc. Common Stock,Legal,221 Bush St # 1611,San Francisco,CA,94104,918-354-8903,toothattorney.com,William Boccard,,7,1169000,,8111,Legal Services,541110,37.589924,122.117483
"Alere Inc. Inverness Medical Innovations, Inc. Series B Convertible Perpetual Preferred Stock",Insurance,6266 Greenwich Drive # 250,San Diego,CA,92122,214-808-1248,hpis.biz,Silva Riviere,Chief Executive Officer,4,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.85447,117.18488
"Allison Transmission Holdings, Inc. Common Stock",Professional Services,13023 Woodcock Avenue,Sylmar,CA,91342,214-808-1249,arpnetworks.com,Gearldine Haberle,,,,"$100,000 - $500,000",8712,Architectural Services,541310,34.306058,118.455572
RBS US Large Cap Alternator Exchange Traded Note,Insurance,3171 Crow Canyon Place # 120,San Ramon,CA,94583,214-808-1250,farmersagent.com/jcarlson3,Azalee Aja,Owner,,,"$100,000 - $500,000",6411,"Insurance Agents, Brokers, and Service",524210,37.777006,121.972434
ProShares Morningstar Alternatives Solution ETF,Real Estate,874 Stevens Avenue,Solana Beach,CA,92075,214-808-1251,equityapartments.com,Kimbery Plikerd,Manager,4,792000,,6513,Operators of Apartment Buildings,531110,32.984007,117.25937
Alteva,Professional Services,5151 Candlewood St # 9g,Lakewood,CA,90712,682-632-5968,driverstuwilliams.com,Ricarda Kratt,,,,"$100,000 - $500,000",8721,"Accounting, Auditing, and Bookkeeping Services",541211,33.853519,118.133016
Alcatel,Professional Services,2206 Coy Avenue,Bakersfield,CA,93307,214-808-1249,krazan.com,Macy Massay,President,6,1056000,,8748,"Business Consulting Services, NEC",541711,35.323232,118.99972
"Autoliv, Inc. Common Stock",Other Business Services,6747 Greenleaf Ave,Whittier,CA,90601,214-808-1250,locksmith-los-alamitos.com,Carol Normington,,,,Unknown,,"Business Services, NEC",,33.9794985,118.0370973
"Alexander's, Inc. Common Stock",Real Estate,2802 Camino Del Rio South # 301,San Diego,CA,92108,918-354-8907,heffins.com,Blythe Czaplinski,Owner,,,Unknown,6512,Operators of Nonresidential Buildings,523930,32.770912,117.134034
Antero Midstream Partners LP Common Units representing limited partner interests,Legal,1281 South Victoria Avenue # 125,Ventura,CA,93003,918-354-8908,venturadui.com,Tanesha Tesseneer,Partner,3,501000,,8111,Legal Services,541110,34.26306,119.21184
"Amber Road, Inc. Common Stock",Real Estate,4112 Viaduct Marina,Marina Del Rey,CA,90292,918-354-8909,oakwood.com,Yaeko Orndoff,Manager,70,13860000,,6513,Operators of Apartment Buildings,531210,33.982519,118.46108
"AMC Entertainment Holdings, Inc. Class A Common Stock",Professional Services,1002 Bridgeway # 431,Sausalito,CA,94965,918-354-8910,unspoken.com,Broderick Lorenz,,2,460000,,8742,Management Consulting Services,541611,37.739351,122.406687
"Armco Metals Holdings, Inc. Common Stock",Other Business Services,1861 El  Camino Real #55,Burlingame,CA,94010,918-354-8911,abcservicesssf.com,Twila Shadle,,,,Unknown,,"Business Services, NEC",,37.1538264,122.85183
"AMETEK, Inc.",Printing & Publishing,9801 Baseline Road,Alta Loma,CA,91701,214-808-1264,dmjsystems.com,Sarina Pead,,,,"$100,000 - $500,001",,"Commercial Printing, Lithographic",,34.1226992,117.5903694
AMEC Foster Wheeler plc American Depositary Shares,Professional Services,1731 Highway 89,Tahoe City,CA,96145,214-808-1265,sierrasheetmetalandheating.com,Candra Peets,Owner,9,1431000,,8748,"Business Consulting Services, NEC",541330,39.17408,120.15585
"Affiliated Managers Group, Inc. Common Stock",Other Business Services,PO Box 764,Menlo Park,CA,94026,214-808-1266,happyspacessf.com,Von Aprigliano,,,,Unknown,,"Business Services, NEC",,37.47843933,122.18
American Homes 4 Rent Common Shares of Beneficial Interest,Other Business Services,10862 Cherry St Ste 201,Los Alamitos,CA,90720,214-808-1267,medpromedicaltesting.com/,Natalya Verso,,,,Unknown,,"Business Services, NEC",,33.804643,118.0686007
American Homes 4 Rent Participating Preferred Shares Series A,Other Business Services,1289 Kifer Rd. Suite 203,Sunnyvale,CA,94086,214-808-1268,aitech-usa.com,Stanton Rigazio,,,,Unknown,,"Business Services, NEC",,37.372699,121.99015
American Homes 4 Rent 5% Series B Participating Preferred Shares of Beneficial Interest,Other Business Services,2526 N McCall Ave,Sanger,CA,93657,214-808-1269,woodspest.com/,Dona Larner,Owner,,,"$100,000 - $500,000",,Disinfecting and Pest Control Services,,36.772451,119.611537
American Homes 4 Rent Participating Pfd Ser C,Other Business Services,40611 County Center Drive,Temecula,CA,92591,918-354-8899,staffmark.com,Cortney Choice,,,,"$100,000 - $500,000",7361,Employment Agencies,561311,33.37174,117.15915
"American Midstream Partners, LP Common Units representing Limited Partner Interests",Professional Services,7078 Orangewood Avenue # 112,Garden Grove,CA,92841,214-808-1261,hrnetworkinc.com,Ira Betterton,Owner,5,850000,,8742,Management Consulting Services,541612,33.82304,118.50515
JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,Legal,516 South Figueroa St # 1515,Los Angeles,CA,90071,682-632-5968,hpdlegal.net,Vanna Pickle,Manager,5,835000,,8111,Legal Services,541110,34.052067,118.75288
Alerian MLP ETF,Real Estate,2092 Rose St,Berkeley,CA,94709,214-808-1273,gordoncommercial.com,Bo Sabota,Owner,4,536000,,6531,Real Estate Agents and Managers,531210,37.882,122.2703
"Ameriprise Financial, Inc. Common Stock",Printing & Publishing,21801 Oxnard St # 250,Woodland Hills,CA,91367,214-808-1274,penton.com,Nathalie Corners,,,,Unknown,2721,"Periodicals: Publishing, or Publishing and Printing",511120,,
"Ampio Pharmaceuticals, Inc.",Real Estate,4617 Collwood Lane,San Diego,CA,92115,214-808-1275,propertysandiego.com,Rodney Lockamy,,,,"$100,000 - $500,000",6512,Operators of Nonresidential Buildings,531312,32.767178,117.084868
iShares Utilities Bond ETF,Other Business Services,334 Washington Boulevard # 360,Marina Del Rey,CA,90292,214-808-1276,familyentertainment.biz,Elena Hairr,Owner,3,1038000,,7389,"Business Services, NEC",454390,33.98122,118.46377
"Ameresco, Inc. Class A Common Stock",Advertising & Marketing,7363 Mannix Court,San Diego,CA,92129,214-808-1277,mynextsign.com,Blossom Kraatz,Owner,,,"$100,000 - $500,000",3993,Signs and Advertising Specialties,339950,32.938832,117.163824
"AmREIT, Inc. Common stock",Printing & Publishing,2818 West Magnolia Boulevard,Burbank,CA,91505,214-808-1278,hayescoprinting.com,Loreen Griepentrog,President,5,715000,,2752,"Commercial Printing, Lithographic",323111,34.1707,118.33868
American Shared Hospital Services Common Stock,Real Estate,922 East Hillsdale Boulevard,San Mateo,CA,94404,512-343-4499,waxcenter.com/ca-foster-city,Tayna Keirnan,,,,"$1,000,000 - $2,500,001",6512,Operators of Nonresidential Buildings,531120,37.55596,122.27519
American Tower Corporation (REIT) Common Stock,Printing & Publishing,3601 American River Drive # 203,Sacramento,CA,95864,512-343-4500,mazzetti.com,Nieves Planty,,10,2070000,,7363,Help Supply Services,561320,38.56993,121.38092
American Tower Corporation (REIT) Pfd Conv Ser A,Real Estate,P.O. Box 57-2466,Tarzana,CA,91357,682-632-5968,shcommercialrealestate.com,Glenn Robinault,,,,Unknown,,Real Estate Agents and Managers,,33.7917978,118.2315573
TD Ameritrade Holding Corporation Common Stock,Other Business Services,1013 South Wall Street,Los Angeles,CA,90015,512-343-4502,musadirect.com,Julianna Racer,,3,2697000,,,"Business Services, NEC",,34.355183,118.25355
"Apollo Residential Mortgage, Inc. Common Stock",Other Business Services,79 ilex drive,Newbury Park,CA,91320,512-343-4503,ultimizer.net,Ashton Nitchals,,,,Unknown,,"Business Services, NEC",,34.530919,118.926957
"Apollo Residential Mortgage, Inc. Pfd Shs Series A  (US)",Professional Services,4111 Palisades Road,San Diego,CA,92116,682-632-5968,freibergs.com,Shaun Scovil,Manager,,,$500.000 - $999.1000,8741,Management Services,541618,32.774909,117.63684
ETRACS Alerian MLP Index ETN,Other Business Services,2063 Business Center Drive #140,Irvine,CA,92612,512-343-4505,skylinerecoveryllc.com,Maybelle Bewley,,,,Unknown,,"Business Services, NEC",,33.67874,117.41573
"America Movil, S.A.B. de C.V. American Depository Receipt Series L",Legal,105 15th St,West Sacramento,CA,95691,512-343-4506,apfss.com,Camellia Pylant,Owner,8,3248000,,8111,Legal Services,517919,38.57122,121.525
InfraCap MLP ETF,Other Business Services,626 Broadway,San Diego,CA,92101,682-632-5968,altaplanning.com,Roy Nybo,Manager,,,$500.000 - $999.1000,7389,"Business Services, NEC",541410,32.715656,117.15902
American Eagle Energy Corporation.  Common Stock,Other Business Services,15261 Ventura Boulevard # 1150,Sherman Oaks,CA,91403,512-343-4506,spherion.com,Albert Sonier,,,,"$100,000 - $500,001",7361,Employment Agencies,561311,34.153682,118.46573
"AutoNation, Inc. Common Stock",Insurance,9617 Schlitz Road,Phelan,CA,92371,214-808-1283,deliveringonthepromise.com/rdemarco,Hayley Taghon,,,,"$1,000,000 - $2,500,001",,Hospital and Medical Service Plans,,34.42507,117.53406
Global X FTSE Andean 40 ETF,Other Business Services,25877 The Old Rd. #179,Stevenson Ranch,CA,91381,214-808-1284,jesusarteaga.com,Miriam Stakes,,,,Unknown,,"Business Services, NEC",,34.39208,118.635057
"Arista Networks, Inc. Common Stock",Media,3601 West Magnolia Boulevard,Burbank,CA,91505,214-808-1285,lastudios.info,Vallie Nigl,,,,"$1,000,000 - $2,500,001",7812,Motion Picture and Video Tape Production,512110,34.167992,118.923925
Abercrombie & Fitch Company Common Stock,Professional Services,1142 Scenic Drive # 100,Modesto,CA,95350,214-808-1240,athertoncpas.com,Sheldon Isachsen,,22,3806000,,8721,"Accounting, Auditing, and Bookkeeping Services",541211,37.648249,120.97761
Amira Nature Foods Ltd Ordinary Shares,Warehousing & Storage,1847 South 4th St,El Centro,CA,92243,214-808-1241,elcentrointerstate.com,Nickie Balonek,Owner,,,"$100,000 - $500,000",4225,General Warehousing and Storage,531130,32.77684,115.55225
Market Vectors Fallen Angel High Yield Bond,Legal,690 North Arrowhead Avenue,San Bernardino,CA,92401,214-808-1242,robertgrantlaw.com,Fletcher Caneles,Owner,,,"$100,000 - $500,000",8111,Legal Services,541110,34.11175,117.2899
Anworth Mortgage Asset Corporation Common Stock,Other Business Services,1403 E. Juana,San Leandro,CA,94577,918-354-8901,ghaspwaterdamagerestoration.com/mold-testing/ca/mold-inspection-in-san-leandro-ca/,Rutha Eisert,,,,Unknown,,"Business Services, NEC",,37.72971,122.13377
Anworth Mortgage Asset Corporation Series A Preferred Stock,Legal,429 Yale Avenue,Claremont,CA,91711,918-354-8902,paulbrisson.com,Brandon Geigel,,,,Unknown,,Legal Services,,34.09795,117.7179
Anworth Mortgage Asset  Corporation Preferred Stock Series B 6.25%,Professional Services,2836 North Naomi St,Burbank,CA,91504,918-354-8903,aetlab.com,Franchesca Lamme,Executive Director,35,5005000,,8734,Testing Laboratories,541380,34.20341,118.33995
ANN INC. Common Stock,Professional Services,31979 Hilltop Boulevard # D,Running Springs,CA,92382,214-808-1248,brsltd.org,Lorriane Naddeo,CEO,,,Unknown,8734,Testing Laboratories,541380,34.2055,117.10596
"Alpha Natural Resources, inc. comm stock",Advertising & Marketing,2832 F St,Eureka,CA,95501,214-808-1249,coxrasmussen.com,Asuncion Berson,Owner,5,1045000,,7311,Advertising Agencies,541810,40.7825,124.16366
"Anthem, Inc. Common Stock",Professional Services,5305 Betsy Ross Drive,Santa Clara,CA,95054,214-808-1250,promo-line.com,Georgiann Hoerter,Owner,50,10500000,,8743,Public Relations Services,237130,37.407366,121.1268335
Allied Nevada Gold Corp.,Insurance,657 University Avenue,Sacramento,CA,95825,214-808-1251,perryfn.com,Hershel Bultron,President,10,1960000,,6411,"Insurance Agents, Brokers, and Service",524210,38.56712,121.1830902
Aegean Marine Petroleum Network Inc. Common Stock,Other Business Services,14002 Jamboree Road,Irvine,CA,92606,682-632-5968,irvinecompany.com,Chu Collopy,,,,$500.000 - $999.1001,7361,Employment Agencies,561311,33.179894,117.2105271
iShares Aggressive Allocation ETF,Other Business Services,4572 Eucalyptus Avenue,Chino,CA,91710,214-808-1249,rainchainsworld.com,Bettina Vosmus,,,,Unknown,,"Business Services, NEC",,33.206891,117.2830472
Alpine Total Dynamic Dividend Fund Common Stock,Other Business Services,313 California St # 400,San Francisco,CA,94104,214-808-1250,jmoorepartners.com,Lynsey Sport,,,,"$100,000 - $500,002",7389,"Business Services, NEC",522320,37.793118,122.40014
"Alliance One International, Inc. Common Stock",Professional Services,3654 Viaduct Lujosa,Escondido,CA,92025,918-354-8907,resourcetrends.com,Phil Kuechler,,1,135000,,8748,"Business Consulting Services, NEC",541910,33.070378,117.047898
iShares Conservative Allocation ETF,Real Estate,332 Pythian Road,Santa Rosa,CA,95409,918-354-8908,torvickrealestate.com,Cordelia Nicks,President,2,268000,,6531,Real Estate Agents and Managers,531210,38.43006,122.58207
AOL Inc. AOL Inc. Common Stock,Legal,102 West San Fernando St # 300,San Jose,CA,95113,918-354-8909,zilkakotab.com,Georgeanna Marrano,,2,334000,,8111,Legal Services,541110,37.860356,121.123404
iShares Moderate Allocation ETF,Legal,15702 Winchester Boulevard,Los Gatos,CA,95030,918-354-8910,receiversinc.com,Rosendo Lanter,Owner,2,334000,,8111,Legal Services,541110,37.1067109,121.131981
Aon plc Class A Ordinary Shares (UK),Other Business Services,4502 Woodman Ave. Suite A,Sherman Oaks,CA,91423,918-354-8911,ziegelgroup.com,Jerilyn Norcia,,,,Unknown,,"Business Services, NEC",,34.153086,118.4308631
iShares Growth Allocation ETF,Other Business Services,250 Rickenbacker Circle,Livermore,CA,94551,214-808-1264,clarkpest.com,Elfriede Bakeley,,,,Unknown,7342,Disinfecting and Pest Control Services,561710,37.691844,121.80379
A.O. Smith Corporation Common Stock,Legal,8913 Research Drive,Irvine,CA,92618,214-808-1265,shimokaji.com,Harris Sheck,Owner,,,$500.000 - $999.1001,8111,Legal Services,541110,33.64269,117.73775
Ampco,Professional Services,4272 North Blackstone Avenue # 110,Fresno,CA,93726,214-808-1266,chcfresno.org,Leonor Beilinson,Executive Director,,,"$1,000,000 - $2,500,002",8748,"Business Consulting Services, NEC",531390,36.795288,119.790414
Apache Corporation Common Stock,Other Business Services,27702 Medical Center Road,Mission Viejo,CA,92691,214-808-1267,mission4health.com,Terrilyn Waska,,2000,212000000,,7389,"Business Services, NEC",561499,33.56186,117.6675
Artisan Partners Asset Management Inc. Class A Common Stock,Professional Services,13703 Riverside Drive # 604,Sherman Oaks,CA,91423,214-808-1268,levineandassociates.com,Maddie Foulds,Owner,2,420000,,8743,Public Relations Services,541820,34.157668,118.431301
"Asia Pacific Fund, Inc. (The)",Printing & Publishing,12402 High Bluff Drive # 100,San Diego,CA,92130,214-808-1269,amnhealthcare.com,Melynda Anstead,CEO,1700,705843000,,7363,Help Supply Services,561330,32.94465,117.2406
Anadarko Petroleum Corporation Common Stock,Legal,3421 West Shaw Avenue,Fresno,CA,93711,918-354-8899,gltlaw.com,Odette Thigpen,,9,1503000,,8111,Legal Services,541110,36.80815,119.8542
