COMPANY NAME,INDUSTRY,ADDRESS,CITY,STATE,ZIP,COUNTY,number,WEBSITE URL,CEO,CONTACT TITLE,NUMBER OF EMPLOYEES,EMPLOYEE SIZE,SALES,SALES RANGE,SIC CODE,SIC DESCRIPTION,NAICS CODE,LATITUDE,LONGITUDE
Direxion Daily FTSE Europe Bull 3x Shares,Other Business Services,923 North Sepulveda Boulevard,El Segundo,CA,90245,Los Angeles,214-808-1347,loanapp.com,Monica Lezama,,,4-Jan,0,"$1,000,000 - $2,500,000",7389,"Business Services, NEC",561499,33.930075,118.39625
iShares MSCI USA Index Fund,Legal,414 South Hope St # 1060,Los Angeles,CA,90071,Los Angeles,214-808-1348,omm.com,Gina Marie Durham,,1500,,0,"$100,000 - $500,014",8111,Legal Services,541110,34.052214,118.253655
Eaton Vance Corporation Common Stock,Printing & Publishing,9854 Sixth St.,Rancho Cucamonga,CA,91730,San Bernardino,214-808-1349,safariprinting.com,Shelley Drummond,,2,,414000,,,Printing and Writing Paper,,34.0859906,117.1543265
"Evans Bancorp, Inc. Common Stock",Legal,Po Box 1914,Redlands,CA,92373,San Bernardino,214-808-1350,waynejohnsonlaw.com,Wayne Johnson,Owner,2,,334000,,8111,Legal Services,541110,34.03424,117.1600488
Entravision Communications Corporation Common Stock,Legal,174 West Santa Clara St # 1050,San Jose,CA,95113,Santa Clara,512-343-4523,businessandtechnologylawgroup.com,Stephen Hollman,,6,,1002000,,8111,Legal Services,541110,37.33507,121.89318
"Everyday Health, Inc. Common Stock",Other Business Services,"1055 n ogden dr #1, West Holly",Lee Vining,CA,93541,Mono,512-343-4524,laxlegacylimo.com/,Mehdi Nadifi,,,4-Jan,,Unknown,,"Business Services, NEC",,38.0407578,119.1445963
EverBank Financial Corp. Common Stock,Other Business Services,425 Lewis Rd. #190,San Jose,CA,95111,Santa Clara,682-632-5980,quantumleapdatarecovery.com/california/data-recovery-in-san-jose-ca/,Amal Monroe,,,4-Jan,,Unknown,,"Business Services, NEC",,37.29732,121.84183
EverBank Financial Corp. Depositary Shares Representing 1/1000th Perpetual Preferred Series A,Professional Services,5644 Cerritos Avenue,Cypress,CA,90630,Orange,512-343-4526,wcct.com,Kenneth Kim,,,4-Jan,,"$100,000 - $500,000",8731,Commercial Physical and Biological Research,541712,33.810107,118.034028
Eaton Vance Senior Income Trust Common Stock,Other Business Services,3430 Lancashire Lane,Modesto,CA,95350,Stanislaus,512-343-4527,homereportcardinspections.com,Bob Holmes,President,1,,219000,,7389,"Business Services, NEC",531390,37.687067,120.985562
Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,Transportation & Shipping,7145 Mirabel Road,Forestville,CA,95436,Sonoma,682-632-5980,rruwater.com,Hal Wood,Owner,9,,2322000,,3713,Truck and Bus Bodies,221310,38.47488,122.1218035
Evogene Ltd Ordinary shares (Israel),Other Business Services,3833 23rd St,San Francisco,CA,94114,San Francisco,512-343-4529,apieceofpeace.com,Margaret Belton,,,4-Jan,,"$100,000 - $500,000",7389,"Business Services, NEC",812199,37.753238,122.1264732
"Envision Healthcare Holdings, Inc. Common Stock",Legal,20764 Ventura Boulevard # 400,Woodland Hills,CA,91364,Los Angeles,512-343-4530,lmwslaw.com,Robert Sherwin,Partner,75,,12525000,,8111,Legal Services,541110,34.166515,118.585321
"EnviroStar, Inc.  Common Stock",Insurance,14465 Chambers Road Ste 130,Tustin,CA,92780,Orange,682-632-5980,insuremegary.com,Gary Bernat,,,4-Jan,,Unknown,,"Insurance Agents, Brokers, and Service",,33.72212,117.80761
Eaton Vance New Jersey Municipal Income Trust Shares of Beneficial Interest,Professional Services,1141 11th St # 310,Sacramento,CA,95814,Sacramento,512-343-4518,theboveecompany.com,John Bovee,Owner,8,,1680000,,8742,Management Consulting Services,541820,38.578552,121.492669
"Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",Legal,549 Anton Boulevard # 810,Costa Mesa,CA,92626,Orange,214-808-1319,lawfriend.com,Noel Torgerson,,,4-Jan,,"$100,000 - $500,014",8111,Legal Services,541110,33.69018,117.87699
Eaton Vance Municipal Income Trust Common Stock,Professional Services,13275 Moorpark Street Suite 201,Sherman Oaks,CA,91423,Los Angeles,214-808-1320,hadassteincpa.com,Hadas Stein,,4,,1876000,,,"Accounting, Auditing, and Bookkeeping Services",,34.1503,118.422
Eaton Vance Ohio Municipal Income Trust Shares of Beneficial Interest,Advertising & Marketing,8668 Washington Boulevard,Culver City,CA,90232,Los Angeles,214-808-1321,haleymiranda.com,Jed West,Owner,10,,2090000,,7311,Advertising Agencies,541810,34.02997,118.38266
Eaton Vance Pennsylvania Municipal Income Trust Shares of Beneficial Interest,Professional Services,,San Diego,CA,92121,San Diego,682-632-5980,wilsonarchitecture.com,Timothy Wilson,,1,,207000,,8712,Architectural Services,541310,,
Evercore Partners Inc Class A Common Stock,Printing & Publishing,708 South Oxford Avenue,Los Angeles,CA,90005,Los Angeles,214-808-1337,calbook.org,Mary Menzel,Other,,4-Jan,,Unknown,5192,"Books, Periodicals, and Newspapers",813319,34.06004,118.30777
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,Professional Services,3328 Capobella,Aliso Viejo,CA,92656,Orange,214-808-1338,yeseverestcs.com,Diane L Smith,,,4-Jan,,Unknown,8742,Management Consulting Services,999990,33.595,117.7345
"Evertec, Inc. Common Stock",Legal,369 South Grand Avenue # 2900,Los Angeles,CA,90071,Los Angeles,214-808-1339,reedsmith.com,Junga Kim,,200,,33400000,,8111,Legal Services,541110,34.052283,118.252002
Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,Legal,569 California St,San Francisco,CA,94104,San Francisco,214-808-1340,ltws.com,Wayne H Gilbert,,4,,668000,,8111,Legal Services,541110,37.792725,122.40323
Market Vectors Environment Index ETF Fund,Insurance,2254 East Plaza Boulevard # L,National City,CA,91950,San Diego,682-632-5980,farmersagent.com/tbundalian,Teresita Bundalian,Manager,4,,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.67882,117.08197
Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,Other Business Services,3339 Longview Drive,Sacramento,CA,95821,Sacramento,512-343-4557,local.terminix.com,,,,4-Jan,,Unknown,7342,Disinfecting and Pest Control Services,561710,38.643413,121.386586
Edwards Lifesciences Corporation Common Stock,Other Business Services,769 East Nees Avenue Unit 27156,Fresno,CA,93729,,512-343-4558,levelupcareers.com,,,,4-Jan,,"$100,000 - $500,014",7361,Employment Agencies,541612,36.8522,119.77145
iShares MSCI Australia Index Fund,Other Business Services,615 East Holt Boulevard,Ontario,CA,91764,San Bernardino,512-343-4559,acesmogcheck.com,Smog Ontario,,3,,324000,,,"Business Services, NEC",,34.06335,117.1926873
Ishares MSCI Australia Small Cap ETF,Legal,"7714 Irvine Center Drive, Suite 955",Irvine,CA,92618,Orange,512-343-4560,habbaspilaw.com/city/orange-county/,Samer Habbas,,3,,510000,,,Legal Services,,33.659109,117.199546
iShares MSCI Canada Index Fund,Legal,333 North Main St # B,Fort Bragg,CA,95437,Mendocino,682-632-5980,fortbragglaw.com,Ryan F Perkins,Partner,2,,334000,,8111,Legal Services,541110,39.44481,123.80619
Ishares MSCI Canada Small Cap ETF,Printing & Publishing,114 S. CITRUS SUITE 204,Covina,CA,91723,Los Angeles,512-343-4520,rochaarts.com,ROCHA ARTS,,,4-Jan,,Unknown,,Miscellaneous Publishing,,34.0872,117.89033
iShares MSCI Sweden Index Fund,Real Estate,2189 North Calif Boulevard # 300,Walnut Creek,CA,94596,Contra Costa,682-632-5980,cbre.com,Trevor Thorpe,,,4-Jan,,Unknown,6531,Real Estate Agents and Managers,531210,37.90957,122.06555
Guggenheim MSCI Emerging Markets Equal Weight ETF,Legal,"9010 Miramar Rd, Ste 220",San Diego,CA,92126,San Diego,214-808-1293,aimeemorris.com,Aimee Morris,,,4-Jan,,Unknown,,Legal Services,,32.8940773,117.434321
iShares MSCI Germany Index Fund,Professional Services,1495 Ford St # 201,Redlands,CA,92373,San Bernardino,214-808-1294,caeap.com,Robert Bruner,President,7,,574000,,8748,"Business Consulting Services, NEC",624190,34.03742,117.449832
Ishares MSCI Germany Small Cap ETF,Professional Services,3492 Buskirk Avenue # 215,Pleasant Hill,CA,94523,Contra Costa,214-808-1237,mazeassociates.com,Tim Kirsch,,38,,3230000,,8721,"Accounting, Auditing, and Bookkeeping Services",541219,37.941533,122.05722
iShares MSCI Hong Kong Index Fund,Professional Services,28227 Foxlane Drive,Canyon Country,CA,91351,Los Angeles,214-808-1238,svsmusicproductions.com,Scott V Smith,,,4-Jan,,"$50,000 - $100,014",8748,"Business Consulting Services, NEC",541618,34.434388,118.467051
iShares MSCI Hong Kong Small,Legal,2239 East Bayshore Road # 200,Palo Alto,CA,94303,San Mateo,214-808-1239,williamclewis.com,William Lewis,Owner,4,,668000,,8111,Legal Services,541110,37.450315,122.123111
iShares MSCI Italy Capped Index Fund,Professional Services,1557 West Grand Avenue,Grover Beach,CA,93433,San Luis Obispo,918-354-8940,cashamerica.com,Dan Hutton,,,4-Jan,,$500.000 - $999.1013,8742,Management Consulting Services,522320,35.12129,120.61248
iShares MSCI Japan Index Fund,Professional Services,3539 Mount Diablo Boulevard 12,Lafayette,CA,94549,Contra Costa,918-354-8941,maryfurlong.com,Mary Furlong,,,4-Jan,,"$100,000 - $500,000",8742,Management Consulting Services,541613,37.1926176,122.2087158
iShares MSCI Belgium Capped Investable Market Index Fund,Legal,234 Bush St # 1611,San Francisco,CA,94104,San Francisco,918-354-8942,toothattorney.com,James Davis,,7,,1169000,,8111,Legal Services,541110,37.202682,122.2165945
iShares MSCI Switzerland Capped Index Fund,Insurance,6279 Greenwich Drive # 250,San Diego,CA,92122,San Diego,214-808-1300,hpis.biz,Wayne Washkowiak,Chief Executive Officer,4,,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.8546,117.18501
iShares MSCI Malaysia Index Fund,Professional Services,13036 Woodcock Avenue,Sylmar,CA,91342,Los Angeles,214-808-1301,arpnetworks.com,,,,4-Jan,,"$100,000 - $500,000",8712,Architectural Services,541310,34.306071,118.455585
iShares MSCI Netherlands Index Fund,Insurance,3184 Crow Canyon Place # 120,San Ramon,CA,94583,Contra Costa,214-808-1302,farmersagent.com/jcarlson16,Jason Carlson,Owner,,4-Jan,,"$100,000 - $500,000",6411,"Insurance Agents, Brokers, and Service",524210,37.777019,121.972447
iShares MSCI Austria Capped Investable Market Index Fund,Real Estate,887 Stevens Avenue,Solana Beach,CA,92075,San Diego,214-808-1303,equityapartments.com,James Peterson,Manager,4,,792000,,6513,Operators of Apartment Buildings,531110,32.98402,117.2595
iShares MSCI Spain Capped Index Fund,Professional Services,5164 Candlewood St # 9g,Lakewood,CA,90712,Los Angeles,682-632-5981,driverstuwilliams.com,Kyle Driver,,,4-Jan,,"$100,000 - $500,000",8721,"Accounting, Auditing, and Bookkeeping Services",541211,33.853532,118.133016
iShares MSCI France Index Fund,Professional Services,2219 Coy Avenue,Bakersfield,CA,93307,Kern,214-808-1275,krazan.com,Dean Alexander,President,6,,1056000,,8748,"Business Consulting Services, NEC",541711,35.323245,118.99972
Guggenheim Russell 1000 Equal Weight ETF,Other Business Services,6760 Greenleaf Ave,Whittier,CA,90601,Los Angeles,214-808-1276,locksmith-los-alamitos.com,,,,4-Jan,,Unknown,,"Business Services, NEC",,33.9794998,118.0370973
Guggenheim Russell MidCap Equal Weight ETF,Real Estate,2815 Camino Del Rio South # 301,San Diego,CA,92108,San Diego,918-354-8972,heffins.com,Shawn Heffernan,Owner,,4-Jan,,Unknown,6512,Operators of Nonresidential Buildings,523930,32.770925,117.134047
Guggenheim Russell 2000 Equal Weight ETF,Legal,1294 South Victoria Avenue # 125,Ventura,CA,93003,Ventura,918-354-8973,venturadui.com,Steven Powell,Partner,3,,501000,,8111,Legal Services,541110,34.26319,119.21197
iShares MSCI Singapore Index Fund,Real Estate,4125 Viaduct Marina,Marina Del Rey,CA,90292,Los Angeles,918-354-8974,oakwood.com,Oakwood Kornblugh,Manager,70,,13860000,,6513,Operators of Apartment Buildings,531210,33.982532,118.461093
iShares MSCI Singapore Small,Professional Services,1015 Bridgeway # 431,Sausalito,CA,94965,Marin,918-354-8975,unspoken.com,Steven Lee Ulrich,,2,,460000,,8742,Management Consulting Services,541611,37.21511089,122.1198041
iShares MSCI Taiwan Index Fund,Other Business Services,1874 El  Camino Real #55,Burlingame,CA,94010,San Mateo,918-354-8976,abcservicesssf.com,Claudia Giraldo,,,4-Jan,,Unknown,,"Business Services, NEC",,37.22310002,122.1242555
iShares MSCI United Kingdom ETF,Printing & Publishing,9814 Baseline Road,Alta Loma,CA,91701,San Bernardino,214-808-1342,dmjsystems.com,DAVID JOHNS,,,4-Jan,,"$100,000 - $500,014",,"Commercial Printing, Lithographic",,34.1227005,117.5903707
Ishares MSCI United Kingdom Small Cap ETF,Professional Services,1744 Highway 89,Tahoe City,CA,96145,Placer,214-808-1343,sierrasheetmetalandheating.com,Jim Casey,Owner,9,,1431000,,8748,"Business Consulting Services, NEC",541330,39.17421,120.15598
ProShares UltraShort MSCI Japan,Other Business Services,PO Box 777,Menlo Park,CA,94026,,214-808-1344,happyspacessf.com,Natalia Mulholland,,,4-Jan,,Unknown,,"Business Services, NEC",,37.47843933,122.31
iShares MSCI Mexico Capped Investable Market Index Fund,Other Business Services,10875 Cherry St Ste 201,Los Alamitos,CA,90720,Orange,214-808-1345,medpromedicaltesting.com/,MedPro Testing Services,,,4-Jan,,Unknown,,"Business Services, NEC",,33.804656,118.068602
SPDR S&P Emerging Markets Small Cap ETF,Other Business Services,1302 Kifer Rd. Suite 203,Sunnyvale,CA,94086,Santa Clara,214-808-1346,aitech-usa.com,Shanny Wang,,,4-Jan,,Unknown,,"Business Services, NEC",,37.372712,121.990163
iShares MSCI South Korea Capped Index Fund,Other Business Services,2539 N McCall Ave,Sanger,CA,93657,Fresno,214-808-1347,woodspest.com/,Greg Cook,Owner,,4-Jan,,"$100,000 - $500,000",,Disinfecting and Pest Control Services,,36.7724523,119.61155
iShares MSCI Brazil Capped Index Fund,Other Business Services,40624 County Center Drive,Temecula,CA,92591,Riverside,918-354-8912,staffmark.com,,,,4-Jan,,"$100,000 - $500,000",7361,Employment Agencies,561311,33.1210554,117.15928
iShares MSCI Brazil Small,Professional Services,7091 Orangewood Avenue # 112,Garden Grove,CA,92841,Orange,214-808-1274,hrnetworkinc.com,Audrianne Adams-Lee,Owner,5,,850000,,8742,Management Consulting Services,541612,33.1255684,118.694613
"ExamWorks Group, Inc. Common Stock",Legal,529 South Figueroa St # 1515,Los Angeles,CA,90071,Los Angeles,682-632-5981,hpdlegal.net,Robert Prata,Manager,5,,835000,,8111,Legal Services,541110,34.05208,118.719386
Exar Corporation Common Stock,Real Estate,2105 Rose St,Berkeley,CA,94709,Alameda,214-808-1351,gordoncommercial.com,John Gordon,Owner,4,,536000,,6531,Real Estate Agents and Managers,531210,37.88213,122.27043
Exelon Corporation Common Stock,Printing & Publishing,21814 Oxnard St # 250,Woodland Hills,CA,91367,Los Angeles,214-808-1352,penton.com,Hershal Sarbin,,,4-Jan,,Unknown,2721,"Periodicals: Publishing, or Publishing and Printing",511120,,
Exelon Corp. Conv Unit,Real Estate,4630 Collwood Lane,San Diego,CA,92115,San Diego,214-808-1353,propertysandiego.com,,,,4-Jan,,"$100,000 - $500,000",6512,Operators of Nonresidential Buildings,531312,32.767191,117.084881
Eaton Vance Tax,Other Business Services,347 Washington Boulevard # 360,Marina Del Rey,CA,90292,Los Angeles,214-808-1354,familyentertainment.biz,Kermit Murray,Owner,3,,1038000,,7389,"Business Services, NEC",454390,33.98135,118.4639
"Crexendo, Inc. Common Stock",Advertising & Marketing,7376 Mannix Court,San Diego,CA,92129,San Diego,214-808-1355,mynextsign.com,Ong Yang,Owner,,4-Jan,,"$100,000 - $500,000",3993,Signs and Advertising Specialties,339950,32.938845,117.163837
Eaton Vance Tax,Printing & Publishing,2831 West Magnolia Boulevard,Burbank,CA,91505,Los Angeles,214-808-1356,hayescoprinting.com,Dan Sumner,President,5,,715000,,2752,"Commercial Printing, Lithographic",323111,34.17083,118.33881
"Exterran Holdings, Inc. Common Stock",Real Estate,935 East Hillsdale Boulevard,San Mateo,CA,94404,San Mateo,512-343-4525,waxcenter.com/ca-foster-city,,,,4-Jan,,"$1,000,000 - $2,500,014",6512,Operators of Nonresidential Buildings,531120,37.55609,122.27532
iShares Global Industrials ETF,Printing & Publishing,3614 American River Drive # 203,Sacramento,CA,95864,Sacramento,512-343-4526,mazzetti.com,Bill Mazzetti,,10,,2070000,,7363,Help Supply Services,561320,38.569943,121.380933
Endeavour Silver Corporation Ordinary Shares (Canada),Real Estate,P.O. Box 57-2479,Tarzana,CA,91357,,682-632-5981,shcommercialrealestate.com,Susan (Sue) Horowitz,,,4-Jan,,Unknown,,Real Estate Agents and Managers,,33.7917991,118.2315573
"Excel Trust, Inc. Common Stock",Other Business Services,1026 South Wall Street,Los Angeles,CA,90015,Los Angeles,512-343-4528,musadirect.com,James Bae,,3,,2697000,,,"Business Services, NEC",,34.4924319,118.25355
"Excel Trust, Inc. 8.125% Series B Cumulative Redeemable Preferred Stock, $0.01 par value",Other Business Services,92 ilex drive,Newbury Park,CA,91320,Ventura,512-343-4529,ultimizer.net,Monica Vernon,,,4-Jan,,Unknown,,"Business Services, NEC",,34.5100055,118.926957
Eagle Materials Inc Common Stock,Professional Services,4124 Palisades Road,San Diego,CA,92116,San Diego,682-632-5981,freibergs.com,Patti Cipro,Manager,,4-Jan,,$500.000 - $999.1013,8741,Management Services,541618,32.774922,117.511202
"Express, Inc. Common Stock",Other Business Services,2076 Business Center Drive #140,Irvine,CA,92612,Orange,512-343-4531,skylinerecoveryllc.com,keng kasn,,,4-Jan,,Unknown,,"Business Services, NEC",,33.67887,117.533313
Extra Space Storage Inc Common Stock,Legal,118 15th St,West Sacramento,CA,95691,Yolo,512-343-4532,apfss.com,Loriann Calles,Owner,8,,3248000,,8111,Legal Services,517919,38.57135,121.5263
WisdomTree Total Earnings Fund,Other Business Services,639 Broadway,San Diego,CA,92101,San Diego,682-632-5981,altaplanning.com,Sherry Ryan,Manager,,4-Jan,,$500.000 - $999.1013,7389,"Business Services, NEC",541410,32.715669,117.15915
iShares MSCI South Africa Index Fund,Other Business Services,15274 Ventura Boulevard # 1150,Sherman Oaks,CA,91403,Los Angeles,512-343-4519,spherion.com,,,,4-Jan,,"$100,000 - $500,014",7361,Employment Agencies,561311,34.153682,118.46586
ProShares Ultra MSCI Japan,Insurance,9630 Schlitz Road,Phelan,CA,92371,San Bernardino,214-808-1322,deliveringonthepromise.com/rdemarco,Robin DeMarco,,,4-Jan,,"$1,000,000 - $2,500,014",,Hospital and Medical Service Plans,,34.42507,117.53419
WisdomTree MidCap Earnings Fund,Other Business Services,25890 The Old Rd. #179,Stevenson Ranch,CA,91381,Los Angeles,214-808-1323,jesusarteaga.com,Jesus Arteaga,,,4-Jan,,Unknown,,"Business Services, NEC",,34.39208,118.8145625
"Entergy Texas Inc First Mortgage Bonds 5.625% Series due June 1, 2064",Media,3614 West Magnolia Boulevard,Burbank,CA,91505,Los Angeles,214-808-1324,lastudios.info,Helgar Pedrini,,,4-Jan,,"$1,000,000 - $2,500,014",7812,Motion Picture and Video Tape Production,512110,34.167992,118.8434493
iShares MSCI EMU Index Fund,Professional Services,1155 Scenic Drive # 100,Modesto,CA,95350,Stanislaus,214-808-1279,athertoncpas.com,Linda Stanley,,22,,3806000,,8721,"Accounting, Auditing, and Bookkeeping Services",541211,37.648262,120.97774
WisdomTree Low P/E Fund,Warehousing & Storage,1860 South 4th St,El Centro,CA,92243,Imperial,214-808-1280,elcentrointerstate.com,Steve Gray,Owner,,4-Jan,,"$100,000 - $500,000",4225,General Warehousing and Storage,531130,32.77697,115.55238
Ford Motor Company Common Stock,Legal,703 North Arrowhead Avenue,San Bernardino,CA,92401,San Bernardino,214-808-1281,robertgrantlaw.com,Robert Grant,Owner,,4-Jan,,"$100,000 - $500,000",8111,Legal Services,541110,34.11188,117.2912
First Trust Multi Cap Value AlphaDEX Fund,Other Business Services,1416 E. Juana,San Leandro,CA,94577,Alameda,918-354-8940,ghaspwaterdamagerestoration.com/mold-testing/ca/mold-inspection-in-san-leandro-ca/,Terrence Gentry,,,4-Jan,,Unknown,,"Business Services, NEC",,37.72984,122.1339
First Acceptance Corporation,Legal,442 Yale Avenue,Claremont,CA,91711,Los Angeles,918-354-8941,paulbrisson.com,Paul Brisson,,,4-Jan,,Unknown,,Legal Services,,34.09795,117.71803
First Trust MuFirst Trust Multi CG AlphaDEX,Professional Services,2849 North Naomi St,Burbank,CA,91504,Los Angeles,918-354-8942,aetlab.com,Cyrus Razmara,Executive Director,35,,5005000,,8734,Testing Laboratories,541380,34.20341,118.34008
First American Corporation (New) Common Stock,Professional Services,31992 Hilltop Boulevard # D,Running Springs,CA,92382,San Bernardino,214-808-1300,brsltd.org,Victor Cintron,CEO,,4-Jan,,Unknown,8734,Testing Laboratories,541380,34.2055,117.10609
First Trust/Aberdeen Global Opportunity Income Fund First Trust/Aberdeen Global Opportunity Income Fund Common Shares of Beneficial Interest,Advertising & Marketing,2845 F St,Eureka,CA,95501,Humboldt,214-808-1301,coxrasmussen.com,Alicia Cox,Owner,5,,1045000,,7311,Advertising Agencies,541810,40.7838,124.16379
First Trust ISE Global Wind Energy ETF,Professional Services,5318 Betsy Ross Drive,Santa Clara,CA,95054,Santa Clara,214-808-1302,promo-line.com,Aldad Matityahu,Owner,50,,10500000,,8743,Public Relations Services,237130,37.407379,121.1589508
Direxion Financial Bull 3X Shares,Insurance,670 University Avenue,Sacramento,CA,95825,Sacramento,214-808-1303,perryfn.com,Jeff Perry,President,10,,1960000,,6411,"Insurance Agents, Brokers, and Service",524210,38.567133,121.1645764
First Trust Australia AlphaDex fund,Other Business Services,14015 Jamboree Road,Irvine,CA,92606,Orange,682-632-5981,irvinecompany.com,,,,4-Jan,,$500.000 - $999.1014,7361,Employment Agencies,561311,33.881816,117.209605
First Trust Dividend and Income Fund Common Shares of Beneficial Interest,Other Business Services,4585 Eucalyptus Avenue,Chino,CA,91710,San Bernardino,214-808-1275,rainchainsworld.com,Junelia Dicousta,,,4-Jan,,Unknown,,"Business Services, NEC",,33.908813,117.216857
Aberdeen Asia,Other Business Services,326 California St # 400,San Francisco,CA,94104,San Francisco,214-808-1276,jmoorepartners.com,James A Moore,,,4-Jan,,"$100,000 - $500,015",7389,"Business Services, NEC",522320,37.793131,122.400153
Direxion Financial Bear 3X Shares,Professional Services,3667 Viaduct Lujosa,Escondido,CA,92025,San Diego,918-354-8972,resourcetrends.com,John Ruetten,,1,,135000,,8748,"Business Consulting Services, NEC",541910,33.070391,117.047911
"Flagstar Bancorp, Inc. Common Stock",Real Estate,345 Pythian Road,Santa Rosa,CA,95409,Sonoma,918-354-8973,torvickrealestate.com,Kathy Torvick,President,2,,268000,,6531,Real Estate Agents and Managers,531210,38.43019,122.5822
Fisher Enhanced Big Cap Growth,Legal,115 West San Fernando St # 300,San Jose,CA,95113,Santa Clara,918-354-8974,zilkakotab.com,Dominic Kotab,,2,,334000,,8111,Legal Services,541110,37.6235934,121.346406
UBS AG FI Enhanced Large Cap Growth ETN,Legal,15715 Winchester Boulevard,Los Gatos,CA,95030,Santa Clara,918-354-8975,receiversinc.com,Gregory Sterling,Owner,2,,334000,,8111,Legal Services,541110,37.6442687,121.354983
"Fortune Brands Home & Security, Inc. Common Stock",Other Business Services,4515 Woodman Ave. Suite A,Sherman Oaks,CA,91423,Los Angeles,918-354-8976,ziegelgroup.com,Ziegel Group,,,4-Jan,,Unknown,,"Business Services, NEC",,34.1530873,118.4308644
Fidelity Total Bond ETF,Other Business Services,263 Rickenbacker Circle,Livermore,CA,94551,Alameda,214-808-1342,clarkpest.com,Dave Erichsen,,,4-Jan,,Unknown,7342,Disinfecting and Pest Control Services,561710,37.691857,121.80392
First BanCorp. New Common Stock,Legal,8926 Research Drive,Irvine,CA,92618,Orange,214-808-1343,shimokaji.com,Michael Shimokaji,Owner,,4-Jan,,$500.000 - $999.1014,8111,Legal Services,541110,33.64282,117.73788
Fibria Celulose S.A.,Professional Services,4285 North Blackstone Avenue # 110,Fresno,CA,93726,Fresno,214-808-1344,chcfresno.org,John Shore,Executive Director,,4-Jan,,"$1,000,000 - $2,500,015",8748,"Business Consulting Services, NEC",531390,36.795301,119.790427
First Preferred Cap Tr Iv First Preferred Capital Trust IV 8.15% Cum Trust Pfd Sec,Other Business Services,27715 Medical Center Road,Mission Viejo,CA,92691,Orange,214-808-1345,mission4health.com,Richard Kozak,,2000,,212000000,,7389,"Business Services, NEC",561499,33.56199,117.6688
First Trust Amex Biotech Index Fund,Professional Services,13716 Riverside Drive # 604,Sherman Oaks,CA,91423,Los Angeles,214-808-1346,levineandassociates.com,Larry Levine,Owner,2,,420000,,8743,Public Relations Services,541820,34.157681,118.431314
First Trust Brazil AlphaDEX Fund,Printing & Publishing,12415 High Bluff Drive # 100,San Diego,CA,92130,San Diego,214-808-1347,amnhealthcare.com,Susan Salka,CEO,1700,,705843000,,7363,Help Supply Services,561330,32.94478,117.24073
Franklin Covey Company Common Stock,Legal,3434 West Shaw Avenue,Fresno,CA,93711,Fresno,918-354-8912,gltlaw.com,Gerald Lee Tahajian,,9,,1503000,,8111,Legal Services,541110,36.80828,119.85433
First Trust China AlphaDEX Fund,Professional Services,"1045 15th Street, Suite 100",Sacramento,CA,95814,Sacramento,214-808-1274,adt.com,Florene Barefield,,,4-Jan,,Unknown,,"Business Consulting Services, NEC",,33.75782937,117.102
Fiat Chrysler Automobiles N.V. Mandatory Convertible Securities,Other Business Services,716 First Ave.,Sunnyvale,CA,94089,Santa Clara,682-632-5981,justmyweight.com,Craig Depew,,,4-Jan,,Unknown,,"Business Services, NEC",,37.451263,122.01832
First Trust Canada AlphaDex Fund,Other Business Services,940 Blcaom Hill Road # 1525,San Jose,CA,95123,Santa Clara,214-808-1351,ethanallen.com,Richard Bloomfield,,20,,6120000,,7389,"Business Services, NEC",541410,37.467688,121.862893
Fiat Chrysler Automobiles N.V. Common Shares,Transportation & Shipping,2573 Merced Avenue,South El Monte,CA,91733,Los Angeles,214-808-1352,vulcan.com,Joe Garbiero,Owner,,4-Jan,,"$1,000,000 - $2,500,000",3592,"Carburetors, Pistons, Piston Rings, and Valves",332710,34.05904,118.05125
"FCB Financial Holdings, Inc. Class A Common Stock",Other Business Services,924 North Sepulveda Boulevard,El Segundo,CA,90245,Los Angeles,214-808-1353,loanapp.com,Monica Lezama,,,4-Jan,0,"$1,000,000 - $2,500,000",7389,"Business Services, NEC",561499,33.930076,118.39625
"Forest City Enterprises, Inc. Common Stock",Legal,415 South Hope St # 1060,Los Angeles,CA,90071,Los Angeles,214-808-1354,omm.com,Gina Marie Durham,,1500,,0,"$100,000 - $500,015",8111,Legal Services,541110,34.052214,118.253655
"Forest City Enterprises, Inc. Common Stock",Printing & Publishing,9855 Sixth St.,Rancho Cucamonga,CA,91730,San Bernardino,214-808-1355,safariprinting.com,Shelley Drummond,,2,,414000,,,Printing and Writing Paper,,34.0859906,117.1657711
First Commonwealth Financial Corporation Common Stock,Legal,Po Box 1915,Redlands,CA,92373,San Bernardino,214-808-1356,waynejohnsonlaw.com,Wayne Johnson,Owner,2,,334000,,8111,Legal Services,541110,34.03424,117.1714934
First Trust ISE,Legal,175 West Santa Clara St # 1050,San Jose,CA,95113,Santa Clara,512-343-4525,businessandtechnologylawgroup.com,Stephen Hollman,,6,,1002000,,8111,Legal Services,541110,37.33508,121.89319
