,LOAN IDENTIFIER,CURRENT DQ STATUS,ORIGINATION CHANNEL,SELLER NAME,ORIGINAL INTEREST RATE,ORIGINAL UPB,ORIGINAL LOAN TERM,ORIGINATION DATE,FIRST PAYMENT DATE,ORIGINAL LOAN-TO-VALUE (LTV),ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),NUMBER OF BORROWERS,ORIGINAL DEBT TO INCOME RATIO,BORROWER CREDIT SCORE AT ORIGINATION,FIRST TIME HOME BUYER INDICATOR,LOAN PURPOSE,PROPERTY TYPE,NUMBER OF UNITS,OCCUPANCY TYPE,PROPERTY STATE,ZIP CODE SHORT,PRIMARY MORTGAGE INSURANCE PERCENT,PRODUCT TYPE,CO-BORROWER CREDIT SCORE AT ORIGINATION,MORTGAGE INSURANCE TYPE,RELOCATION MORTGAGE INDICATOR
1787525,206092108833,0,C,"WELLS FARGO BANK, N.A.",3.25,136000,180,11/2014,01/2015,80,80,4,33.0,808.0,N,R,CO,1,S,MO,650,,FRM,801.0,,N
13651731,904395272332,0,B,OTHER,4.125,360000,360,02/2015,04/2015,80,88,1,42.0,739.0,N,R,SF,1,P,CA,917,,FRM,,,N
14575341,958561207319,0,R,OTHER,3.875,300000,360,01/2015,03/2015,62,62,2,37.0,757.0,N,C,SF,1,P,CA,956,,FRM,749.0,,N
9924629,684953039252,0,C,"FLAGSTAR BANK, FSB",4.25,227000,360,02/2015,04/2015,67,67,1,35.0,783.0,N,R,PU,1,I,CO,806,,FRM,,,N
5868112,447581687261,0,R,OTHER,4.625,101000,360,12/2014,02/2015,75,75,1,14.0,726.0,N,R,SF,1,I,AL,356,,FRM,,,N
3813357,325707247891,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,3.375,158000,180,10/2014,12/2014,65,65,2,28.0,795.0,N,C,SF,1,P,MN,565,,FRM,801.0,,N
124450,107625574131,0,C,"STEARNS LENDING, LLC",3.75,395000,240,12/2014,02/2015,79,79,2,35.0,798.0,N,C,PU,1,P,CA,925,,FRM,799.0,,N
10133285,697081283142,0,C,OTHER,3.875,109000,360,02/2015,04/2015,80,82,1,30.0,808.0,Y,P,SF,1,P,IA,502,,FRM,,,N
10931038,744069921265,0,C,OTHER,4.0,300000,360,01/2015,03/2015,49,49,2,40.0,689.0,Y,P,SF,1,P,CA,926,,FRM,643.0,,N
8670691,611786141910,0,R,OTHER,3.25,30000,180,12/2014,02/2015,44,44,1,35.0,797.0,N,P,SF,1,P,IN,467,,FRM,,,N
6514792,485775720660,0,R,OTHER,3.875,103000,360,02/2015,03/2015,75,75,1,44.0,688.0,N,P,SF,1,P,MS,395,,FRM,,,N
5783727,442443175921,0,C,FREEDOM MORTGAGE CORP.,3.75,171000,360,02/2015,04/2015,80,80,1,35.0,817.0,N,P,PU,1,S,NV,890,,FRM,,,N
2618983,255607008616,0,B,OTHER,4.125,209000,360,12/2014,02/2015,75,75,1,42.0,715.0,N,R,SF,1,P,CA,923,,FRM,,,N
14098109,930356275603,0,R,QUICKEN LOANS INC.,3.75,593000,360,01/2015,04/2015,63,63,2,21.0,756.0,N,R,CO,1,P,NJ,70,,FRM,808.0,,N
8969706,629016795574,0,R,OTHER,3.75,104000,360,02/2015,04/2015,50,50,1,37.0,755.0,N,R,SF,1,P,IL,601,,FRM,,,N
1684412,199862579516,0,R,OTHER,4.125,333000,360,12/2014,02/2015,95,95,2,37.0,709.0,N,P,PU,1,P,CA,933,30.0,FRM,723.0,1.0,N
8411594,596742832928,0,R,OTHER,3.0,92000,180,03/2015,05/2015,77,77,1,30.0,811.0,N,R,PU,1,P,FL,347,,FRM,,,N
5313731,414664865946,0,C,DITECH FINANCIAL LLC,4.25,45000,360,11/2014,01/2015,48,48,1,17.0,789.0,Y,P,SF,1,P,CO,800,,FRM,,,N
11178290,758974665268,0,R,SUNTRUST MORTGAGE INC.,3.99,248000,360,12/2014,02/2015,80,80,1,43.0,797.0,N,P,PU,1,S,FL,347,,FRM,,,N
5168046,405884329530,1,R,OTHER,3.75,366000,360,02/2015,04/2015,75,75,1,28.0,778.0,N,R,SF,1,P,CA,945,,FRM,,,N
3336086,297742485230,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,3.875,114000,360,11/2014,01/2015,71,71,2,26.0,729.0,N,P,SF,1,S,WY,820,,FRM,805.0,,N
1869042,210867242009,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.5,128000,360,11/2014,01/2015,95,95,2,36.0,729.0,Y,P,SF,1,P,AZ,857,30.0,FRM,761.0,1.0,N
10203751,701325306053,0,R,OTHER,4.625,159000,360,12/2014,02/2015,75,75,2,24.0,772.0,N,C,PU,1,I,NV,891,,FRM,803.0,,N
12473754,835452658870,0,R,OTHER,4.0,124000,360,01/2015,03/2015,51,51,1,36.0,761.0,N,R,SF,1,P,MN,550,,FRM,,,N
531419,132022101139,0,R,"LOANDEPOT.COM, LLC",4.0,133000,360,01/2015,03/2015,50,50,1,31.0,801.0,N,R,SF,1,P,NJ,77,,FRM,,,N
13255424,880977480687,0,R,OTHER,4.75,115000,360,02/2015,04/2015,69,69,1,43.0,755.0,N,R,SF,2,I,TX,782,,FRM,,,N
4308978,355022657912,0,B,"CITIMORTGAGE, INC.",3.875,240000,360,01/2015,03/2015,68,68,2,40.0,803.0,N,C,CO,1,P,CA,928,,FRM,800.0,,N
13963187,922422497157,0,R,OTHER,4.875,169000,360,12/2014,02/2015,75,75,2,42.0,690.0,N,C,SF,1,P,WA,986,,FRM,634.0,,N
6311886,473741362042,0,B,OTHER,4.99,289000,360,01/2015,03/2015,75,75,1,33.0,649.0,N,R,SF,4,I,CA,948,,FRM,,,N
4866484,388104551995,0,C,"WELLS FARGO BANK, N.A.",4.125,189000,360,11/2014,01/2015,90,90,2,24.0,804.0,N,P,SF,1,P,MI,483,25.0,FRM,770.0,1.0,N
7973896,570774236635,0,R,OTHER,4.5,102000,360,12/2014,02/2015,60,60,1,35.0,806.0,N,R,SF,1,I,IA,500,,FRM,,,N
11243222,762799596177,0,C,"WELLS FARGO BANK, N.A.",4.375,223000,360,12/2014,02/2015,75,75,1,33.0,714.0,N,P,CO,1,S,CO,814,,FRM,,,N
5641035,433970197806,0,R,"CITIMORTGAGE, INC.",4.125,230000,360,12/2014,02/2015,42,42,1,42.0,757.0,Y,P,SF,2,P,MA,21,,FRM,,,N
10523242,720156544993,0,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.5,219000,360,02/2015,04/2015,85,85,2,38.0,765.0,N,C,SF,1,P,NJ,80,12.0,FRM,746.0,1.0,N
5342514,416352066897,0,R,OTHER,4.125,238000,360,12/2014,02/2015,95,95,2,42.0,733.0,Y,P,SF,1,P,MN,553,25.0,FRM,778.0,1.0,N
3932205,332731013298,0,R,OTHER,4.375,294000,360,12/2014,02/2015,80,80,1,30.0,816.0,N,C,SF,1,P,MD,216,,FRM,,,N
7928175,568127719363,0,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.25,225000,360,01/2015,03/2015,95,95,1,43.0,726.0,N,P,PU,1,P,TX,762,30.0,FRM,,1.0,N
3018754,279030783212,0,R,QUICKEN LOANS INC.,4.75,118000,360,02/2015,04/2015,73,73,1,45.0,732.0,N,C,SF,1,P,RI,29,,FRM,,,N
2266878,234836345666,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.0,210000,360,11/2014,01/2015,78,78,2,36.0,788.0,N,R,PU,1,P,TN,373,,FRM,780.0,,N
5066105,399977457175,0,C,OTHER,4.5,144000,360,01/2015,03/2015,90,90,2,31.0,623.0,N,P,SF,1,P,TX,760,25.0,FRM,732.0,1.0,N
2415750,243509410188,0,R,OTHER,3.0,128000,180,02/2015,04/2015,40,40,2,25.0,751.0,N,C,SF,1,P,ID,836,,FRM,782.0,,N
3703110,319221859264,X,B,OTHER,4.5,793000,360,12/2014,02/2015,72,72,2,31.0,798.0,N,R,SF,4,I,CA,927,,FRM,802.0,,N
9129609,638456436784,0,C,OTHER,4.625,128000,360,12/2014,02/2015,95,95,2,35.0,727.0,Y,P,SF,1,P,NJ,80,30.0,FRM,661.0,1.0,N
11864825,799234654207,0,R,OTHER,4.5,90000,360,01/2015,03/2015,77,77,1,32.0,679.0,N,P,CO,1,P,OH,441,,FRM,,,N
6858263,506063986600,0,R,"LOANDEPOT.COM, LLC",4.75,120000,360,01/2015,03/2015,75,75,2,40.0,718.0,N,P,SF,2,I,CA,922,,FRM,685.0,,N
6330260,474876611125,0,R,QUICKEN LOANS INC.,3.99,234000,360,02/2015,04/2015,92,92,1,31.0,763.0,N,R,PU,1,P,LA,705,30.0,FRM,,1.0,N
6314974,473931260402,0,R,OTHER,3.875,151000,360,01/2015,03/2015,61,61,1,41.0,799.0,N,R,SF,1,P,MD,208,,FRM,,,N
5702135,437593170823,0,C,"FLAGSTAR BANK, FSB",3.875,270000,360,12/2014,02/2015,62,62,2,19.0,784.0,N,C,SF,1,P,UT,840,,FRM,805.0,,N
14835793,974054482298,0,R,OTHER,2.875,93000,180,03/2015,05/2015,32,32,1,32.0,807.0,N,R,SF,1,P,ND,585,,FRM,,,N
8153531,581545652298,0,R,OTHER,3.0,48000,180,01/2015,03/2015,26,26,1,18.0,814.0,N,C,SF,1,P,AL,357,,FRM,,,N
9103056,636822125349,0,R,QUICKEN LOANS INC.,4.375,124000,360,02/2015,05/2015,77,77,2,39.0,745.0,N,C,SF,1,P,TN,377,,FRM,756.0,,N
5766698,441361107672,0,R,QUICKEN LOANS INC.,4.125,160000,240,01/2015,03/2015,75,75,2,28.0,753.0,N,R,SF,1,P,AR,720,,FRM,750.0,,N
5832731,445401543143,0,R,OTHER,4.0,319000,360,02/2015,04/2015,75,90,1,28.0,808.0,Y,P,CO,1,P,CA,920,,FRM,,,N
2613223,255239230341,0,R,OTHER,4.0,120000,360,01/2015,03/2015,80,80,1,30.0,768.0,N,P,SF,1,P,PA,195,,FRM,,,N
1344039,179747304783,0,R,"NATIONSTAR MORTGAGE, LLC",4.875,90000,360,01/2015,03/2015,75,75,1,37.0,620.0,N,C,CO,1,P,TN,372,,FRM,,,N
6723165,497902531091,0,C,"FLAGSTAR BANK, FSB",3.99,343000,360,02/2015,04/2015,76,76,1,44.0,742.0,Y,P,SF,1,P,MI,483,,FRM,,,N
6875391,507070631380,0,R,OTHER,3.875,412000,360,01/2015,03/2015,80,80,2,31.0,814.0,N,P,PU,1,P,TX,786,,FRM,783.0,,N
9075047,635214124208,0,R,QUICKEN LOANS INC.,3.99,430000,360,02/2015,04/2015,58,62,2,18.0,735.0,N,R,SF,1,P,NJ,87,,FRM,778.0,,N
7804091,561151525217,0,R,QUICKEN LOANS INC.,4.125,154000,180,12/2014,02/2015,80,80,2,22.0,724.0,N,C,PU,1,P,TX,773,,FRM,699.0,,N
3102033,283896896652,0,R,"WELLS FARGO BANK, N.A.",4.125,50000,180,12/2014,02/2015,40,40,2,19.0,691.0,N,C,SF,1,P,NM,882,,FRM,694.0,,N
9590801,665395691839,0,R,OTHER,4.125,142000,360,02/2015,04/2015,62,62,1,32.0,809.0,N,P,SF,1,P,NV,893,,FRM,,,N
8137982,580635184201,0,R,QUICKEN LOANS INC.,3.75,306000,360,03/2015,04/2015,56,56,2,46.0,808.0,N,R,SF,1,P,CA,928,,FRM,800.0,,N
4277019,353094626956,0,C,OTHER,4.25,346000,360,01/2015,03/2015,80,90,2,20.0,711.0,N,P,SF,1,P,MA,18,,FRM,761.0,,N
10201502,701183228842,0,C,"WELLS FARGO BANK, N.A.",4.125,219000,360,12/2014,02/2015,95,95,1,27.0,778.0,N,P,SF,1,P,ME,41,30.0,FRM,,1.0,N
10833009,738313931096,0,B,OTHER,4.125,271000,360,12/2014,02/2015,89,89,2,19.0,805.0,N,R,PU,1,P,NV,897,25.0,FRM,805.0,1.0,N
13434800,891494829392,0,R,"NATIONSTAR MORTGAGE, LLC",4.75,119000,360,12/2014,02/2015,75,75,1,36.0,707.0,N,P,CO,1,I,CT,69,,FRM,,,N
5691677,436984317752,0,B,"STEARNS LENDING, LLC",4.5,406000,360,02/2015,04/2015,95,95,2,38.0,754.0,N,R,SF,1,P,MI,483,30.0,FRM,728.0,2.0,N
8687745,612662013413,0,R,OTHER,4.0,160000,360,03/2015,05/2015,51,51,2,24.0,798.0,N,P,PU,1,P,TX,750,,FRM,776.0,,N
12402207,831236661271,0,R,OTHER,4.75,109000,360,01/2015,03/2015,95,95,1,39.0,785.0,N,R,CO,1,P,UT,840,30.0,FRM,,1.0,N
13508127,895841388096,0,R,OTHER,3.5,372000,312,03/2015,05/2015,75,75,2,35.0,797.0,N,R,PU,1,P,SC,294,,FRM,800.0,,N
1405738,183315227720,0,R,"STEARNS LENDING, LLC",4.5,144000,360,12/2014,02/2015,79,79,1,38.0,717.0,N,C,SF,1,P,CA,953,,FRM,,,N
2303831,237059953148,0,R,OTHER,3.9989999999999997,626000,360,01/2015,03/2015,79,79,2,34.0,761.0,Y,P,PU,1,P,VA,201,,FRM,788.0,,N
361313,121772561649,0,B,OTHER,3.5,83000,180,12/2014,02/2015,60,60,2,31.0,716.0,N,R,CO,1,P,IL,600,,FRM,738.0,,N
12007350,808023728265,0,R,OTHER,3.625,292000,360,12/2014,02/2015,80,80,2,49.0,786.0,N,P,SF,1,P,CO,805,,FRM,797.0,,N
6554322,488085733870,0,R,SUNTRUST MORTGAGE INC.,4.2,172000,360,12/2014,02/2015,80,80,2,25.0,771.0,N,C,PU,1,P,CA,952,,FRM,795.0,,N
3757498,322375604642,0,R,OTHER,4.125,197000,360,02/2015,04/2015,80,80,1,38.0,798.0,N,C,SF,1,P,CA,948,,FRM,,,N
6636028,492913741324,0,B,OTHER,3.99,256000,360,01/2015,03/2015,95,95,1,31.0,732.0,N,P,SF,1,P,MA,18,30.0,FRM,,1.0,N
5570822,429728643927,0,C,OTHER,3.875,400000,360,12/2014,02/2015,58,58,2,38.0,781.0,N,C,SF,1,P,MD,208,,FRM,766.0,,N
961263,157069896492,0,B,OTHER,4.25,341000,360,02/2015,04/2015,75,75,1,46.0,806.0,N,C,PU,1,I,CA,953,,FRM,,,N
4499793,366490702497,0,C,"FLAGSTAR BANK, FSB",3.75,329000,360,02/2015,04/2015,66,66,2,30.0,779.0,N,R,SF,1,P,WA,981,,FRM,771.0,,N
14074650,928980574855,0,R,OTHER,3.75,346000,360,01/2015,03/2015,79,79,1,38.0,794.0,N,R,SF,1,P,NJ,88,,FRM,,,N
4501157,366560114910,0,R,OTHER,4.25,204000,360,02/2015,04/2015,75,75,2,36.0,780.0,N,R,CO,1,I,CA,921,,FRM,801.0,,N
11133342,756254101179,0,B,OTHER,4.375,170000,360,02/2015,04/2015,80,80,1,46.0,646.0,N,P,SF,1,P,NH,30,,FRM,,,N
10713815,731268969414,0,C,"FLAGSTAR BANK, FSB",3.625,201000,180,01/2015,03/2015,80,80,1,31.0,737.0,N,C,PU,1,P,TX,773,,FRM,,,N
9521383,661218699790,0,B,OTHER,3.0,229000,180,12/2014,02/2015,75,75,1,45.0,804.0,N,P,SF,1,P,OR,970,,FRM,,,N
11372029,770494937159,0,C,FREEDOM MORTGAGE CORP.,3.625,405000,180,12/2014,02/2015,68,68,1,42.0,708.0,N,C,SF,1,P,CO,802,,FRM,,,N
5693297,437068633335,0,R,OTHER,2.875,144000,120,02/2015,04/2015,73,73,1,36.0,782.0,N,R,CO,1,P,WI,537,,FRM,,,N
11735556,791679413296,0,R,OTHER,3.625,407000,240,02/2015,03/2015,78,78,2,44.0,810.0,N,R,PU,1,P,OR,970,,FRM,799.0,,N
4517133,367403720970,0,R,OTHER,4.0,120000,360,02/2015,04/2015,73,73,2,42.0,794.0,N,P,PU,1,P,SC,290,,FRM,804.0,,N
10317985,707954894985,0,R,OTHER,3.5,87000,180,12/2014,02/2015,67,67,2,46.0,705.0,N,C,SF,1,P,FL,339,,FRM,797.0,,N
874173,151937337369,0,R,OTHER,3.375,160000,180,04/2014,06/2014,53,53,2,34.0,807.0,N,P,SF,1,P,FL,344,,FRM,793.0,,N
1846250,209615393100,0,C,"FLAGSTAR BANK, FSB",4.75,330000,360,12/2014,02/2015,75,75,2,40.0,772.0,N,P,SF,3,I,NJ,77,,FRM,777.0,,N
11862575,799099962522,0,R,OTHER,3.0,150000,180,01/2015,03/2015,45,45,2,28.0,800.0,N,R,SF,1,P,WI,535,,FRM,799.0,,N
7212869,527010671077,0,R,OTHER,3.48,240000,360,02/2015,04/2015,80,80,2,29.0,802.0,N,P,SF,1,P,OH,441,,FRM,783.0,,N
6183587,466037768903,0,R,OTHER,3.9,329000,360,11/2014,01/2015,90,90,2,18.0,776.0,N,P,PU,1,P,CO,805,25.0,FRM,768.0,1.0,Y
9961769,687126372304,0,C,OTHER,4.0,261000,360,02/2015,04/2015,95,95,2,28.0,740.0,N,P,SF,1,P,TX,750,30.0,FRM,730.0,1.0,N
7560407,547269108808,0,C,OTHER,4.75,106000,360,11/2014,01/2015,90,90,1,34.0,708.0,Y,P,CO,1,P,IL,604,25.0,FRM,,2.0,N
4380653,359475610422,0,C,OTHER,4.0,120000,360,12/2014,02/2015,71,71,2,21.0,797.0,N,P,PU,1,S,VA,230,,FRM,801.0,,N
7800399,560966383653,0,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.625,390000,360,11/2014,01/2015,87,87,1,42.0,705.0,N,P,SF,1,P,MA,20,25.0,FRM,,1.0,N
10436858,715029351870,0,R,OTHER,3.5,338000,180,01/2015,03/2015,63,63,2,39.0,776.0,N,C,SF,1,P,CA,954,,FRM,783.0,,N
14574152,958500667046,0,R,QUICKEN LOANS INC.,4.25,301000,360,02/2015,05/2015,65,65,2,48.0,742.0,N,C,PU,1,P,GA,300,,FRM,707.0,,N
4038027,338827039730,0,R,OTHER,4.5,206000,360,12/2014,02/2015,75,75,1,2.0,765.0,N,C,SF,1,I,VA,236,,FRM,,,N
7639792,551809940896,0,B,OTHER,3.625,341000,360,02/2015,04/2015,75,75,2,34.0,809.0,N,C,SF,1,P,UT,846,,FRM,816.0,,N
12728499,850508060887,0,B,"FLAGSTAR BANK, FSB",4.228,291000,360,12/2014,02/2015,76,76,2,29.0,775.0,N,R,PU,1,P,CO,806,,FRM,799.0,,N
7310665,532678604515,0,C,"WELLS FARGO BANK, N.A.",4.25,299000,360,01/2015,03/2015,95,95,2,39.0,750.0,Y,P,PU,1,P,MI,483,30.0,FRM,754.0,1.0,N
10255544,704379799507,0,R,QUICKEN LOANS INC.,4.375,211000,300,12/2014,01/2015,80,80,2,30.0,795.0,N,R,PU,1,P,TX,751,,FRM,794.0,,N
9887717,682840225666,0,C,"WELLS FARGO BANK, N.A.",3.25,250000,180,01/2015,03/2015,52,52,2,27.0,766.0,N,R,SF,1,P,MN,553,,FRM,777.0,,N
6120846,462491336676,0,B,OTHER,4.0,195000,360,02/2015,04/2015,68,68,2,19.0,727.0,N,C,SF,1,P,IL,604,,FRM,713.0,,N
4991026,395610459175,0,C,"WELLS FARGO BANK, N.A.",3.875,300000,360,11/2014,01/2015,80,80,2,38.0,773.0,N,C,SF,1,P,CA,917,,FRM,765.0,,N
14175825,934841486957,0,R,OTHER,3.75,383000,360,02/2015,04/2015,75,75,1,33.0,779.0,N,C,SF,1,P,CO,813,,FRM,,,N
8541889,604313326847,0,R,"WELLS FARGO BANK, N.A.",3.75,131000,240,02/2015,04/2015,35,74,2,40.0,729.0,N,R,PU,1,P,AZ,852,,FRM,748.0,,N
3616893,314253201353,0,C,OTHER,3.375,282000,180,12/2014,02/2015,78,78,2,27.0,732.0,N,C,PU,1,P,VA,201,,FRM,722.0,,N
3269312,293816307909,0,B,"FLAGSTAR BANK, FSB",3.99,275000,360,01/2015,03/2015,74,74,2,49.0,767.0,N,P,CO,1,S,FL,334,,FRM,772.0,,N
1777213,205487706832,0,B,"STEARNS LENDING, LLC",3.75,227000,360,01/2015,03/2015,60,60,1,22.0,802.0,N,P,SF,1,S,VA,201,,FRM,,,N
13713396,907916001610,0,R,OTHER,2.875,345000,180,02/2015,04/2015,73,73,2,39.0,750.0,N,C,SF,1,P,CA,949,,FRM,757.0,,N
13322793,884843446647,0,C,OTHER,4.5,180000,360,02/2015,04/2015,95,95,1,28.0,755.0,Y,P,PU,1,P,TX,756,30.0,FRM,,1.0,N
12428455,832843057320,0,B,OTHER,3.875,207000,360,01/2015,03/2015,95,95,2,44.0,716.0,Y,P,PU,1,P,LA,704,30.0,FRM,697.0,1.0,N
10497922,718640618661,0,R,OTHER,4.875,182000,360,01/2015,03/2015,70,70,2,24.0,716.0,N,C,SF,3,I,MA,15,,FRM,785.0,,N
10933617,744227320037,0,B,OTHER,3.875,111000,360,02/2015,04/2015,33,33,1,48.0,809.0,N,R,PU,1,P,CA,928,,FRM,,,N
6007601,455841274877,0,C,"WELLS FARGO BANK, N.A.",4.25,552000,360,12/2014,02/2015,73,73,2,23.0,709.0,N,R,SF,1,P,CA,900,,FRM,719.0,,N
2598678,254350326832,0,B,OTHER,4.125,137000,240,02/2015,04/2015,64,64,2,30.0,773.0,N,R,CO,1,I,MA,19,,FRM,781.0,,N
885651,152701504917,0,C,"FLAGSTAR BANK, FSB",4.75,98000,360,01/2015,03/2015,60,60,1,35.0,808.0,N,C,SF,2,I,CA,935,,FRM,,,N
14822245,973248657063,0,R,OTHER,3.5,219000,180,12/2014,02/2015,41,41,2,29.0,801.0,N,C,PU,1,P,NV,891,,FRM,779.0,,N
12730980,850650908322,0,R,"WELLS FARGO BANK, N.A.",3.75,286000,360,02/2015,04/2015,95,95,1,43.0,740.0,N,P,PU,1,P,TX,781,30.0,FRM,,1.0,Y
4257904,351965117163,0,C,"NATIONSTAR MORTGAGE, LLC",4.375,140000,360,01/2015,03/2015,80,80,2,29.0,716.0,Y,P,SF,1,P,GA,317,,FRM,686.0,,N
15233841,997531744999,0,R,OTHER,4.125,121000,360,12/2014,02/2015,87,87,1,40.0,728.0,Y,P,PU,1,P,FL,321,25.0,FRM,,1.0,N
11222195,761547439535,0,R,QUICKEN LOANS INC.,4.125,308000,348,12/2014,02/2015,75,75,2,44.0,807.0,N,R,SF,1,P,CA,936,,FRM,807.0,,N
11094162,753902694255,0,C,"WELLS FARGO BANK, N.A.",4.5,106000,360,11/2014,01/2015,80,80,1,27.0,642.0,Y,P,SF,1,P,MO,631,,FRM,,,N
6499927,484950804294,0,C,"WELLS FARGO BANK, N.A.",4.25,164000,360,12/2014,02/2015,90,90,2,25.0,797.0,Y,P,PU,1,P,FL,346,25.0,FRM,797.0,1.0,N
12801445,854614354432,0,R,OTHER,4.375,243000,360,01/2015,03/2015,73,73,1,45.0,707.0,Y,P,SF,1,P,OR,975,,FRM,,,N
5929540,451180334585,0,C,"WELLS FARGO BANK, N.A.",3.75,334000,360,01/2015,03/2015,79,79,1,36.0,789.0,N,R,SF,1,P,CA,921,,FRM,,,N
4856649,387497661571,0,C,OTHER,4.25,98000,360,02/2015,04/2015,80,80,1,36.0,763.0,N,P,SF,1,P,MI,480,,FRM,,,N
9341458,650727626725,0,R,OTHER,3.625,186000,180,12/2014,02/2015,67,67,1,40.0,654.0,N,R,MH,1,P,OR,973,,FRM,,,N
6636249,492928010047,0,R,SUNTRUST MORTGAGE INC.,3.99,308000,360,01/2015,03/2015,79,79,1,47.0,797.0,N,P,PU,1,P,NC,281,,FRM,,,N
5712292,438243490801,0,R,OTHER,3.125,192000,180,01/2015,03/2015,80,80,1,30.0,726.0,Y,P,CO,1,P,NC,282,,FRM,,,N
13697921,907005163074,0,R,OTHER,4.25,80000,360,01/2015,03/2015,43,43,2,37.0,775.0,N,C,SF,1,I,WA,983,,FRM,802.0,,N
2266437,234813655608,0,R,OTHER,4.125,100000,360,01/2015,03/2015,80,80,1,39.0,784.0,Y,P,PU,1,P,TX,770,,FRM,,,N
10619859,725757568064,0,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.25,309000,360,10/2014,12/2014,95,95,1,41.0,774.0,N,P,PU,1,P,TX,750,30.0,FRM,,1.0,N
1647527,197708005086,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.375,148000,360,11/2014,01/2015,85,85,2,14.0,776.0,N,R,SF,1,P,OR,974,12.0,FRM,780.0,2.0,N
10205500,701415558508,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,3.5,180000,180,01/2015,03/2015,86,95,1,42.0,781.0,N,R,SF,1,P,NC,272,12.0,FRM,,1.0,N
690034,141208771689,0,R,"WELLS FARGO BANK, N.A.",3.75,304000,360,02/2015,04/2015,95,95,1,43.0,751.0,Y,P,PU,1,P,TX,774,30.0,FRM,,1.0,N
6732642,498469086840,0,R,"WELLS FARGO BANK, N.A.",3.875,282000,360,12/2014,02/2015,55,55,1,45.0,782.0,Y,P,CO,1,P,PA,191,,FRM,,,N
3810153,325491082824,0,C,"WELLS FARGO BANK, N.A.",4.25,300000,360,11/2014,01/2015,55,55,1,44.0,786.0,N,C,CO,1,P,FL,334,,FRM,,,N
7105239,520706058422,0,R,OTHER,4.5,218000,360,12/2014,02/2015,75,75,2,41.0,747.0,N,P,SF,1,I,CO,801,,FRM,756.0,,N
1831060,208674340823,0,R,OTHER,4.125,259000,360,02/2015,04/2015,70,70,1,48.0,691.0,N,R,CO,1,I,CA,926,,FRM,,,N
683346,140837963401,0,R,QUICKEN LOANS INC.,4.125,220000,240,01/2015,03/2015,70,70,2,31.0,798.0,N,C,SF,1,P,MD,209,,FRM,816.0,,N
3396393,301164598725,0,R,OTHER,3.75,257000,360,03/2015,05/2015,95,95,2,26.0,697.0,Y,P,SF,1,P,MI,488,30.0,FRM,767.0,1.0,N
224390,113773192229,0,C,"WELLS FARGO BANK, N.A.",4.125,182000,360,11/2014,01/2015,80,80,1,18.0,750.0,Y,P,PU,1,P,NC,280,,FRM,,,N
4959878,393805602868,0,R,OTHER,4.0,573000,360,01/2015,03/2015,37,37,2,36.0,771.0,N,R,SF,1,P,CA,902,,FRM,801.0,,N
765566,145630397358,0,R,OTHER,3.99,204000,360,02/2015,04/2015,80,80,1,44.0,760.0,Y,P,PU,1,P,AZ,863,,FRM,,,N
11243081,762796168245,0,R,OTHER,3.625,129000,360,02/2015,04/2015,84,84,2,24.0,759.0,N,R,SF,1,P,WI,537,12.0,FRM,777.0,1.0,N
6147840,464077429692,0,B,FREEDOM MORTGAGE CORP.,3.5,83000,120,01/2015,03/2015,55,55,1,42.0,718.0,N,C,SF,1,P,FL,336,,FRM,,,N
10561516,722389919932,0,R,OTHER,3.75,150000,360,01/2015,03/2015,68,68,2,17.0,793.0,N,P,SF,1,P,IL,628,,FRM,777.0,,N
450436,127110272791,0,C,IMPAC MORTGAGE CORP.,3.625,414000,180,01/2015,03/2015,52,52,1,34.0,780.0,N,R,SF,4,I,CA,908,,FRM,,,N
6010514,456001947871,0,R,OTHER,3.875,138000,360,02/2015,04/2015,80,80,1,41.0,720.0,N,R,PU,1,P,AZ,852,,FRM,,,N
14426298,949726805900,0,B,OTHER,3.75,417000,360,02/2015,04/2015,66,66,2,30.0,764.0,N,R,SF,1,P,CA,949,,FRM,784.0,,N
12816585,855435499200,0,R,"WELLS FARGO BANK, N.A.",3.75,84000,360,01/2015,04/2015,95,95,1,29.0,771.0,N,P,SF,1,P,CO,810,30.0,FRM,,1.0,Y
9396940,653943787270,0,R,OTHER,3.75,308000,360,01/2015,03/2015,80,80,1,20.0,725.0,N,P,PU,1,S,NV,891,,FRM,,,N
13295362,883213010926,0,R,"CITIMORTGAGE, INC.",4.25,360000,360,02/2015,04/2015,80,80,2,38.0,783.0,N,C,SF,1,P,CA,906,,FRM,794.0,,N
5587719,430770671252,0,B,OTHER,3.99,323000,360,02/2015,04/2015,75,75,1,44.0,779.0,N,R,PU,1,I,CA,917,,FRM,,,N
