Contract Identifier,Instrument Identifier,Channel of Origination,Date of Origination,Country of Origination,Asset Class,Loan Purpose,Product Type,Amortisation Type,Original Maturity Date,Current Maturity Date,Loan Currency,Origination Amount,Principal Balance,Accrued Interest Balance (On book),Total Balance,Original Interest Rate,Original Interest Rate Type,Description of Original Interest Rate Type,Original Interest Rate Reference,Current Interest Rate,Current Interest Rate Type,Current Interest Rate Reference,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due
A00019423,LP19360,Web,42128,USA,Resi,Mortage,Loan,Linear,53078,55998,USD,184190.4762,180506.6667,460.4761905,180967.1429,0.04,fixed,,,,fixed,,42129,55998,,,0.03,0.005,0.0075,43672,511.6402116,511.6402116,45.24178571,43707,43707,monthly,monthly,1534.920635,5415.2,0.04,0.005,0.01,non-performing,95,3
A00019424,LP19361,Broker,42129,USA,Resi,Mortage,Loan,Linear,53079,53084,USD,189761.9048,180273.8095,512.3571429,180786.1667,0.04,fixed,,,,fixed,,42130,53084,,,0.03,0.005,0.0075,43672,527.1164021,527.1164021,45.19654167,43707,43707,monthly,monthly,1581.349206,5408.214286,0.04,0.005,0.01,non-performing,97,3
A00019425,LP19362,Branch,42130,USA,Resi,Mortage,Loan,Linear,53080,53085,USD,195333.3333,185566.6667,1129.026667,186695.6933,0.04,fixed,,,,fixed,,42131,53085,,,0.03,0.005,0.0075,43672,542.5925926,542.5925926,46.67392333,43707,43707,monthly,monthly,1627.777778,5567,0.04,0.005,0.01,non-performing,93,3
A00019426,LP19363,Branch,42131,USA,Resi,Mortage,Loan,Linear,53081,53086,USD,200000,200040,1000,201040,0.035,fixed,,,,fixed,,42132,53086,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,50.26,43707,43707,monthly,monthly,1666.666667,6001.2,0.04,0.005,0.01,,20,3
A00019427,LP19364,Web,42132,USA,CRE,Mortage,Loan,Balloon,53082,53087,USD,150000,142500,25.5,142525.5,0.04,fixed,,,,fixed,,42133,53087,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.631375,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,,90,3
A00019428,LP19365,Broker,42133,USA,Resi,Mortage,Loan,Linear,53083,53088,USD,100000,90000,500,90500,0.04,fixed,,,,fixed,,42134,53088,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,22.625,43707,43707,monthly,monthly,833.3333333,2700,0.04,0.005,0.01,non-performing,91,3
A00019429,LP19366,Branch,42134,USA,Resi,Mortage,Loan,Linear,53084,53089,USD,85000,83300,425,83725,0.04,fixed,,,,fixed,,42135,53089,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.93125,43707,43707,monthly,monthly,708.3333333,2499,0.04,0.005,0.01,non-performing,95,3
A00019430,LP19367,Web,42135,USA,Resi,Mortage,Loan,Linear,53085,55275,USD,200000,190000,500,190500,0.04,fixed,,,,fixed,,42136,55275,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.625,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,97,3
A00019431,LP19368,Broker,42136,USA,Resi,Mortage,Loan,Linear,53086,54911,USD,150000,142500,405,142905,0.04,fixed,,,,fixed,,42137,54911,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.72625,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
A00019432,LP19369,Branch,42137,USA,Resi,Mortage,Loan,Linear,53087,54912,USD,136000,129200,786.08,129986.08,0.04,fixed,,,,fixed,,42138,54912,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.49652,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,,90,3
A00019433,LP19370,Branch,42138,USA,Resi,Mortage,Loan,Linear,53088,54913,USD,132714.2857,126078.5714,663.5714286,126742.1429,0.04,fixed,,,,fixed,,42139,54913,,,0.03,0.005,0.0075,43672,368.6507937,368.6507937,31.68553571,43707,43707,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,non-performing,92,3
A00019434,LP19371,Web,42139,USA,Resi,Mortage,Loan,Linear,53089,54914,USD,129428.5714,116485.7143,349.4571429,116835.1714,0.04,mixed,5 years fixed then variable,,,fixed,,42140,54914,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,29.20879286,43707,43707,monthly,monthly,1078.571429,3494.571429,0.04,0.005,0.01,non-performing,91,3
A00019435,LP19372,Broker,42140,USA,Resi,Mortage,Loan,Linear,53090,54915,USD,126142.8571,123620,729.1057143,124349.1057,0.04,variable,,LIBOR,3,fixed,LIBOR,42141,54915,,,0.03,0.005,0.0075,43669,350.3968254,350.3968254,31.08727643,43707,43707,monthly,monthly,1051.190476,3708.6,0.04,0.005,0.01,non-performing,95,3
A00019436,LP19373,Branch,42141,USA,Resi,Mortage,Loan,Linear,53091,56011,USD,122857.1429,116714.2857,614.2857143,117328.5714,0.04,fixed,,,,fixed,,42142,56011,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,29.33214286,43707,43707,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,97,3
A00019437,LP19374,Web,42142,USA,Resi,Mortage,Loan,Linear,53092,53097,USD,119571.4286,107614.2857,20.32714286,107634.6129,0.04,fixed,,,,fixed,,42143,53097,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,26.90865321,43707,43707,monthly,monthly,996.4285714,3228.428571,0.04,0.005,0.01,non-performing,93,3
A00019438,LP19375,Broker,42143,USA,Resi,Mortage,Loan,Linear,53093,53098,USD,116285.7143,113960,19.76857143,113979.7686,0.04,mixed,5 years fixed then variable,,,fixed,,42144,53098,,,0.03,0.005,0.0075,43672,323.015873,323.015873,28.49494214,43707,43707,monthly,monthly,969.047619,3418.8,0.04,0.005,0.01,,90,3
A00019439,LP19376,Branch,42144,USA,Resi,Mortage,Loan,Linear,53094,53099,USD,200000,190000,34,190034,0.05,fixed,,,,fixed,,42145,53099,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.5085,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,92,3
A00019440,LP19377,Branch,42145,USA,Resi,Mortage,Loan,Linear,53095,53100,USD,150000,142500,375,142875,0.04145402299,fixed,,,,fixed,,42146,53100,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.71875,43707,43707,monthly,monthly,2500,8550,0.04,0.005,0.01,non-performing,180,6
A00019441,LP19378,Web,42146,USA,Resi,Mortage,Loan,Linear,53096,53101,USD,100000,100020,270,100290,0.04155858361,fixed,,,,fixed,,42147,53101,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,25.0725,43707,43707,monthly,monthly,1666.666667,6001.2,0.04,0.005,0.01,non-performing,170,6
A00019442,LP19379,Broker,42147,USA,Resi,Mortage,Loan,Linear,53097,53102,USD,85000,80750,491.3,81241.3,0.04166314423,fixed,,,,fixed,,42148,53102,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.310325,43707,43707,monthly,monthly,1416.666667,4845,0.04,0.005,0.01,non-performing,213,6
A00019443,LP19380,Branch,42148,USA,CRE,Mortage,Loan,Linear,53098,55288,USD,200000,180000,1000,181000,0.04176770486,fixed,,,,fixed,,42149,55288,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,45.25,43707,43707,monthly,monthly,1666.666667,5400,0.04,0.005,0.01,,20,3
A00019444,LP19381,Web,42149,USA,Resi,Mortage,Loan,Linear,53099,54924,USD,150000,147000,25.5,147025.5,0.04187226548,fixed,,,,fixed,,42150,54924,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,36.756375,43707,43707,monthly,monthly,1250,4410,0.04,0.005,0.01,,90,3
A00019445,LP19382,Broker,42150,USA,Resi,Mortage,Loan,Linear,53100,54925,USD,136000,129200,680,129880,0.0419768261,mixed,5 years fixed then variable,,,fixed,,42151,54925,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.47,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,91,3
A00019446,LP19383,Branch,42151,USA,Resi,Mortage,Loan,Linear,53101,54926,USD,132714.2857,126078.5714,663.5714286,126742.1429,0.04208138673,fixed,,,,fixed,,42152,54926,,,0.03,0.005,0.0075,43672,368.6507937,368.6507937,31.68553571,43707,43707,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,non-performing,95,3
A00019447,LP19384,Branch,42152,USA,Resi,Mortage,Loan,Balloon,53102,54927,USD,129428.5714,122957.1429,323.5714286,123280.7143,0.04218594735,fixed,,,,fixed,,42153,54927,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,30.82017857,43707,43707,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,97,3
A00019448,LP19385,Web,42153,USA,Resi,Mortage,Loan,Linear,53103,54928,USD,126142.8571,119835.7143,340.5857143,120176.3,0.04229050797,fixed,,,,fixed,,42154,54928,,,0.03,0.005,0.0075,43675,350.3968254,350.3968254,30.044075,43707,43707,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,93,3
A00019449,LP19386,Broker,42154,USA,Resi,Mortage,Loan,Linear,53104,56024,USD,122857.1429,110571.4286,710.1142857,111281.5429,0.04239506859,mixed,5 years fixed then variable,,,fixed,,42155,56024,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,27.82038571,43707,43707,monthly,monthly,2047.619048,6634.285714,0.04,0.005,0.01,non-performing,213,6
A00019450,LP19387,Branch,42155,USA,Resi,Mortage,Loan,Linear,53105,53110,USD,119571.4286,117180,597.8571429,117777.8571,0.04249962922,fixed,,,,fixed,,42156,53110,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,29.44446429,43707,43707,monthly,monthly,996.4285714,3515.4,0.04,0.005,0.01,,20,3
A00019451,LP19388,Web,42156,USA,Resi,Mortage,Loan,Linear,53106,53111,USD,116285.7143,110471.4286,313.9714286,110785.4,0.04260418984,fixed,,,,fixed,,42157,53111,,,0.03,0.005,0.0075,43672,258.4126984,323.015873,27.69635,43707,43707,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,,90,3
A00019452,LP19389,Broker,42157,USA,Resi,Mortage,Loan,Linear,53107,53112,USD,150000,135000,867,135867,0.04270875046,fixed,,,,fixed,,42158,53112,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,33.96675,43707,43707,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,91,3
A00019453,LP19390,Branch,42158,USA,Resi,Mortage,Loan,Linear,53108,53113,USD,100000,98000,500,98500,0.04281331109,fixed,,,,fixed,,42159,53113,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,24.625,43707,43707,monthly,monthly,833.3333333,2940,0.04,0.005,0.01,non-performing,95,3
A00019454,LP19391,Branch,42159,USA,Resi,Mortage,Loan,Linear,53109,53114,USD,85000,80750,14.45,80764.45,0.04291787171,fixed,,,,fixed,,42160,53114,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.1911125,43707,43707,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,non-performing,97,3
A00019455,LP19392,Web,42160,USA,Resi,Mortage,Loan,Linear,53110,53115,USD,200000,190000,34,190034,0.04302243233,fixed,,,,fixed,,42161,53115,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.5085,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,93,3
A00019456,LP19393,Broker,42161,USA,Resi,Mortage,Loan,Linear,53111,55301,USD,150000,150030,25.5,150055.5,0.04312699296,fixed,,,,fixed,,42162,55301,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,37.513875,43707,43707,monthly,monthly,1250,4500.9,0.04,0.005,0.01,,20,3
A00019457,LP19394,Branch,42162,USA,Resi,Mortage,Loan,Linear,53112,54937,USD,136000,129200,340,129540,0.04323155358,fixed,,,,fixed,,42163,54937,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.385,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,,90,3
A00019458,LP19395,Web,42163,USA,Resi,Mortage,Loan,Linear,53113,54938,USD,156333.3333,140700,422.1,141122.1,0.0433361142,fixed,,,,fixed,,42164,54938,,,0.03,0.005,0.0075,43672,434.2592593,434.2592593,35.280525,43707,43707,monthly,monthly,1302.777778,4221,0.04,0.005,0.01,non-performing,91,3
A00019459,LP19396,Broker,42164,USA,CRE,Mortage,Loan,Linear,53114,54939,USD,161904.7619,158666.6667,935.8095238,159602.4762,0.04344067482,fixed,,,,fixed,,42165,54939,,,0.03,0.005,0.0075,43672,449.7354497,449.7354497,39.90061905,43707,43707,monthly,monthly,1349.206349,4760,0.04,0.005,0.01,non-performing,95,3
A00019460,LP19397,Branch,42165,USA,Resi,Mortage,Loan,Linear,53115,54940,USD,167476.1905,159102.381,837.3809524,159939.7619,0.04354523545,fixed,,,,fixed,,42166,54940,,,0.03,0.005,0.0075,43672,465.2116402,465.2116402,39.98494048,43707,43707,monthly,monthly,1395.634921,4773.071429,0.04,0.005,0.01,non-performing,97,3
A00019461,LP19398,Branch,42166,USA,Resi,Mortage,Loan,Linear,53116,54941,USD,173047.619,164395.2381,29.41809524,164424.6562,0.04364979607,fixed,,,,fixed,,42167,54941,,,0.03,0.005,0.0075,43669,480.6878307,480.6878307,41.10616405,43707,43707,monthly,monthly,1442.063492,4931.857143,0.04,0.005,0.01,non-performing,93,3
A00019462,LP19399,Web,42167,USA,Resi,Mortage,Loan,Linear,53117,56037,USD,178619.0476,169688.0952,893.0952381,170581.1905,0.04375435669,fixed,,,,fixed,,42168,56037,,,0.03,0.005,0.0075,43672,496.1640212,496.1640212,42.64529762,43707,43707,monthly,monthly,1488.492063,5090.642857,0.04,0.005,0.01,,20,3
A00019463,LP19400,Broker,42168,USA,Resi,Mortage,Loan,Linear,53118,53123,USD,184190.4762,174980.9524,920.952381,175901.9048,0.04385891732,mixed,5 years fixed then variable,,,fixed,,42169,53123,,,0.03,0.005,0.0075,43672,511.6402116,511.6402116,43.97547619,43707,43707,monthly,monthly,1534.920635,5249.428571,0.04,0.005,0.01,,90,3
A00019464,LP19401,Branch,42169,USA,Resi,Mortage,Loan,Linear,53119,53124,USD,189761.9048,170785.7143,474.4047619,171260.119,0.04396347794,variable,,LIBOR,3,fixed,LIBOR,42170,53124,,,0.03,0.005,0.0075,43672,0,527.1164021,42.81502976,43707,43707,monthly,monthly,1581.349206,5123.571429,0.04,0.005,0.01,non-performing,91,3
A00019465,LP19402,Web,42170,USA,Resi,Mortage,Loan,Linear,53120,53125,USD,195333.3333,191426.6667,527.4,191954.0667,0.04406803856,fixed,,,,fixed,,42171,53125,,,0.03,0.005,0.0075,43672,542.5925926,542.5925926,47.98851667,43707,43707,monthly,monthly,1627.777778,5742.8,0.04,0.005,0.01,non-performing,95,3
A00019466,LP19403,Broker,42171,USA,Resi,Mortage,Loan,Linear,53121,53126,USD,200000,190000,1156,191156,0.04417259918,fixed,,,,fixed,,42172,53126,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.789,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,97,3
A00019467,LP19404,Branch,42172,USA,Resi,Mortage,Loan,Balloon,53122,53127,USD,150000,135000,750,135750,0.04427715981,mixed,5 years fixed then variable,,,fixed,,42173,53127,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,33.9375,43707,43707,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,93,3
A00019468,LP19405,Branch,42173,USA,Resi,Mortage,Loan,Linear,53123,53128,USD,100000,98000,270,98270,0.04438172043,fixed,,,,fixed,,42174,53128,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,24.5675,43707,43707,monthly,monthly,833.3333333,2940,0.04,0.005,0.01,,20,3
A00019469,LP19406,Web,42174,USA,Resi,Mortage,Loan,Linear,53124,55314,USD,85000,80750,491.3,81241.3,0.04448628105,fixed,,,,fixed,,42175,55314,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.310325,43707,43707,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,,90,3
A00019470,LP19407,Broker,42175,USA,Resi,Mortage,Loan,Linear,53125,54950,USD,200000,190000,1000,191000,0.04459084168,fixed,,,,fixed,,42176,54950,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.75,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,92,3
A00019471,LP19408,Branch,42176,USA,Resi,Mortage,Loan,Linear,53126,54951,USD,150000,150030,25.5,150055.5,0.0446954023,fixed,,,,fixed,,42177,54951,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,37.513875,43707,43707,monthly,monthly,2500,9001.8,0.04,0.005,0.01,non-performing,180,6
A00019472,LP19409,Web,42177,USA,Resi,Mortage,Loan,Linear,53127,54952,USD,136000,129200,23.12,129223.12,0.04479996292,fixed,,,,fixed,,42178,54952,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.30578,43707,43707,monthly,monthly,2266.666667,7752,0.04,0.005,0.01,non-performing,170,6
A00019473,LP19410,Broker,42178,USA,Resi,Mortage,Loan,Linear,53128,54953,USD,132714.2857,119442.8571,22.56142857,119465.4186,0.04490452354,fixed,,,,fixed,,42179,54953,,,0.03,0.005,0.0075,43672,368.6507937,368.6507937,29.86635464,43707,43707,monthly,monthly,2211.904762,7166.571429,0.04,0.005,0.01,non-performing,213,6
A00019474,LP19411,Branch,42179,USA,Resi,Mortage,Loan,Linear,53129,54954,USD,129428.5714,126840,323.5714286,127163.5714,0.04,mixed,5 years fixed then variable,,,fixed,,42180,54954,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,31.79089286,43707,43707,monthly,monthly,1078.571429,3805.2,0.04,0.005,0.01,,20,3
A00019475,LP19412,Branch,42180,USA,CRE,Mortage,Loan,Linear,53130,56050,USD,126142.8571,119835.7143,340.5857143,120176.3,0.035,fixed,,,,fixed,,42181,56050,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,30.044075,43707,43707,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,,90,3
A00019476,LP19413,Web,42181,USA,Resi,Mortage,Loan,Linear,53131,53136,USD,122857.1429,116714.2857,710.1142857,117424.4,0.04,fixed,,,,fixed,,42182,53136,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,29.3561,43707,43707,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,91,3
A00019477,LP19414,Broker,42182,USA,Resi,Mortage,Loan,Linear,53132,53137,USD,119571.4286,113592.8571,597.8571429,114190.7143,0.04,fixed,,,,fixed,,42183,53137,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,28.54767857,43707,43707,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,95,3
A00019478,LP19415,Branch,42183,USA,Resi,Mortage,Loan,Linear,53133,53138,USD,116285.7143,110471.4286,19.76857143,110491.1971,0.04,mixed,5 years fixed then variable,,,fixed,,42184,53138,,,0.03,0.005,0.0075,43672,323.015873,323.015873,27.62279929,43707,43707,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,97,3
A00019479,LP19416,Web,42184,USA,Resi,Mortage,Loan,Linear,53134,53139,USD,200000,180000,1000,181000,0.0375,fixed,,,,fixed,,42185,53139,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,45.25,43707,43707,monthly,monthly,1666.666667,5400,0.04,0.005,0.01,non-performing,93,3
A00019480,LP19417,Broker,42051,USA,Resi,Mortage,Loan,Linear,53001,53006,USD,150000,147000,750,147750,0.04,fixed,,,,fixed,,42052,53006,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,36.9375,43707,43707,monthly,monthly,2500,8820,0.04,0.005,0.01,non-performing,213,6
A00019481,LP19418,Branch,42052,USA,Resi,Mortage,Loan,Linear,53002,53007,USD,100000,95000,250,95250,0.04,fixed,,,,fixed,,42053,53007,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,23.8125,43707,43707,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,,20,3
A00019482,LP19419,Branch,42053,USA,Resi,Mortage,Loan,Linear,53003,55193,USD,85000,76500,229.5,76729.5,0.04,fixed,,,,fixed,,42054,55193,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,19.182375,43707,43707,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,,90,3
A00019483,LP19420,Web,42054,USA,Resi,Mortage,Loan,Linear,53004,54829,USD,200000,196000,1156,197156,0.04,fixed,,,,fixed,,42055,54829,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,49.289,43707,43707,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,91,3
A00019484,LP19421,Broker,42055,USA,Resi,Mortage,Loan,Linear,53005,54830,USD,150000,142500,750,143250,0.04,fixed,,,,fixed,,42056,54830,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.8125,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,95,3
A00019485,LP19422,Branch,42056,USA,Resi,Mortage,Loan,Linear,53006,54831,USD,136000,129200,367.2,129567.2,0.04,fixed,,,,fixed,,42057,54831,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.3918,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,97,3
A00019486,LP19423,Web,42057,USA,Resi,Mortage,Loan,Linear,53007,54832,USD,132714.2857,132740.8286,767.0885714,133507.9171,0.0375,fixed,,,,fixed,,42058,54832,,,0.03,0.005,0.0075,43669,368.6507937,368.6507937,33.37697929,43707,43707,monthly,monthly,1105.952381,3982.224857,0.04,0.005,0.01,non-performing,93,3
A00019487,LP19424,Broker,42058,USA,Resi,Mortage,Loan,Balloon,53008,54833,USD,129428.5714,122957.1429,647.1428571,123604.2857,0.04,fixed,,,,fixed,,42059,54833,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,30.90107143,43707,43707,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,,20,3
A00019488,LP19425,Branch,42059,USA,Resi,Mortage,Loan,Linear,53009,55929,USD,126142.8571,113528.5714,21.44428571,113550.0157,0.04,fixed,,,,fixed,,42060,55929,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,28.38750393,43707,43707,monthly,monthly,1051.190476,3405.857143,0.04,0.005,0.01,,90,3
A00019489,LP19426,Branch,42060,USA,Resi,Mortage,Loan,Linear,53010,53015,USD,122857.1429,120400,20.88571429,120420.8857,0.04,fixed,,,,fixed,,42061,53015,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,30.10522143,43707,43707,monthly,monthly,1023.809524,3612,0.04,0.005,0.01,non-performing,91,3
A00019490,LP19427,Web,42061,USA,Resi,Mortage,Loan,Linear,53011,53016,USD,119571.4286,113592.8571,20.32714286,113613.1843,0.035,fixed,,,,fixed,,42062,53016,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,28.40329607,43707,43707,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,95,3
A00019491,LP19428,Broker,42062,USA,CRE,Mortage,Loan,Linear,53012,53017,USD,116285.7143,110471.4286,290.7142857,110762.1429,0.04,fixed,,,,fixed,,42063,53017,,,0.03,0.005,0.0075,43672,323.015873,323.015873,27.69053571,43707,43707,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,97,3
A00019492,LP19429,Branch,42063,USA,Resi,Mortage,Loan,Linear,53013,53018,USD,150000,142500,405,142905,0.04,mixed,5 years fixed then variable,,,fixed,,42064,53018,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.72625,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
A00019493,LP19430,Web,42064,USA,Resi,Mortage,Loan,Linear,53014,53019,USD,100000,95000,578,95578,0.04,variable,,LIBOR,3,fixed,LIBOR,42065,53019,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,23.8945,43707,43707,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,,90,3
A00019494,LP19431,Broker,42065,USA,Resi,Mortage,Loan,Linear,53015,53020,USD,85000,76500,425,76925,0.04,fixed,,,,fixed,,42066,53020,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,19.23125,43707,43707,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,92,3
A00019495,LP19432,Branch,42066,USA,Resi,Mortage,Loan,Linear,53016,55206,USD,200000,196000,34,196034,0.04,fixed,,,,fixed,,42067,55206,,,0.03,0.005,0.0075,43672,800,555.5555556,49.0085,43707,43707,monthly,monthly,3333.333333,11760,0.04,0.005,0.01,non-performing,180,6
A00019496,LP19433,Branch,42067,USA,CRE,Mortage,Loan,Linear,53017,54842,USD,150000,142500,750,143250,0.04,mixed,5 years fixed then variable,,,fixed,,42068,54842,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.8125,43707,43707,monthly,monthly,2500,8550,0.04,0.005,0.01,non-performing,170,6
A00019497,LP19434,Web,42068,USA,Resi,Mortage,Loan,Linear,53018,54843,USD,136000,122400,680,123080,0.04,fixed,,,,fixed,,42069,54843,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,30.77,43707,43707,monthly,monthly,2266.666667,7344,0.04,0.005,0.01,non-performing,213,6
A00019498,LP19435,Broker,42069,USA,Resi,Mortage,Loan,Linear,53019,54844,USD,156333.3333,153206.6667,390.8333333,153597.5,0.04,fixed,,,,fixed,,42070,54844,,,0.03,0.005,0.0075,43672,434.2592593,434.2592593,38.399375,43707,43707,monthly,monthly,1302.777778,4596.2,0.04,0.005,0.01,,20,3
A00019499,LP19436,Branch,42070,USA,Resi,Mortage,Loan,Linear,53020,54845,USD,161904.7619,153809.5238,437.1428571,154246.6667,0.04,fixed,,,,fixed,,42071,54845,,,0.03,0.005,0.0075,43668,449.7354497,449.7354497,38.56166667,43707,43707,monthly,monthly,1349.206349,4614.285714,0.04,0.005,0.01,,90,3
A00019500,LP19437,Web,42071,USA,Resi,Mortage,Loan,Linear,53021,54846,USD,167476.1905,159102.381,968.012381,160070.3933,0.04,fixed,,,,fixed,,42072,54846,,,0.03,0.005,0.0075,43677,465.2116402,465.2116402,40.01759833,43707,43707,monthly,monthly,1395.634921,4773.071429,0.04,0.005,0.01,non-performing,91,3
A00019501,LP19438,Broker,42072,USA,Resi,Mortage,Loan,Linear,53022,55942,USD,173047.619,173082.2286,865.2380952,173947.4667,0.04,fixed,,,,fixed,,42073,55942,,,0.03,0.005,0.0075,43672,480.6878307,480.6878307,43.48686667,43707,43707,monthly,monthly,1442.063492,5192.466857,0.04,0.005,0.01,non-performing,95,3
A00019502,LP19439,Branch,42073,USA,Resi,Mortage,Loan,Linear,53023,53028,USD,178619.0476,169688.0952,482.2714286,170170.3667,0.04,fixed,,,,fixed,,42074,53028,,,0.03,0.005,0.0075,43672,496.1640212,496.1640212,42.54259167,43707,43707,monthly,monthly,1488.492063,5090.642857,0.04,0.005,0.01,non-performing,97,3
