Principal Balance,UPB,Loan ID,Origination Channel,MARP Status,Origination Date,MARP Entry,Last Payment Amount,Origination Country,Asset Class,Loan Purpose,Prod Type,Amort Type,Org Mat Date,Cur Mat Date,Currency,Org Amount,Accrued Interest Balance (On book),Original Interest Rate,Original Rate Type,Rate Description,Original Interest Rate Reference,Current Rate,Current Rate Type,Current Rate Ref,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due,Covenant Waiver,MARP Applicable
196000,100520,ZLP27432,Branch,Not in MARP,7/15/2013,4/6/2014,800,Ireland,Resi,Mortage,Loan,Linear,2/23/2045,2/22/2051,EUR,126142.8571,34,0.04,fixed,,,,fixed,,3/4/2015,2/22/2051,,,0.03,0.005,0.0075,7/26/2019,555.5555556,49.0085,8/30/2019,8/30/2019,monthly,monthly,3333.333333,11760,0.04,0.005,0.01,non-performing,90,3,0,0
142500,100598,ZLP27433,Branch,Not in MARP,7/16/2013,4/7/2014,416.6666667,Ireland,CRE,Mortage,Loan,Linear,2/24/2045,2/23/2050,EUR,122857.1429,750,0.04,mixed,5 years fixed then variable,,,fixed,,3/5/2015,2/23/2050,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,2500,8550,0.04,0.005,0.01,non-performing,91,3,0,0
122400,100598,ZLP27434,Web,Not in MARP,7/17/2013,4/8/2014,377.7777778,Ireland,Resi,Mortage,Loan,Linear,2/25/2045,2/24/2050,EUR,119571.4286,680,0.04,fixed,,,,fixed,,3/6/2015,2/24/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,30.77,8/30/2019,8/30/2019,monthly,monthly,2266.666667,7344,0.04,0.005,0.01,non-performing,95,3,0,0
153206.6667,104971.1143,ZLP27435,Broker,Not in MARP,7/18/2013,4/9/2014,434.2592593,Ireland,Resi,Mortage,Loan,Linear,2/26/2045,2/25/2050,EUR,116285.7143,390.8333333,0.04,fixed,,,,fixed,,3/7/2015,2/25/2050,,,0.03,0.005,0.0075,7/26/2019,434.2592593,38.399375,8/30/2019,8/30/2019,monthly,monthly,1302.777778,4596.2,0.04,0.005,0.01,non-performing,97,3,0,0
153809.5238,104971.1143,ZLP27436,Branch,Not in MARP,7/19/2013,4/10/2014,449.7354497,Ireland,Resi,Mortage,Loan,Linear,2/27/2045,2/26/2050,EUR,119571.4286,437.1428571,0.04,fixed,,,,fixed,,3/8/2015,2/26/2050,,,0.03,0.005,0.0075,7/22/2019,449.7354497,38.56166667,8/30/2019,8/30/2019,monthly,monthly,1349.206349,4614.285714,0.04,0.005,0.01,non-performing,93,3,0,0
159102.381,105238.5714,ZLP27437,Web,Not in MARP,7/20/2013,4/11/2014,465.2116402,Ireland,Resi,Mortage,Loan,Linear,2/28/2045,2/27/2050,EUR,116285.7143,968.012381,0.04,fixed,,,,fixed,,3/9/2015,2/27/2050,,,0.03,0.005,0.0075,7/31/2019,465.2116402,40.01759833,8/30/2019,8/30/2019,monthly,monthly,1395.634921,4773.071429,0.04,0.005,0.01,non-performing,260,9,0,1
173082.2286,105238.5714,ZLP27438,Broker,Not in MARP,7/21/2013,4/12/2014,480.6878307,Ireland,Resi,Mortage,Loan,Linear,3/1/2045,2/27/2053,EUR,200000,865.2380952,0.04,fixed,,,,fixed,,3/10/2015,2/27/2053,,,0.03,0.005,0.0075,7/26/2019,480.6878307,43.48686667,8/30/2019,8/30/2019,monthly,monthly,1442.063492,5192.466857,0.04,0.005,0.01,non-performing,90,3,1,0
169688.0952,105238.5714,ZLP27439,Branch,Not in MARP,7/22/2013,4/13/2014,496.1640212,Ireland,Resi,Mortage,Loan,Linear,3/2/2045,3/7/2045,EUR,200000,482.2714286,0.04,fixed,,,,fixed,,3/11/2015,3/7/2045,,,0.03,0.005,0.0075,7/26/2019,496.1640212,42.54259167,8/30/2019,8/30/2019,monthly,monthly,1488.492063,5090.642857,0.04,0.005,0.01,non-performing,91,3,0,0
165771.4286,105238.5714,ZLP27440,Branch,Not in MARP,7/23/2013,4/14/2014,511.6402116,Ireland,Resi,Mortage,Loan,Linear,3/3/2045,3/8/2045,EUR,150000,1064.620952,0.05,mixed,5 years fixed then variable,,,fixed,,3/12/2015,3/8/2045,,,0.03,0.005,0.0075,7/26/2019,511.6402116,41.70901238,8/30/2019,8/30/2019,monthly,monthly,1534.920635,4973.142857,0.04,0.005,0.01,non-performing,95,3,0,0
185966.6667,105329.2743,ZLP27441,Web,Not in MARP,7/24/2013,4/15/2014,527.1164021,Ireland,Resi,Mortage,Loan,Linear,3/4/2045,3/9/2045,EUR,200000,948.8095238,0.04145402299,fixed,,,,fixed,,3/13/2015,3/9/2045,,,0.03,0.005,0.0075,7/26/2019,527.1164021,46.72886905,8/30/2019,8/30/2019,monthly,monthly,3162.698413,11158,0.04,0.005,0.01,non-performing,97,3,0,0
185566.6667,105329.2743,ZLP27442,Broker,Not in MARP,7/25/2013,4/16/2014,542.5925926,Ireland,Resi,Mortage,Loan,Linear,3/5/2045,3/10/2045,EUR,175000,33.20666667,0.04155858361,fixed,,,,fixed,,3/14/2015,3/10/2045,,,0.03,0.005,0.0075,7/26/2019,542.5925926,46.39996833,8/30/2019,8/30/2019,monthly,monthly,1627.777778,5567,0.04,0.005,0.01,non-performing,93,3,0,0
190000,107634.6129,ZLP27443,Branch,Not in MARP,7/26/2013,4/17/2014,555.5555556,Ireland,Resi,Mortage,Loan,Linear,3/6/2045,3/11/2045,EUR,170000,34,0.04166314423,fixed,,,,fixed,,3/15/2015,3/11/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.5085,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,90,3,0,1
142500,107634.6129,ZLP27444,Web,ARA,7/27/2013,4/18/2014,416.6666667,Ireland,Resi,Mortage,Loan,Linear,3/7/2045,3/12/2045,EUR,165000,25.5,0.04176770486,mixed,5 years fixed then variable,,,fixed,,3/16/2015,3/12/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.631375,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,92,3,1,0
95000,107634.6129,ZLP27445,Broker,Exited MARP,7/28/2013,4/19/2014,277.7777778,Ireland,Resi,Mortage,Loan,Linear,3/8/2045,3/7/2051,EUR,160000,250,0.04187226548,fixed,,,,fixed,,3/17/2015,3/7/2051,,,0.03,0.005,0.0075,7/26/2019,277.7777778,23.8125,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,91,3,0,0
76500,107634.6129,ZLP27446,Branch,Not in MARP,7/29/2013,4/20/2014,236.1111111,Ireland,Resi,Mortage,Loan,Linear,3/9/2045,3/8/2050,EUR,155000,229.5,0.0419768261,fixed,,,,fixed,,3/18/2015,3/8/2050,,,0.03,0.005,0.0075,7/26/2019,236.1111111,19.182375,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,95,3,0,0
196000,107634.6129,ZLP27447,Branch,ARA,7/30/2013,4/21/2014,555.5555556,Ireland,Resi,Mortage,Loan,Linear,3/10/2045,3/9/2050,EUR,150000,1156,0.04208138673,fixed,,,,fixed,,3/19/2015,3/9/2050,,,0.03,0.005,0.0075,7/26/2019,555.5555556,49.289,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,97,3,0,0
142500,107634.6129,ZLP27448,Web,ARA,7/31/2013,4/22/2014,416.6666667,Ireland,Resi,Mortage,Loan,Linear,3/11/2045,3/10/2050,EUR,145000,750,0.04218594735,fixed,,,,fixed,,3/20/2015,3/10/2050,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3,0,0
122400,107913.2143,ZLP27449,Broker,ARA,8/1/2013,4/23/2014,377.7777778,Ireland,CRE,Mortage,Loan,Linear,3/12/2045,3/11/2050,EUR,140000,23.12,0.04229050797,fixed,,,,fixed,,3/21/2015,3/11/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,30.60578,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,non-performing,90,3,0,1
130060,107913.2143,ZLP27450,Branch,Not in MARP,8/2/2013,4/24/2014,368.6507937,Ireland,Resi,Mortage,Loan,Linear,3/13/2045,3/12/2050,EUR,135000,663.5714286,0.04239506859,fixed,,,,fixed,,3/22/2015,3/12/2050,,,0.03,0.005,0.0075,7/23/2019,368.6507937,32.68089286,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3901.8,0.04,0.005,0.01,non-performing,92,3,1,0
122957.1429,110491.1971,ZLP27451,Web,Not in MARP,8/3/2013,4/25/2014,359.5238095,Ireland,Resi,Mortage,Loan,Linear,3/14/2045,3/12/2053,EUR,130000,647.1428571,0.04249962922,fixed,,,,fixed,,3/23/2015,3/12/2053,,,0.03,0.005,0.0075,7/26/2019,359.5238095,30.90107143,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,180,6,0,0
119835.7143,110491.1971,ZLP27452,Broker,Not in MARP,8/4/2013,4/26/2014,350.3968254,Ireland,Resi,Mortage,Loan,Linear,3/15/2045,3/20/2045,EUR,125000,315.3571429,0.04260418984,fixed,,,,fixed,,3/24/2015,3/20/2045,,,0.03,0.005,0.0075,7/26/2019,350.3968254,30.03776786,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,170,6,0,0
122881.7143,110491.1971,ZLP27453,Branch,Not in MARP,8/5/2013,4/27/2014,341.2698413,Ireland,Resi,Mortage,Loan,Linear,3/16/2045,3/21/2045,EUR,200000,331.7142857,0.04270875046,fixed,,,,fixed,,3/25/2015,3/21/2045,,,0.03,0.005,0.0075,7/26/2019,341.2698413,30.80335714,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3686.451429,0.04,0.005,0.01,non-performing,213,6,0,0
113592.8571,110491.1971,ZLP27454,Branch,Not in MARP,8/6/2013,4/28/2014,332.1428571,Ireland,CRE,Mortage,Loan,Linear,3/17/2045,3/22/2045,EUR,200000,691.1228571,0.04281331109,fixed,,,,fixed,,3/26/2015,3/22/2045,,,0.03,0.005,0.0075,7/26/2019,332.1428571,28.570995,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,280,9,0,0
104657.1429,110491.1971,ZLP27455,Web,Not in MARP,8/7/2013,4/29/2014,323.015873,Ireland,Resi,Mortage,Loan,Linear,3/18/2045,3/23/2045,EUR,150000,581.4285714,0.04291787171,fixed,,,,fixed,,3/27/2015,3/23/2045,,,0.03,0.005,0.0075,7/26/2019,323.015873,26.30964286,8/30/2019,8/30/2019,monthly,monthly,969.047619,3139.714286,0.04,0.005,0.01,non-performing,90,3,0,0
196000,110491.1971,ZLP27456,Broker,Not in MARP,8/8/2013,4/30/2014,555.5555556,Ireland,Resi,Mortage,Loan,Linear,3/19/2045,3/24/2045,EUR,200000,540,0.04302243233,fixed,,,,fixed,,3/28/2015,3/24/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,49.135,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,91,3,0,0
142500,110491.1971,ZLP27457,Branch,Not in MARP,8/9/2013,5/1/2014,416.6666667,Ireland,Resi,Mortage,Loan,Linear,3/20/2045,3/25/2045,EUR,175000,867,0.04312699296,fixed,,,,fixed,,3/29/2015,3/25/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.84175,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,95,3,0,0
95000,110491.1971,ZLP27458,Web,Not in MARP,8/10/2013,5/2/2014,277.7777778,Ireland,Resi,Mortage,Loan,Linear,3/21/2045,3/20/2051,EUR,170000,500,0.04323155358,mixed,5 years fixed then variable,,,fixed,,3/30/2015,3/20/2051,,,0.03,0.005,0.0075,7/26/2019,277.7777778,23.875,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,97,3,0,0
80750,110762.1429,ZLP27459,Broker,Not in MARP,8/11/2013,5/3/2014,236.1111111,Ireland,Resi,Mortage,Loan,Linear,3/22/2045,3/21/2050,EUR,165000,14.45,0.0433361142,variable,,LIBOR,3,fixed,LIBOR,3/31/2015,3/21/2050,,,0.03,0.005,0.0075,7/26/2019,236.1111111,20.1911125,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,non-performing,93,3,0,0
190000,110762.1429,ZLP27460,Branch,Not in MARP,8/12/2013,5/4/2014,555.5555556,Ireland,Resi,Mortage,Loan,Linear,3/23/2045,3/22/2050,EUR,160000,34,0.04344067482,fixed,,,,fixed,,4/1/2015,3/22/2050,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.5085,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,213,6,0,0
135000,110762.1429,ZLP27461,Branch,Not in MARP,8/13/2013,5/5/2014,0,Ireland,Resi,Mortage,Loan,Linear,3/24/2045,3/23/2050,EUR,155000,25.5,0.04354523545,fixed,,,,fixed,,4/2/2015,3/23/2050,,,0.03,0.005,0.0075,7/26/2019,416.6666667,33.756375,8/30/2019,8/30/2019,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,350,3,0,0
133280,110762.1429,ZLP27462,Web,Not in MARP,8/14/2013,5/6/2014,377.7777778,Ireland,Resi,Mortage,Loan,Linear,3/25/2045,3/24/2050,EUR,150000,340,0.04364979607,mixed,5 years fixed then variable,,,fixed,,4/3/2015,3/24/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,33.405,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3998.4,0.04,0.005,0.01,non-performing,90,3,0,0
126078.5714,110785.4,ZLP27463,Broker,Not in MARP,8/15/2013,5/7/2014,368.6507937,Ireland,Resi,Mortage,Loan,Linear,3/26/2045,3/25/2050,EUR,145000,358.3285714,0.04375435669,fixed,,,,fixed,,4/4/2015,3/25/2050,,,0.03,0.005,0.0075,7/29/2019,368.6507937,31.609225,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,non-performing,91,3,0,0
116485.7143,110785.4,ZLP27464,Branch,ARA,8/16/2013,5/8/2014,0,Ireland,Resi,Mortage,Loan,Linear,3/27/2045,3/25/2053,EUR,140000,748.0971429,0.04385891732,fixed,,,,fixed,,4/5/2015,3/25/2053,,,0.03,0.005,0.0075,7/26/2019,359.5238095,29.30845286,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3494.571429,0.04,0.005,0.01,non-performing,95,3,0,0
123620,110785.4,ZLP27465,Web,Exited MARP,8/17/2013,5/9/2014,350.3968254,Ireland,Resi,Mortage,Loan,Linear,3/28/2045,4/2/2045,EUR,135000,630.7142857,0.04396347794,fixed,,,,fixed,,4/6/2015,4/2/2045,,,0.03,0.005,0.0075,7/26/2019,350.3968254,31.06267857,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3708.6,0.04,0.005,0.01,non-performing,97,3,0,1
116714.2857,110785.4,ZLP27466,Broker,Not in MARP,8/18/2013,5/10/2014,341.2698413,Ireland,Resi,Mortage,Loan,Linear,3/29/2045,4/3/2045,EUR,130000,20.88571429,0.04406803856,fixed,,,,fixed,,4/7/2015,4/3/2045,,,0.03,0.005,0.0075,7/26/2019,341.2698413,29.18379286,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,93,3,1,0
113592.8571,110903.1429,ZLP27467,Branch,ARA,8/19/2013,5/11/2014,332.1428571,Ireland,Resi,Mortage,Loan,Linear,3/30/2045,4/4/2045,EUR,125000,597.8571429,0.04417259918,fixed,,,,fixed,,4/8/2015,4/4/2045,,,0.03,0.005,0.0075,7/26/2019,332.1428571,28.54767857,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,270,9,0,0
116308.9714,110903.1429,ZLP27468,Branch,ARA,8/20/2013,5/12/2014,323.015873,Ireland,Resi,Mortage,Loan,Linear,3/31/2045,4/5/2045,EUR,200000,581.4285714,0.04427715981,fixed,,,,fixed,,4/9/2015,4/5/2045,,,0.03,0.005,0.0075,7/26/2019,323.015873,29.2226,8/30/2019,8/30/2019,monthly,monthly,969.047619,3489.269143,0.04,0.005,0.01,non-performing,90,3,0,0
142500,111052.8571,ZLP27469,Web,ARA,8/21/2013,5/13/2014,416.6666667,Ireland,Resi,Mortage,Loan,Linear,4/1/2045,4/6/2045,EUR,221666.6667,375,0.04438172043,mixed,5 years fixed then variable,,,fixed,,4/10/2015,4/6/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.71875,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,91,3,0,0
90000,111052.8571,ZLP27470,Broker,Not in MARP,8/22/2013,5/14/2014,277.7777778,Ireland,CRE,Mortage,Loan,Linear,4/2/2045,4/7/2045,EUR,256666.6667,270,0.04448628105,fixed,,,,fixed,,4/11/2015,4/7/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,22.5675,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2700,0.04,0.005,0.01,non-performing,95,3,0,0
83300,111052.8571,ZLP27471,Branch,Not in MARP,8/23/2013,5/15/2014,236.1111111,Ireland,Resi,Mortage,Loan,Linear,4/3/2045,4/2/2051,EUR,291666.6667,491.3,0.04459084168,fixed,,,,fixed,,4/12/2015,4/2/2051,,,0.03,0.005,0.0075,7/26/2019,236.1111111,20.947825,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2499,0.04,0.005,0.01,non-performing,97,3,0,1
190000,111052.8571,ZLP27472,Web,Not in MARP,8/24/2013,5/16/2014,555.5555556,Ireland,Resi,Mortage,Loan,Linear,4/4/2045,4/3/2050,EUR,326666.6667,1000,0.0446954023,fixed,,,,fixed,,4/13/2015,4/3/2050,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,93,3,1,0
142500,111052.8571,ZLP27473,Broker,Not in MARP,8/25/2013,5/17/2014,416.6666667,Ireland,Resi,Mortage,Loan,Linear,4/5/2045,4/4/2050,EUR,361666.6667,405,0.04479996292,mixed,5 years fixed then variable,,,fixed,,4/14/2015,4/4/2050,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.72625,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,200,9,0,0
129200,111052.8571,ZLP27474,Branch,Not in MARP,8/26/2013,5/18/2014,468.9655172,Ireland,Resi,Mortage,Loan,Linear,4/6/2045,4/5/2050,EUR,396666.6667,786.08,0.04490452354,fixed,,,,fixed,,4/15/2015,4/5/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,32.49652,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,90,3,0,0
148516.6667,111143.56,ZLP27475,Branch,Not in MARP,8/27/2013,5/19/2014,0,Ireland,CRE,Mortage,Loan,Linear,4/7/2045,4/6/2050,EUR,431666.6667,781.6666667,0.04,fixed,,,,fixed,,4/16/2015,4/6/2050,,,0.03,0.005,0.0075,7/26/2019,434.2592593,37.32458333,8/30/2019,8/30/2019,monthly,monthly,1302.777778,4455.5,0.04,0.005,0.01,non-performing,400,9,0,0
145714.2857,111143.56,ZLP27476,Web,Not in MARP,8/28/2013,5/20/2014,449.7354497,Ireland,Resi,Mortage,Loan,Linear,4/8/2045,4/7/2050,EUR,132714.2857,27.52380952,0.035,fixed,,,,fixed,,4/17/2015,4/7/2050,,,0.03,0.005,0.0075,7/23/2019,449.7354497,36.43545238,8/30/2019,8/30/2019,monthly,monthly,1349.206349,4371.428571,0.04,0.005,0.01,non-performing,95,3,0,0
164126.6667,111143.56,ZLP27477,Broker,Not in MARP,8/29/2013,5/21/2014,465.2116402,Ireland,Resi,Mortage,Loan,Linear,4/9/2045,4/7/2053,EUR,129428.5714,28.47095238,0.04,fixed,,,,fixed,,4/18/2015,4/7/2053,,,0.03,0.005,0.0075,7/26/2019,465.2116402,41.0387844,8/30/2019,8/30/2019,monthly,monthly,1395.634921,4923.8,0.04,0.005,0.01,non-performing,97,3,0,1
164395.2381,111143.56,ZLP27478,Branch,Not in MARP,8/30/2013,5/22/2014,480.6878307,Ireland,Resi,Mortage,Loan,Linear,4/10/2045,4/15/2045,EUR,126142.8571,29.41809524,0.04,fixed,,,,fixed,,4/19/2015,4/15/2045,,,0.03,0.005,0.0075,7/26/2019,480.6878307,41.10616405,8/30/2019,8/30/2019,monthly,monthly,1442.063492,4931.857143,0.04,0.005,0.01,non-performing,93,3,1,0
160757.1429,111185.7143,ZLP27479,Web,Not in MARP,8/31/2013,5/23/2014,496.1640212,Ireland,Resi,Mortage,Loan,Linear,4/11/2045,4/16/2045,EUR,122857.1429,446.547619,0.04,fixed,,,,fixed,,4/20/2015,4/16/2045,,,0.03,0.005,0.0075,7/26/2019,496.1640212,40.30092262,8/30/2019,8/30/2019,monthly,monthly,1488.492063,4822.714286,0.04,0.005,0.01,non-performing,20,3,0,0
180506.6667,111185.7143,ZLP27480,Broker,Not in MARP,9/1/2013,5/24/2014,511.6402116,Ireland,Resi,Mortage,Loan,Linear,4/12/2045,4/17/2045,EUR,119571.4286,497.3142857,0.0375,fixed,,,,fixed,,4/21/2015,4/17/2045,,,0.03,0.005,0.0075,7/26/2019,511.6402116,45.25099524,8/30/2019,8/30/2019,monthly,monthly,1534.920635,5415.2,0.04,0.005,0.01,non-performing,90,3,0,0
180273.8095,111281.5429,ZLP27481,Branch,Not in MARP,9/2/2013,5/25/2014,527.1164021,Ireland,Resi,Mortage,Loan,Linear,4/13/2045,4/18/2045,EUR,116285.7143,1096.82381,0.04,fixed,,,,fixed,,4/22/2015,4/18/2045,,,0.03,0.005,0.0075,7/26/2019,527.1164021,45.34265833,8/30/2019,8/30/2019,monthly,monthly,1581.349206,5408.214286,0.04,0.005,0.01,non-performing,92,3,0,0
185566.6667,111281.5429,ZLP27482,Branch,Not in MARP,9/3/2013,5/26/2014,542.5925926,Ireland,Resi,Mortage,Loan,Linear,4/14/2045,4/19/2045,EUR,132714.2857,976.6666667,0.04,fixed,,,,fixed,,4/23/2015,4/19/2045,,,0.03,0.005,0.0075,7/26/2019,542.5925926,46.63583333,8/30/2019,8/30/2019,monthly,monthly,1627.777778,5567,0.04,0.005,0.01,non-performing,180,6,0,0
200040,111281.5429,ZLP27483,Web,Not in MARP,9/4/2013,5/27/2014,555.5555556,Ireland,Resi,Mortage,Loan,Linear,4/15/2045,4/20/2045,EUR,129428.5714,34,0.04,fixed,,,,fixed,,4/24/2015,4/20/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,50.0185,8/30/2019,8/30/2019,monthly,monthly,1666.666667,6001.2,0.04,0.005,0.01,non-performing,170,6,0,0
142500,111281.5429,ZLP27484,Broker,ARA,9/5/2013,5/28/2014,416.6666667,Ireland,Resi,Mortage,Loan,Linear,4/16/2045,4/15/2051,EUR,126142.8571,750,0.04,fixed,,,,fixed,,4/25/2015,4/15/2051,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,213,6,0,0
90000,113550.0157,ZLP27485,Branch,Exited MARP,9/6/2013,5/29/2014,277.7777778,Ireland,Resi,Mortage,Loan,Linear,4/17/2045,4/16/2050,EUR,122857.1429,500,0.04,fixed,,,,fixed,,4/26/2015,4/16/2050,,,0.03,0.005,0.0075,7/26/2019,277.7777778,22.625,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2700,0.04,0.005,0.01,non-performing,200,3,0,0
83300,113550.0157,ZLP27486,Web,Not in MARP,9/7/2013,5/30/2014,236.1111111,Ireland,Resi,Mortage,Loan,Linear,4/18/2045,4/17/2050,EUR,119571.4286,212.5,0.04,fixed,,,,fixed,,4/27/2015,4/17/2050,,,0.03,0.005,0.0075,7/26/2019,236.1111111,20.878125,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2499,0.04,0.005,0.01,non-performing,90,3,0,0
190000,113550.0157,ZLP27487,Broker,ARA,9/8/2013,5/31/2014,555.5555556,Ireland,Resi,Mortage,Loan,Linear,4/19/2045,4/18/2050,EUR,116285.7143,540,0.0375,mixed,5 years fixed then variable,,,fixed,,4/28/2015,4/18/2050,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.635,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,91,3,0,0
142500,113550.0157,ZLP27488,Branch,ARA,9/9/2013,6/1/2014,416.6666667,Ireland,Resi,Mortage,Loan,Linear,4/20/2045,4/19/2050,EUR,132714.2857,867,0.04,variable,,LIBOR,3,fixed,LIBOR,4/29/2015,4/19/2050,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.84175,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,90,3,0,0
129200,113550.0157,ZLP27489,Branch,ARA,9/10/2013,6/2/2014,377.7777778,Ireland,Resi,Mortage,Loan,Linear,4/21/2045,4/20/2050,EUR,129428.5714,680,0.04,fixed,,,,fixed,,4/30/2015,4/20/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,32.47,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,91,3,0,0
126078.5714,113550.0157,ZLP27490,Web,Not in MARP,9/11/2013,6/3/2014,368.6507937,Ireland,Resi,Mortage,Loan,Linear,4/22/2045,4/20/2053,EUR,126142.8571,358.3285714,0.04,fixed,,,,fixed,,5/1/2015,4/20/2053,,,0.03,0.005,0.0075,7/26/2019,368.6507937,31.609225,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,non-performing,95,3,0,0
116485.7143,113550.0157,ZLP27491,Broker,Not in MARP,9/12/2013,6/4/2014,359.5238095,Ireland,CRE,Mortage,Loan,Linear,4/23/2045,4/28/2045,EUR,122857.1429,748.0971429,0.035,mixed,5 years fixed then variable,,,fixed,,5/2/2015,4/28/2045,,,0.03,0.005,0.0075,7/26/2019,359.5238095,29.30845286,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3494.571429,0.04,0.005,0.01,non-performing,97,3,0,0
123620,113550.0157,ZLP27492,Branch,Not in MARP,9/13/2013,6/5/2014,350.3968254,Ireland,Resi,Mortage,Loan,Linear,4/24/2045,4/29/2045,EUR,119571.4286,630.7142857,0.04,fixed,,,,fixed,,5/3/2015,4/29/2045,,,0.03,0.005,0.0075,7/26/2019,350.3968254,31.06267857,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3708.6,0.04,0.005,0.01,non-performing,93,3,0,0
