Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
3300,2019-01-01,Other,,0%,381xx,TN,< 1 year,0
15000,2019-01-01,Debt consolidation,,163.95%,440xx,OH,< 1 year,0
12500,2019-01-01,Debt consolidation,,19.8%,801xx,CO,< 1 year,0
10000,2019-01-01,Credit card refinancing,,26.92%,793xx,TX,< 1 year,0
15000,2019-01-01,Credit card refinancing,,25.63%,336xx,FL,< 1 year,0
7000,2019-01-01,Credit card refinancing,,7.53%,351xx,AL,< 1 year,0
15000,2019-01-01,Business Loan,,-1%,070xx,NJ,< 1 year,0
20000,2019-01-01,Debt consolidation,,13.42%,925xx,CA,< 1 year,0
5000,2019-01-01,Credit card refinancing,,6.27%,644xx,MO,n/a,0
8500,2019-01-01,Other,,1.83%,710xx,LA,< 1 year,0
8000,2019-01-01,Debt consolidation,,19.7%,857xx,AZ,< 1 year,0
1000,2019-01-01,Other,,19.24%,446xx,OH,< 1 year,0
20000,2019-01-01,Debt consolidation,,32.99%,370xx,TN,< 1 year,0
10000,2019-01-01,Debt consolidation,,12.86%,551xx,MN,< 1 year,0
3000,2019-01-01,Debt consolidation,,1.64%,230xx,VA,< 1 year,0
1000,2019-01-01,Other,,25.17%,714xx,LA,< 1 year,0
5000,2019-01-01,Home buying,,63.49%,167xx,PA,< 1 year,0
5000,2019-01-01,Home buying,,54.1%,774xx,TX,< 1 year,0
10000,2019-01-01,Credit card refinancing,,28.77%,786xx,TX,< 1 year,0
8000,2019-01-01,Credit card refinancing,,36.16%,170xx,PA,< 1 year,0
25500,2019-01-01,Debt consolidation,,18.33%,631xx,MO,< 1 year,0
12000,2019-01-01,Major purchase,,1.25%,344xx,FL,< 1 year,0
10000,2019-01-01,Debt consolidation,,44.2%,756xx,TX,< 1 year,0
25000,2019-01-01,Credit card refinancing,,29.72%,836xx,ID,< 1 year,0
10000,2019-01-01,Other,638,100%,468xx,IN,< 1 year,0
40000,2019-01-01,Other,,24.8%,629xx,IL,< 1 year,0
15000,2019-01-01,Debt consolidation,,100%,806xx,CO,< 1 year,0
10000,2019-01-01,Other,,6.1%,211xx,MD,< 1 year,0
8000,2019-01-01,Debt consolidation,,40.08%,498xx,MI,< 1 year,0
25000,2019-01-01,Debt consolidation,,31.91%,936xx,CA,< 1 year,0
8000,2019-01-01,Debt consolidation,,25.15%,325xx,FL,n/a,0
1000,2019-01-01,Other,554,100%,631xx,MO,5 years,0
1000,2019-01-01,Other,666,1.87%,975xx,OR,< 1 year,0
5000,2019-01-01,Other,,28.8%,531xx,WI,< 1 year,0
6000,2019-01-01,Other,,28.35%,495xx,MI,< 1 year,0
10000,2019-01-01,Credit card refinancing,,9.23%,670xx,KS,< 1 year,0
13000,2019-01-01,Credit card refinancing,,41.74%,315xx,GA,< 1 year,0
40000,2019-01-01,Debt consolidation,,39.12%,017xx,MA,< 1 year,0
8000,2019-01-01,Credit card refinancing,,15.01%,104xx,NY,< 1 year,0
10000,2019-01-01,Debt consolidation,,4.17%,588xx,ND,< 1 year,0
15000,2019-01-01,Debt consolidation,,9.87%,114xx,NY,< 1 year,0
3000,2019-01-01,Major purchase,,6.52%,774xx,TX,< 1 year,0
10000,2019-01-01,Debt consolidation,,53.19%,810xx,CO,< 1 year,0
15000,2019-01-01,Debt consolidation,,14.79%,314xx,GA,< 1 year,0
20000,2019-01-01,Debt consolidation,,19.04%,489xx,MI,< 1 year,0
5000,2019-01-01,Moving and relocation,,41.1%,031xx,NH,< 1 year,0
10000,2019-01-01,Debt consolidation,,100%,301xx,GA,< 1 year,0
1000,2019-01-01,Other,,14.63%,847xx,UT,1 year,0
5500,2019-01-01,Debt consolidation,,11.63%,544xx,WI,< 1 year,0
19000,2019-01-01,Credit card refinancing,,29.27%,558xx,MN,< 1 year,0
2000,2019-01-01,Debt consolidation,,14.74%,354xx,AL,< 1 year,0
22000,2019-01-01,Credit card refinancing,,27.16%,302xx,GA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,30.65%,601xx,IL,< 1 year,0
15000,2019-01-01,Debt consolidation,,42.06%,740xx,OK,< 1 year,0
30000,2019-01-01,Debt consolidation,,24.59%,630xx,MO,< 1 year,0
1000,2019-01-01,Credit card refinancing,,12.14%,300xx,GA,n/a,0
10000,2019-01-01,Debt consolidation,,0%,333xx,FL,< 1 year,0
33000,2019-01-01,Debt consolidation,,44.69%,474xx,IN,< 1 year,0
10000,2019-01-01,Debt consolidation,,57.66%,365xx,AL,< 1 year,0
35000,2019-01-01,Debt consolidation,,36.48%,199xx,DE,< 1 year,0
40000,2019-01-01,Debt consolidation,,23.98%,983xx,WA,< 1 year,0
5000,2019-01-01,Credit card refinancing,,1.28%,721xx,AR,10+ years,0
1000,2019-01-01,Medical expenses,635,1.53%,984xx,WA,< 1 year,0
10000,2019-01-01,Other,,10.74%,810xx,CO,n/a,0
1200,2019-01-01,Home improvement,,32.23%,978xx,OR,< 1 year,0
15000,2019-01-01,Debt consolidation,,40.68%,806xx,CO,< 1 year,0
5000,2019-01-01,Debt consolidation,,27.28%,925xx,CA,< 1 year,0
1000,2019-01-01,Other,,1.86%,212xx,MD,< 1 year,0
25000,2019-01-01,Credit card refinancing,,19.81%,112xx,NY,< 1 year,0
15000,2019-01-01,Debt consolidation,,6.85%,890xx,NV,n/a,0
9000,2019-01-01,Home improvement,,35.28%,454xx,OH,< 1 year,0
5000,2019-01-01,Debt consolidation,,31.55%,481xx,MI,< 1 year,0
1500,2019-01-01,Other,,10.77%,278xx,NC,< 1 year,0
5000,2019-01-01,Other,,3.42%,900xx,CA,< 1 year,0
2000,2019-01-01,Other,,1.9%,225xx,VA,< 1 year,0
20000,2019-01-01,Debt consolidation,,21.56%,300xx,GA,< 1 year,0
2500,2019-01-01,Moving and relocation,,21.18%,925xx,CA,< 1 year,0
12000,2019-01-01,Credit card refinancing,,91.65%,917xx,CA,< 1 year,0
10000,2019-01-01,Debt consolidation,,32.7%,210xx,MD,< 1 year,0
8000,2019-01-01,Home buying,,32.09%,035xx,NH,< 1 year,0
40000,2019-01-01,Home buying,,12.1%,481xx,MI,< 1 year,0
7500,2019-01-01,Debt consolidation,,28.84%,630xx,MO,< 1 year,0
40000,2019-01-01,Debt consolidation,,46.12%,809xx,CO,< 1 year,0
10000,2019-01-01,Credit card refinancing,,33.46%,080xx,NJ,< 1 year,0
15000,2019-01-01,Debt consolidation,,19.03%,840xx,UT,< 1 year,0
10000,2019-01-01,Home buying,,3.27%,623xx,FL,< 1 year,0
15500,2019-01-01,Debt consolidation,,39.11%,190xx,PA,n/a,0
1000,2019-01-01,Other,,2.74%,662xx,KS,< 1 year,0
20000,2019-01-01,Other,,1.2%,675xx,KS,< 1 year,0
7000,2019-01-01,Debt consolidation,,100%,939xx,CA,< 1 year,0
3200,2019-01-01,Debt consolidation,,15.52%,125xx,NY,< 1 year,0
10000,2019-01-01,Other,,0%,775xx,TX,< 1 year,0
2000,2019-01-01,Debt consolidation,,100%,400xx,KY,< 1 year,0
10000,2019-01-01,Other,652,0.83%,840xx,UT,< 1 year,0
15000,2019-01-01,Debt consolidation,,22.51%,071xx,NJ,< 1 year,0
20000,2019-01-01,Credit card refinancing,,100%,840xx,UT,< 1 year,0
1000,2019-01-01,Other,675,27.06%,917xx,CA,< 1 year,0
10000,2019-01-01,Debt consolidation,,28.38%,900xx,CA,< 1 year,0
2000,2019-01-01,Medical expenses,,100%,287xx,NC,< 1 year,0
1000,2019-01-01,Other,,147.55%,424xx,KY,< 1 year,0
1000,2019-01-01,Other,,26.61%,805xx,CO,< 1 year,0
7000,2019-01-01,Major purchase,,14%,454xx,OH,< 1 year,0
1000,2019-01-01,Other,,46.71%,137xx,NY,< 1 year,0
5000,2019-01-01,Other,,16.89%,554xx,MN,< 1 year,0
15000,2019-01-01,Credit card refinancing,,33.57%,616xx,IL,< 1 year,0
5000,2019-01-01,Credit card refinancing,,11.75%,925xx,CA,< 1 year,0
1500,2019-01-01,Debt consolidation,,11.54%,460xx,IN,< 1 year,0
12000,2019-01-01,Debt consolidation,677,18.56%,117xx,NY,< 1 year,0
20000,2019-01-01,Car financing,,20.13%,021xx,MA,< 1 year,0
3500,2019-01-01,Debt consolidation,,42.78%,380xx,TN,< 1 year,0
15500,2019-01-01,Credit card refinancing,,30.57%,234xx,VA,< 1 year,0
10000,2019-01-01,Major purchase,,0.61%,073xx,NJ,< 1 year,0
2500,2019-01-01,Other,,4.31%,392xx,MS,< 1 year,0
15000,2019-01-01,Major purchase,,100%,806xx,CO,< 1 year,0
12500,2019-01-01,Debt consolidation,,39.87%,630xx,MO,< 1 year,0
10000,2019-01-01,Debt consolidation,,253.6%,072xx,NJ,< 1 year,0
24000,2019-01-01,Debt consolidation,,10.83%,531xx,WI,< 1 year,0
15000,2019-01-01,Other,,100%,088xx,NJ,< 1 year,0
25500,2019-01-01,Debt consolidation,,30.33%,633xx,MO,< 1 year,0
3000,2019-01-01,Moving and relocation,,26.2%,373xx,TN,< 1 year,0
19000,2019-01-01,Home improvement,,20.47%,236xx,VA,10+ years,0
1000,2019-01-01,Other,,25.87%,770xx,TX,< 1 year,0
20000,2019-01-01,Debt consolidation,,17.01%,371xx,TN,< 1 year,0
1000,2019-01-01,Other,580,0.16%,752xx,TX,5 years,0
2000,2019-01-01,Other,,1.01%,474xx,IN,< 1 year,0
22000,2019-01-01,Credit card refinancing,,17.86%,300xx,GA,< 1 year,0
10000,2019-01-01,Debt consolidation,,7.47%,946xx,CA,< 1 year,0
10000,2019-01-01,Debt consolidation,,49.32%,784xx,TX,< 1 year,0
10000,2019-01-01,Home buying,,31.8%,580xx,ND,< 1 year,0
25000,2019-01-01,Major purchase,,1.32%,453xx,OH,< 1 year,0
30000,2019-01-01,Debt consolidation,,26.59%,941xx,CA,< 1 year,0
2000,2019-01-01,Home buying,,0%,620xx,IL,< 1 year,0
10250,2019-01-01,Credit card refinancing,,34.53%,532xx,WI,n/a,0
19500,2019-01-01,Other,,1.9%,946xx,CA,< 1 year,0
10000,2019-01-01,Other,,19.84%,890xx,NV,< 1 year,0
10000,2019-01-01,Credit card refinancing,,49.38%,335xx,FL,< 1 year,0
75000,2019-01-01,Business Loan,,-1%,370xx,TN,< 1 year,0
1000,2019-01-01,Other,,5.61%,300xx,GA,< 1 year,0
2500,2019-01-01,Debt consolidation,,3.16%,852xx,AZ,< 1 year,0
5000,2019-01-01,Debt consolidation,,16.91%,356xx,AL,< 1 year,0
30000,2019-01-01,Debt consolidation,,20.78%,328xx,FL,< 1 year,0
10000,2019-01-01,Debt consolidation,,19.57%,797xx,TX,< 1 year,0
30000,2019-01-01,Debt consolidation,,32.54%,285xx,NC,< 1 year,0
2400,2019-01-01,Home buying,,15.78%,932xx,CA,< 1 year,0
10000,2019-01-01,Debt consolidation,,2.88%,261xx,WV,< 1 year,0
40000,2019-01-01,Debt consolidation,,22.88%,024xx,MA,< 1 year,0
5500,2019-01-01,Other,,19.79%,945xx,CA,< 1 year,0
5000,2019-01-01,Other,,13.64%,863xx,AZ,< 1 year,0
12000,2019-01-01,Other,,27.53%,298xx,SC,< 1 year,0
1000,2019-01-01,Debt consolidation,,0.5%,773xx,TX,5 years,0
2000,2019-01-01,Other,,1006.4%,796xx,TX,< 1 year,0
3000,2019-01-01,Car financing,,100%,273xx,NC,< 1 year,0
25000,2019-01-01,Credit card refinancing,,13.12%,112xx,NY,< 1 year,0
40000,2019-01-01,Debt consolidation,,4.17%,900xx,CA,9 years,0
30000,2019-01-01,Debt consolidation,,20.55%,946xx,CA,< 1 year,0
1000,2019-01-01,Debt consolidation,,42.59%,762xx,TX,< 1 year,0
13500,2019-01-01,Debt consolidation,,21.49%,750xx,TX,< 1 year,0
20000,2019-01-01,Debt consolidation,,15.48%,945xx,CA,< 1 year,0
10000,2019-01-01,Debt consolidation,,24.77%,191xx,PA,< 1 year,0
6500,2019-01-01,Credit card refinancing,,100%,102xx,NY,< 1 year,0
5000,2019-01-01,Home improvement,,6.85%,750xx,TX,< 1 year,0
20000,2019-01-01,Credit card refinancing,,32.3%,648xx,MO,< 1 year,0
3000,2019-01-01,Car financing,,7.88%,212xx,MD,< 1 year,0
15500,2019-01-01,Debt consolidation,,52.45%,306xx,GA,< 1 year,0
30000,2019-01-01,Other,,10.06%,890xx,NV,< 1 year,0
20000,2019-01-01,Credit card refinancing,,96.39%,714xx,LA,< 1 year,0
2000,2019-01-01,Moving and relocation,,0.67%,951xx,CA,< 1 year,0
30000,2019-01-01,Other,,24.99%,322xx,FL,4 years,0
30000,2019-01-01,Debt consolidation,,100%,983xx,WA,< 1 year,0
8000,2019-01-01,Other,,0%,890xx,NV,< 1 year,0
1000,2019-01-01,Medical expenses,,1.97%,833xx,ID,n/a,0
2000,2019-01-01,Other,,34.78%,236xx,VA,< 1 year,0
20000,2019-01-01,Car financing,,0.78%,030xx,NH,< 1 year,0
12000,2019-01-01,Credit card refinancing,,39.9%,342xx,FL,< 1 year,0
5000,2019-01-01,Car financing,634,100%,984xx,WA,< 1 year,0
15000,2019-01-01,Debt consolidation,799,22.63%,604xx,IL,< 1 year,0
1000,2019-01-01,Debt consolidation,,12.48%,060xx,CT,< 1 year,0
1000,2019-01-01,Other,,100%,240xx,VA,< 1 year,0
10000,2019-01-01,Debt consolidation,,0.55%,983xx,WA,< 1 year,0
5000,2019-01-01,Debt consolidation,,32.35%,770xx,TX,< 1 year,0
16500,2019-01-01,Debt consolidation,,7.33%,797xx,TX,< 1 year,0
15000,2019-01-01,Debt consolidation,,20.92%,927xx,CA,< 1 year,0
16000,2019-01-01,Credit card refinancing,,28.4%,212xx,MD,< 1 year,0
10000,2019-01-01,Credit card refinancing,,6.61%,317xx,GA,< 1 year,0
3000,2019-01-01,Debt consolidation,,15.42%,283xx,NC,< 1 year,0
20000,2019-01-01,Credit card refinancing,,23.81%,543xx,WI,< 1 year,0
10000,2019-01-01,Debt consolidation,,12.11%,750xx,TX,< 1 year,0
40000,2019-01-01,Debt consolidation,,36.13%,462xx,IN,< 1 year,0
10000,2019-01-01,Home improvement,,1.26%,331xx,FL,< 1 year,0
20000,2019-01-01,Debt consolidation,,0.05%,922xx,CA,< 1 year,0
3000,2019-01-01,Credit card refinancing,571,0.86%,200xx,DC,< 1 year,0
20000,2019-01-01,Debt consolidation,,34.43%,446xx,OH,< 1 year,0
1000,2019-01-01,Other,,21.6%,232xx,VA,< 1 year,0
28000,2019-01-01,Major purchase,,4.47%,480xx,MI,< 1 year,0
30000,2019-01-01,Debt consolidation,,31.9%,337xx,FL,< 1 year,0
10000,2019-01-01,Other,,11.12%,113xx,NY,< 1 year,0
20000,2019-01-01,Debt consolidation,,28.56%,088xx,NJ,< 1 year,0
3000,2019-01-01,Debt consolidation,,0%,254xx,WV,< 1 year,0
40000,2019-01-01,Business,,10.88%,333xx,FL,< 1 year,0
4000,2019-01-01,Other,,4.37%,150xx,PA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,83.09%,985xx,WA,< 1 year,0
8000,2019-01-01,Car financing,,0%,874xx,NM,n/a,0
35000,2019-01-01,Credit card refinancing,,56.3%,844xx,UT,< 1 year,0
25000,2019-01-01,Debt consolidation,,26.2%,190xx,PA,< 1 year,0
10000,2019-01-01,Home buying,,15.34%,329xx,FL,< 1 year,0
3000,2019-01-01,Debt consolidation,,27.31%,300xx,GA,< 1 year,0
20000,2019-01-01,Major purchase,,8.48%,328xx,FL,< 1 year,0
1500,2019-01-01,Debt consolidation,,3.81%,708xx,LA,< 1 year,0
8000,2019-01-01,Other,,0%,480xx,MI,< 1 year,0
1000,2019-01-01,Debt consolidation,,1.8%,217xx,MD,< 1 year,0
3500,2019-01-01,Major purchase,,18.25%,301xx,GA,< 1 year,0
5000,2019-01-01,Debt consolidation,,19.56%,770xx,TX,4 years,0
5500,2019-01-01,Home buying,,14.72%,606xx,IL,< 1 year,0
15000,2019-01-01,Credit card refinancing,,28.88%,324xx,FL,< 1 year,0
30000,2019-01-01,Debt consolidation,,24.06%,054xx,VT,< 1 year,0
2500,2019-01-01,Other,,13.25%,132xx,NY,< 1 year,0
10000,2019-01-01,Major purchase,652,12.06%,351xx,AL,< 1 year,0
10000,2019-01-01,Debt consolidation,,36.1%,770xx,TX,< 1 year,0
20000,2019-01-01,Debt consolidation,,39.29%,770xx,TX,< 1 year,0
20000,2019-01-01,Other,,31.35%,344xx,FL,< 1 year,0
20000,2019-01-01,Debt consolidation,,38.84%,761xx,TX,< 1 year,0
5000,2019-01-01,Debt consolidation,,19.37%,123xx,NY,< 1 year,0
40000,2019-01-01,Major purchase,,16.99%,071xx,NJ,< 1 year,0
40000,2019-01-01,Debt consolidation,,27.98%,331xx,FL,< 1 year,0
15000,2019-01-01,Credit card refinancing,,39.94%,890xx,NV,< 1 year,0
5000,2019-01-01,Other,,4.28%,857xx,AZ,< 1 year,0
10000,2019-01-01,Debt consolidation,,19.3%,907xx,CA,< 1 year,0
8000,2019-01-01,Debt consolidation,,45.03%,750xx,TX,< 1 year,0
10000,2019-01-01,Credit card refinancing,,26.1%,774xx,TX,< 1 year,0
10000,2019-01-01,Debt consolidation,,31.45%,193xx,PA,1 year,0
8000,2019-01-01,Debt consolidation,,53.57%,630xx,MO,< 1 year,0
5000,2019-01-01,Car financing,,2.5%,212xx,MD,< 1 year,0
9000,2019-01-01,Debt consolidation,,29%,787xx,TX,< 1 year,0
1500,2019-01-01,Other,,7.59%,740xx,OK,< 1 year,0
5000,2019-01-01,Debt consolidation,,3.56%,326xx,FL,< 1 year,0
5000,2019-01-01,Credit card refinancing,,46.3%,243xx,VA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,16.08%,967xx,HI,< 1 year,0
20000,2019-01-01,Credit card refinancing,,36.24%,778xx,TX,< 1 year,0
25000,2019-01-01,Debt consolidation,,28.22%,927xx,CA,< 1 year,0
15550,2019-01-01,Car financing,,100%,287xx,NC,< 1 year,0
20000,2019-01-01,Credit card refinancing,,25.68%,688xx,NE,< 1 year,0
4500,2019-01-01,Debt consolidation,,30.56%,447xx,OH,n/a,0
40000,2019-01-01,Major purchase,,14.29%,770xx,TX,9 years,0
40000,2019-01-01,Debt consolidation,,32.13%,323xx,FL,< 1 year,0
6500,2019-01-01,Debt consolidation,,19.07%,321xx,FL,< 1 year,0
7225,2019-01-01,Credit card refinancing,,20.46%,765xx,TX,< 1 year,0
8000,2019-01-01,Debt consolidation,,3.86%,482xx,MI,< 1 year,0
25000,2019-01-01,Debt consolidation,,13.43%,760xx,TX,5 years,0
2250,2019-01-01,Major purchase,,100%,302xx,GA,< 1 year,0
5000,2019-01-01,Home buying,,6.85%,750xx,TX,< 1 year,0
18100,2019-01-01,Car financing,,100%,371xx,TN,7 years,0
24500,2019-01-01,Major purchase,,21.86%,275xx,NC,< 1 year,0
10000,2019-01-01,Debt consolidation,,20.37%,452xx,OH,< 1 year,0
6500,2019-01-01,Debt consolidation,,25.11%,983xx,WA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,4.58%,900xx,CA,< 1 year,0
20000,2019-01-01,Debt consolidation,,45.19%,344xx,FL,< 1 year,0
20000,2019-01-01,Debt consolidation,,32.68%,750xx,TX,< 1 year,0
35000,2019-01-01,Debt consolidation,,69.69%,288xx,NC,< 1 year,0
10000,2019-01-01,Other,,21.2%,118xx,NY,< 1 year,0
3000,2019-01-01,Other,,30.29%,198xx,DE,< 1 year,0
1300,2019-01-01,Home buying,,28.86%,330xx,FL,< 1 year,0
40000,2019-01-01,Debt consolidation,,51.45%,295xx,SC,< 1 year,0
20500,2019-01-01,Major purchase,,160.76%,706xx,LA,< 1 year,0
40000,2019-01-01,Major purchase,,2.37%,296xx,SC,< 1 year,0
4000,2019-01-01,Major purchase,,1.34%,945xx,CA,< 1 year,0
30000,2019-01-01,Credit card refinancing,,13.97%,982xx,WA,< 1 year,0
20000,2019-01-01,Debt consolidation,,1.62%,305xx,GA,< 1 year,0
1000,2019-01-01,Car financing,626,16.25%,850xx,AZ,< 1 year,0
40000,2019-01-01,Debt consolidation,,22.68%,381xx,TN,< 1 year,0
3000,2019-01-01,Credit card refinancing,,21%,926xx,CA,< 1 year,0
8000,2019-01-01,Debt consolidation,,31.82%,300xx,GA,< 1 year,0
15000,2019-01-01,Debt consolidation,,148.9%,296xx,SC,< 1 year,0
15000,2019-01-01,Credit card refinancing,,48.57%,313xx,GA,< 1 year,0
10000,2019-01-01,Debt consolidation,,8.43%,299xx,SC,< 1 year,0
5000,2019-01-01,Debt consolidation,,33.69%,331xx,FL,< 1 year,0
5000,2019-01-01,Debt consolidation,,49.18%,378xx,TN,< 1 year,0
25000,2019-01-01,Debt consolidation,,10.25%,655xx,MO,< 1 year,0
8700,2019-01-01,Other,,24.6%,783xx,TX,< 1 year,0
40000,2019-01-01,Debt consolidation,,19.33%,453xx,OH,< 1 year,0
31000,2019-01-01,Debt consolidation,,19.2%,891xx,NV,< 1 year,0
25000,2019-01-01,Debt consolidation,,27.27%,970xx,OR,< 1 year,0
5000,2019-01-01,Debt consolidation,,36240%,983xx,WA,< 1 year,0
10000,2019-01-01,Debt consolidation,,64.4%,982xx,WA,< 1 year,0
1000,2019-01-01,Other,,47.33%,282xx,NC,4 years,0
6500,2019-01-01,Credit card refinancing,,22.86%,730xx,OK,< 1 year,0
15000,2019-01-01,Debt consolidation,,10.96%,238xx,VA,< 1 year,0
2525,2019-01-01,Debt consolidation,,27.2%,067xx,CT,< 1 year,0
14050,2019-01-01,Debt consolidation,,30.44%,983xx,WA,< 1 year,0
10000,2019-01-01,Debt consolidation,,39.98%,064xx,CT,< 1 year,0
10000,2019-01-01,Debt consolidation,,22.89%,905xx,CA,< 1 year,0
15000,2019-01-01,Debt consolidation,,39.56%,180xx,PA,< 1 year,0
5000,2019-01-01,Other,,11.27%,245xx,VA,< 1 year,0
21000,2019-01-01,Car financing,,13.27%,394xx,MS,< 1 year,0
18000,2019-01-01,Debt consolidation,,7.68%,381xx,TN,< 1 year,0
2700,2019-01-01,Other,,24.91%,296xx,SC,< 1 year,0
13000,2019-01-01,Credit card refinancing,,27.84%,939xx,CA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,768%,787xx,TX,< 1 year,0
3500,2019-01-01,Credit card refinancing,,61.51%,283xx,NC,< 1 year,0
2050,2019-01-01,Car financing,,100%,462xx,IN,< 1 year,0
24675,2019-01-01,Credit card refinancing,,55.2%,773xx,TX,< 1 year,0
5000,2019-01-01,Credit card refinancing,,19.68%,462xx,IN,< 1 year,0
10000,2019-01-01,Credit card refinancing,,34.44%,985xx,WA,< 1 year,0
10000,2019-01-01,Debt consolidation,,25.99%,791xx,TX,< 1 year,0
5000,2019-01-01,Debt consolidation,,9.2%,805xx,CO,< 1 year,0
1500,2019-01-01,Other,596,0%,145xx,NY,n/a,0
1000,2019-01-01,Other,,21.95%,335xx,FL,5 years,0
8000,2019-01-01,Credit card refinancing,,17.04%,334xx,FL,< 1 year,0
10000,2019-01-01,Credit card refinancing,,16.08%,142xx,NY,< 1 year,0
5500,2019-01-01,Debt consolidation,,26.38%,910xx,CA,< 1 year,0
10000,2019-01-01,Debt consolidation,,34.35%,891xx,NV,< 1 year,0
10000,2019-01-01,Debt consolidation,,2.73%,359xx,AL,< 1 year,0
40000,2019-01-01,Car financing,,3.58%,551xx,MN,< 1 year,0
15000,2019-01-01,Other,,31.26%,226xx,VA,< 1 year,0
8000,2019-01-01,Debt consolidation,,39.39%,799xx,TX,2 years,2
5000,2019-01-01,Other,,14.29%,235xx,VA,< 1 year,0
10000,2019-01-01,Debt consolidation,,41.68%,410xx,KY,< 1 year,0
15000,2019-01-01,Other,,1.01%,324xx,FL,< 1 year,0
3000,2019-01-01,Vacation,,8.11%,112xx,NY,< 1 year,0
10000,2019-01-01,Debt consolidation,,35.27%,920xx,CA,< 1 year,0
19300,2019-01-01,Credit card refinancing,,30.21%,207xx,MD,< 1 year,0
20000,2019-01-01,Debt consolidation,,11.46%,183xx,PA,< 1 year,0
60000,2019-01-01,Business Loan,,-1%,370xx,TN,< 1 year,0
2000,2019-01-01,Debt consolidation,,3.2%,894xx,NV,< 1 year,0
16000,2019-01-01,Debt consolidation,,20.31%,907xx,CA,< 1 year,0
35000,2019-01-01,Debt consolidation,,12.7%,882xx,NM,< 1 year,0
10000,2019-01-01,Debt consolidation,,10.28%,380xx,TN,< 1 year,0
20000,2019-01-01,Car financing,,10.85%,256xx,WV,< 1 year,0
30000,2019-01-01,Debt consolidation,,1.32%,917xx,CA,< 1 year,0
2000,2019-01-01,Medical expenses,,20.03%,245xx,VA,< 1 year,0
15000,2019-01-01,Debt consolidation,,20.73%,316xx,GA,< 1 year,0
10000,2019-01-01,Moving and relocation,,100%,070xx,NJ,< 1 year,0
15000,2019-01-01,Credit card refinancing,,118.95%,350xx,AL,< 1 year,0
6000,2019-01-01,Debt consolidation,,16.7%,208xx,MD,< 1 year,0
3000,2019-01-01,Medical expenses,,100%,243xx,VA,< 1 year,0
13000,2019-01-01,Other,,18.22%,200xx,DC,< 1 year,0
2000,2019-01-01,Other,,11.72%,760xx,TX,< 1 year,0
6500,2019-01-01,Credit card refinancing,,119.64%,484xx,MI,< 1 year,0
5000,2019-01-01,Major purchase,,5%,190xx,PA,< 1 year,0
8500,2019-01-01,Credit card refinancing,,78.12%,195xx,PA,< 1 year,0
10000,2019-01-01,Other,,9.16%,980xx,WA,9 years,0
40000,2019-01-01,Major purchase,,2.51%,531xx,WI,< 1 year,0
25000,2019-01-01,Debt consolidation,,6.39%,967xx,HI,< 1 year,0
40000,2019-01-01,Debt consolidation,,25.19%,112xx,NY,< 1 year,0
20000,2019-01-01,Credit card refinancing,,31.87%,837xx,ID,< 1 year,0
35000,2019-01-01,Credit card refinancing,,22.51%,391xx,MS,< 1 year,0
30000,2019-01-01,Debt consolidation,,10.62%,226xx,VA,< 1 year,0
3500,2019-01-01,Other,,46.04%,240xx,VA,< 1 year,0
5000,2019-01-01,Other,,4.32%,633xx,MO,< 1 year,0
30000,2019-01-01,Other,,18.29%,836xx,ID,< 1 year,0
1000,2019-01-01,Other,,0.68%,857xx,AZ,< 1 year,0
10000,2019-01-01,Debt consolidation,,2.07%,359xx,AL,< 1 year,0
30000,2019-01-01,Debt consolidation,,37.11%,362xx,AL,< 1 year,0
3000,2019-01-01,Other,,10.25%,997xx,AK,< 1 year,0
6000,2019-01-01,Credit card refinancing,,72%,301xx,GA,< 1 year,0
30500,2019-01-01,Debt consolidation,,34.88%,180xx,PA,< 1 year,0
12000,2019-01-01,Debt consolidation,,38.82%,422xx,KY,< 1 year,0
10000,2019-01-01,Vacation,631,1%,787xx,TX,< 1 year,0
10000,2019-01-01,Other,,41.02%,883xx,NM,< 1 year,0
4600,2019-01-01,Credit card refinancing,,51.61%,243xx,VA,< 1 year,0
10000,2019-01-01,Other,,27.06%,333xx,FL,< 1 year,0
5000,2019-01-01,Major purchase,,0%,355xx,AL,< 1 year,0
5000,2019-01-01,Major purchase,,1.63%,656xx,MO,< 1 year,0
19500,2019-01-01,Debt consolidation,,17.05%,119xx,NY,< 1 year,0
12000,2019-01-01,Debt consolidation,,28.33%,770xx,TX,< 1 year,0
15000,2019-01-01,Other,,2.1%,496xx,MI,< 1 year,0
1400,2019-01-01,Other,672,0%,852xx,AZ,< 1 year,0
5000,2019-01-01,Other,,0%,294xx,SC,< 1 year,0
1000,2019-01-01,Other,,5.19%,235xx,VA,< 1 year,0
10000,2019-01-01,Debt consolidation,,14.66%,760xx,TX,< 1 year,0
12000,2019-01-01,Debt consolidation,,2.17%,681xx,NE,< 1 year,0
10000,2019-01-01,Other,,12.04%,958xx,CA,< 1 year,0
18000,2019-01-01,Debt consolidation,,20.28%,605xx,IL,< 1 year,0
