LOAN_IDENTIFIER,ORIGINATION_CHANNEL ,SELLER_NAME ,ORIGINAL_INTEREST_RATE ,ORIGINAL_UPB,ORIGINAL_LOAN_TERM ,ORIGINATION_DATE,FIRST_PAYMENT_DATE ,ORIGINAL_LOAN-TO-VALUE_(LTV) ,ORIGINAL_COMBINED_LOAN-TO-VALUE_(CLTV) ,NUMBER_OF_BORROWERS ,ORIGINAL_DEBT_TO_INCOME_RATIO,BORROWER_CREDIT_SCORE_AT_ORIGINATION ,FIRST_TIME_HOME_BUYER_INDICATOR ,LOAN_PURPOSE ,PROPERTY_TYPE,NUMBER_OF_UNITS,OCCUPANCY_TYPE,PROPERTY_STATE ,ZIP_CODE_SHORT,PRIMARY_MORTGAGE_INSURANCE_PERCENT ,PRODUCT_TYPE,CO-BORROWER_CREDIT_SCORE_AT_ORIGINATION ,MORTGAGE_INSURANCE_TYPE,RELOCATION_MORTGAGE_INDICATOR
100401342277,R,QUICKEN LOANS INC.,3.875,62000,180,05/2017,07/2017,35,35,1,23,796,N,C,SF,1,P,MO,650,,FRM,,,N
100404796587,R,"WELLS FARGO BANK, N.A.",5.375,113000,360,04/2017,06/2017,73,73,2,38,775,N,C,PU,1,I,MN,551,,FRM,794,,N
100406170497,C,"WELLS FARGO BANK, N.A.",4,125000,360,05/2017,07/2017,95,95,1,42,737,Y,P,SF,1,P,IA,503,25,FRM,,1,N
100407423688,R,"WELLS FARGO BANK, N.A.",4.125,361000,360,04/2017,06/2017,80,80,2,29,796,N,P,SF,1,P,WI,535,,FRM,786,,N
100413368573,R,OTHER,4.25,424000,360,04/2017,06/2017,88,88,2,44,700,N,P,PU,1,P,TX,750,25,FRM,758,1,N
100414230950,R,OTHER,3.375,172000,180,04/2017,06/2017,80,80,1,26,807,Y,P,SF,1,P,WI,546,,FRM,,,N
100414641304,C,OTHER,3.5,262000,180,01/2017,03/2017,80,80,1,24,803,N,C,SF,1,P,IL,600,,FRM,,,N
100418860408,R,"MOVEMENT MORTGAGE, LLC",4.125,164000,360,05/2017,07/2017,80,80,2,23,767,N,P,SF,1,P,TN,373,,FRM,791,,N
100420250184,C,QUICKEN LOANS INC.,4.99,256000,360,05/2017,07/2017,80,80,2,37,624,N,C,SF,1,P,SC,294,,FRM,654,,N
100424220657,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.125,65000,180,02/2017,04/2017,54,54,2,12,782,N,P,PU,1,I,AZ,857,,FRM,805,,N
100425273935,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",4.125,320000,360,05/2017,07/2017,83,83,1,28,774,N,R,PU,1,P,CA,925,12,FRM,,2,N
100428389120,R,"MOVEMENT MORTGAGE, LLC",4.375,57000,360,05/2017,07/2017,80,80,1,41,800,Y,P,SF,1,P,MO,644,,FRM,,,N
100429964370,B,"CALIBER HOME LOANS, INC.",4.75,90000,360,05/2017,07/2017,80,80,1,33,746,Y,P,CO,1,P,MI,483,,FRM,,,N
100430046105,B,OTHER,3.25,424000,180,04/2017,06/2017,65,65,1,35,675,Y,P,PU,1,P,GA,300,,FRM,,,N
100430287981,C,U.S. BANK N.A.,5,157000,360,03/2017,05/2017,95,105,1,33,655,Y,P,SF,1,P,FL,338,16,FRM,,1,N
100430542164,R,OTHER,4.5,84000,180,05/2017,07/2017,56,56,2,36,679,N,C,SF,1,P,FL,346,,FRM,690,,N
100431376922,C,"WELLS FARGO BANK, N.A.",4.75,208000,360,05/2017,07/2017,67,67,1,36,694,N,C,SF,1,P,CO,802,,FRM,,,N
100433315274,C,OTHER,3.5,132000,180,04/2017,06/2017,66,66,1,41,662,N,R,SF,1,P,IL,608,,FRM,,,N
100433500188,R,"WELLS FARGO BANK, N.A.",4,389000,360,03/2017,05/2017,75,75,1,48,809,N,P,CO,1,P,CA,902,,FRM,,,N
100433577519,B,OTHER,4.5,276000,360,04/2017,06/2017,80,80,2,43,740,N,C,CO,1,P,CA,917,,FRM,731,,N
100434365331,R,OTHER,3.375,385000,180,05/2017,07/2017,95,95,1,36,733,Y,P,PU,1,P,TX,750,25,FRM,,1,N
100434632417,R,OTHER,4.5,65000,240,04/2017,06/2017,49,49,1,32,661,N,C,MH,1,P,VA,245,,FRM,,,N
100437088098,R,OTHER,4,206000,360,06/2017,08/2017,45,45,2,27,785,N,P,SF,1,P,MN,564,,FRM,805,,N
100437728329,R,OTHER,4.375,316000,360,05/2017,07/2017,80,80,2,22,767,N,C,SF,1,P,VA,240,,FRM,770,,N
100437838149,R,"MOVEMENT MORTGAGE, LLC",4.125,162000,360,05/2017,07/2017,77,77,1,31,768,Y,P,PU,1,P,GA,301,,FRM,,,N
100438079827,C,PMTT4,4.375,620000,360,03/2017,05/2017,80,80,1,41,734,Y,P,SF,1,P,CA,945,,FRM,,,N
100446163356,R,OTHER,4.75,173000,360,04/2017,06/2017,75,75,1,36,727,N,C,SF,1,P,VA,243,,FRM,,,N
100447215936,C,OTHER,4.25,202000,360,05/2017,07/2017,80,80,2,33,771,Y,P,PU,1,P,MI,494,,FRM,746,,N
100448646059,C,U.S. BANK N.A.,5,192000,360,03/2017,05/2017,97,105,1,38,706,Y,P,SF,1,P,FL,335,18,FRM,,1,N
100450985428,R,QUICKEN LOANS INC.,4.99,100000,360,04/2017,06/2017,63,63,1,25,738,N,C,SF,1,P,TX,775,,FRM,,,N
100451185241,C,PENNYMAC CORP.,3.625,424000,180,03/2017,05/2017,68,68,2,40,782,N,P,PU,1,P,AZ,857,,FRM,747,,N
100452889137,R,SUNTRUST BANK,3.99,180000,360,05/2017,07/2017,80,80,2,27,742,N,P,PU,1,P,FL,349,,FRM,796,,N
100452900383,R,OTHER,3.5,100000,120,05/2017,07/2017,47,47,1,39,780,N,C,SF,1,P,NC,287,,FRM,,,N
100455765915,R,OTHER,4.75,340000,360,05/2017,07/2017,85,85,1,37,692,N,P,SF,1,P,NY,120,12,FRM,,1,N
100457698916,C,"WELLS FARGO BANK, N.A.",3.875,300000,360,04/2017,06/2017,80,80,2,48,787,N,P,SF,1,P,MN,554,,FRM,793,,N
100463524978,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",3,276000,180,04/2017,06/2017,80,80,1,32,803,N,P,PU,1,P,TX,774,,FRM,,,Y
100465982131,R,OTHER,4.375,202000,360,04/2017,06/2017,95,95,2,23,787,Y,P,PU,1,P,NC,276,30,FRM,768,1,N
100467577443,B,OTHER,3.25,275000,180,06/2017,08/2017,50,50,2,25,802,N,P,SF,1,P,IL,606,,FRM,808,,N
100467806674,R,OTHER,4.25,100000,240,04/2017,06/2017,80,80,2,20,679,N,R,MH,1,P,TX,751,,FRM,671,,N
100469140901,R,OTHER,4.625,290000,360,05/2017,07/2017,75,75,2,33,738,N,R,SF,1,P,CA,921,,FRM,653,,N
100472474714,R,QUICKEN LOANS INC.,5.125,144000,360,03/2017,05/2017,80,80,1,21,692,N,C,PU,1,P,TX,782,,FRM,,,N
100476434031,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.375,275000,360,02/2017,04/2017,29,29,2,50,809,N,C,SF,1,P,CA,949,,FRM,823,,N
100483362277,R,QUICKEN LOANS INC.,4.875,151000,360,03/2017,04/2017,57,57,1,26,643,N,C,SF,2,I,LA,701,,FRM,,,N
100487527595,C,"WELLS FARGO BANK, N.A.",4.25,228000,360,04/2017,06/2017,54,54,1,40,687,N,P,PU,1,P,CO,801,,FRM,,,N
100487752638,R,OTHER,4.375,287000,360,04/2017,06/2017,80,80,1,46,748,N,P,PU,1,P,TX,787,,FRM,,,N
100489615282,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",4.125,290000,360,05/2017,07/2017,80,80,2,44,756,Y,P,PU,1,P,FL,333,,FRM,754,,N
100490710808,C,PMTT4,4.25,265000,360,03/2017,05/2017,92,92,1,39,761,N,P,SF,1,P,UT,840,30,FRM,,1,N
100491326483,C,"WELLS FARGO BANK, N.A.",4.25,320000,360,05/2017,07/2017,75,75,2,48,754,Y,P,SF,1,P,UT,840,,FRM,765,,N
100493888935,R,QUICKEN LOANS INC.,4.56,189000,360,05/2017,07/2017,88,88,2,45,792,N,R,CO,1,S,CA,922,25,FRM,735,1,N
100495661487,R,OTHER,4.5,144000,360,04/2017,06/2017,80,80,2,19,799,N,P,CO,1,S,SC,295,,FRM,777,,N
100496508236,C,"WELLS FARGO BANK, N.A.",4.25,275000,360,05/2017,07/2017,79,79,2,34,720,N,R,SF,1,P,CA,960,,FRM,737,,N
100497130680,C,"FLAGSTAR BANK, FSB",3.99,424000,360,03/2017,05/2017,69,69,1,48,816,N,P,CO,1,P,CO,802,,FRM,,,N
100497642927,R,SUNTRUST BANK,4.25,116000,360,03/2017,05/2017,95,95,1,45,735,N,P,CO,1,P,TX,770,30,FRM,,1,N
100500470530,C,"CITIMORTGAGE, INC.",4.5,151000,240,02/2017,04/2017,75,75,1,43,691,N,C,PU,1,P,CO,800,,FRM,,,N
100500948703,R,"LOANDEPOT.COM, LLC",4.25,285000,360,03/2017,05/2017,90,90,2,29,782,N,P,PU,1,P,CO,805,25,FRM,804,1,N
100507001641,R,QUICKEN LOANS INC.,4.5,64000,360,03/2017,05/2017,46,46,1,23,805,N,R,SF,1,P,IL,612,,FRM,,,N
100509420638,R,GUILD MORTGAGE COMPANY,3.5,133000,180,05/2017,07/2017,34,34,2,25,797,N,P,SF,1,P,OR,975,,FRM,801,,N
100514375240,R,"MOVEMENT MORTGAGE, LLC",4.125,365000,360,05/2017,07/2017,95,95,2,22,763,N,P,PU,1,P,OH,430,30,FRM,763,1,N
100516477627,C,OTHER,4.25,201000,360,03/2017,05/2017,80,80,1,26,754,Y,P,PU,1,P,TX,760,,FRM,,,N
100517649278,C,OTHER,4.5,106000,360,05/2017,07/2017,50,50,1,24,817,N,C,SF,1,P,VA,229,,FRM,,,N
100521038338,R,SUNTRUST BANK,3.375,165000,180,03/2017,05/2017,71,71,2,32,779,N,R,SF,1,P,IL,600,,FRM,790,,N
100524042045,C,PMTT4,4.125,120000,360,03/2017,05/2017,80,80,2,24,780,N,C,SF,1,P,TN,371,,FRM,797,,N
100524629355,R,"NATIONSTAR MORTGAGE, LLC",4.75,198000,360,05/2017,07/2017,63,63,1,42,693,N,R,SF,1,P,CA,900,,FRM,,,N
100527320237,R,OTHER,4.375,306000,360,05/2017,07/2017,74,89,2,44,755,N,R,SF,1,P,CA,913,,FRM,773,,N
100528750880,C,"WELLS FARGO BANK, N.A.",4,463000,360,05/2017,07/2017,75,75,1,34,784,N,P,PU,1,P,TN,372,,FRM,,,N
100529663627,R,OTHER,4.25,93000,360,04/2017,06/2017,95,95,1,42,687,N,R,SF,1,P,TX,799,30,FRM,,1,N
100534234539,C,"WELLS FARGO BANK, N.A.",4.5,327000,360,03/2017,05/2017,85,85,2,28,743,N,P,PU,1,P,AZ,850,12,FRM,709,1,N
100535010915,R,OTHER,4.375,140000,360,04/2017,06/2017,80,80,1,40,784,N,P,SF,1,P,PA,170,,FRM,,,N
100535649897,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.25,178000,360,04/2017,06/2017,95,95,1,37,715,Y,P,CO,1,P,UT,840,30,FRM,,1,N
100539364485,R,"NATIONSTAR MORTGAGE, LLC",4.375,173000,180,05/2017,07/2017,69,69,1,28,625,N,C,PU,1,P,TX,786,,FRM,,,N
100542548365,R,GUILD MORTGAGE COMPANY,4.625,215000,360,04/2017,06/2017,61,61,2,36,723,N,P,SF,1,I,CA,958,,FRM,745,,N
100548034126,C,DITECH FINANCIAL LLC,4.625,147000,360,04/2017,06/2017,30,30,2,43,786,N,P,PU,1,I,CA,921,,FRM,804,,N
100552471721,R,QUICKEN LOANS INC.,4.625,187000,360,03/2017,05/2017,97,97,1,35,728,Y,P,SF,1,P,ME,47,35,FRM,,1,N
100555944929,R,OTHER,4.125,282000,360,03/2017,05/2017,44,44,2,23,784,N,C,SF,1,P,CA,928,,FRM,782,,N
100562848857,R,OTHER,3.625,214000,360,11/2016,01/2017,80,80,1,42,756,N,C,SF,1,P,WA,982,,FRM,,,N
100563686166,R,OTHER,4.25,121000,360,03/2017,05/2017,55,55,1,44,748,N,P,PU,1,P,CA,952,,FRM,,,N
100564685128,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.625,115000,360,01/2017,03/2017,22,22,2,25,818,N,R,PU,1,P,CA,957,,FRM,791,,N
100564830441,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.375,337000,360,05/2017,07/2017,95,95,2,30,784,Y,P,SF,1,P,VA,201,30,FRM,763,2,N
100566790571,R,OTHER,4.375,173000,360,06/2017,08/2017,70,70,2,48,782,N,P,SF,1,P,NE,681,,FRM,786,,N
100567177297,R,OTHER,4.25,282000,360,04/2017,06/2017,80,80,1,19,774,N,R,SF,1,P,UT,840,,FRM,,,N
100567975321,R,OTHER,3.25,388000,180,04/2017,06/2017,80,80,2,49,807,N,P,PU,1,P,IN,460,,FRM,807,,N
100572169652,C,OTHER,3.75,26000,180,04/2017,06/2017,80,80,1,14,768,Y,P,SF,1,P,PA,157,,FRM,,,N
100573694629,C,"WELLS FARGO BANK, N.A.",4,199000,360,05/2017,07/2017,75,75,1,44,768,N,P,PU,1,I,TX,787,,FRM,,,N
100574009472,B,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.375,227000,360,05/2017,07/2017,95,95,2,25,800,N,P,PU,1,P,TX,760,30,FRM,794,1,N
100575262292,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.5,375000,360,03/2017,05/2017,80,80,1,44,753,N,C,CO,1,P,CA,926,,FRM,,,N
100575339940,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",4.125,301000,360,03/2017,05/2017,52,52,2,12,793,N,R,SF,1,P,NY,108,,FRM,747,,N
100575498156,R,OTHER,4.5,92000,360,05/2017,07/2017,80,85,1,30,726,Y,P,SF,1,P,FL,323,,FRM,,,N
100576951919,R,OTHER,4.875,64000,360,04/2017,06/2017,80,80,1,43,788,N,P,SF,1,I,TN,381,,FRM,,,N
100578792516,R,OTHER,4.25,211000,360,03/2017,05/2017,95,95,2,44,748,N,P,SF,1,P,UT,847,30,FRM,778,1,N
100582786412,B,OTHER,5.125,112000,360,04/2017,06/2017,95,95,1,21,666,Y,P,CO,1,P,TN,372,30,FRM,,1,N
100582878988,R,OTHER,4.5,275000,360,03/2017,05/2017,34,58,2,27,817,N,C,PU,1,P,CA,920,,FRM,816,,N
100586677899,C,"AMERIHOME MORTGAGE COMPANY, LLC",5.125,130000,360,04/2017,06/2017,73,73,1,37,800,N,R,SF,1,I,UT,840,,FRM,,,N
100587091745,R,OTHER,3.375,120000,180,01/2017,04/2017,79,79,1,13,798,N,R,PU,1,P,AL,358,,FRM,,,N
100587440577,R,OTHER,3.05,424000,180,04/2017,06/2017,37,37,2,31,781,N,R,CO,1,P,CA,904,,FRM,789,,N
100587995384,R,"WELLS FARGO BANK, N.A.",3.75,309000,360,03/2017,05/2017,80,80,1,20,740,Y,P,PU,1,P,CO,805,,FRM,,,N
100589364481,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",3.5,197000,180,05/2017,08/2017,92,92,2,43,715,N,R,SF,1,P,PA,193,25,FRM,785,1,N
100593700700,C,"WELLS FARGO BANK, N.A.",4.5,176000,360,05/2017,07/2017,80,80,1,37,794,N,P,PU,1,P,TX,797,,FRM,,,N
100596058055,C,OTHER,4.375,163000,360,03/2017,05/2017,95,95,1,42,755,N,P,PU,1,P,NE,685,30,FRM,,1,N
100596996052,R,OTHER,4.125,170000,360,05/2017,07/2017,69,69,2,41,630,N,R,SF,1,P,KY,411,,FRM,674,,N
100597665867,C,OTHER,3.25,262000,180,04/2017,06/2017,80,80,1,37,771,N,R,PU,1,P,MI,481,,FRM,,,N
100597816480,C,SUNTRUST BANK,3.375,424000,180,02/2017,04/2017,29,61,1,17,766,N,R,SF,1,P,AR,722,,FRM,,,N
100599351669,R,OTHER,3.375,89000,180,03/2017,05/2017,69,69,2,41,735,N,P,SF,1,P,MA,13,,FRM,780,,N
100600437153,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.25,378000,360,03/2017,05/2017,80,80,2,45,754,N,P,PU,1,P,NE,681,,FRM,738,,N
100601388977,C,PENNYMAC CORP.,4,135000,360,04/2017,06/2017,53,53,2,21,794,N,P,SF,1,P,GA,315,,FRM,809,,N
100604883906,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.125,245000,360,03/2017,05/2017,76,76,1,29,805,N,P,CO,1,P,MI,480,,FRM,,,N
100605954047,R,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",3.5,373000,180,05/2017,07/2017,54,54,1,28,770,N,C,CO,1,P,MI,481,,FRM,,,N
100606627129,B,OTHER,5.25,64000,360,05/2017,07/2017,80,80,2,47,725,Y,P,MH,1,P,AZ,864,,FRM,672,,N
100610383457,R,OTHER,3.25,152000,180,06/2017,08/2017,78,78,2,44,671,N,R,SF,1,P,NY,131,,FRM,633,,N
100612022951,R,DITECH FINANCIAL LLC,4.125,212000,180,04/2017,06/2017,59,59,2,49,760,N,C,SF,1,P,MT,599,,FRM,744,,N
100618258937,R,GUILD MORTGAGE COMPANY,4.5,270000,360,04/2017,06/2017,97,97,1,45,763,N,P,SF,1,P,CO,802,25,FRM,,1,N
100620521793,R,OTHER,4.25,246000,360,06/2017,08/2017,80,80,1,38,793,Y,P,PU,1,P,VA,201,,FRM,,,N
100622815355,R,OTHER,4.375,172000,360,06/2017,08/2017,45,89,2,29,719,N,P,CO,1,P,TX,787,,FRM,804,,N
100624209234,R,OTHER,3.25,50000,120,02/2017,04/2017,50,69,1,43,750,N,R,SF,1,P,NM,880,,FRM,,,N
100625819557,R,OTHER,3.99,248000,360,05/2017,07/2017,60,60,1,14,748,N,P,CO,1,P,RI,28,,FRM,,,N
100626261595,C,OTHER,4.15,112000,360,03/2017,05/2017,80,80,2,43,722,N,C,SF,1,P,ND,582,,FRM,742,,N
100626280059,B,OTHER,5.125,136000,360,05/2017,07/2017,80,80,1,45,726,N,P,SF,1,I,GA,300,,FRM,,,N
100626756120,C,"WELLS FARGO BANK, N.A.",5.625,67000,360,04/2017,06/2017,75,75,1,31,625,N,R,CO,1,I,AZ,853,,FRM,,,N
100626789852,R,OTHER,4.25,297000,360,03/2017,05/2017,90,90,1,42,793,N,P,PU,1,P,FL,347,25,FRM,,1,N
100628034644,R,OTHER,5.125,331000,360,04/2017,06/2017,90,90,1,43,715,N,P,PU,1,S,AZ,850,25,FRM,,1,N
100629007134,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,447000,360,01/2017,03/2017,80,80,2,46,705,N,P,SF,1,P,CA,945,,FRM,692,,N
100629885099,R,OTHER,3.875,180000,360,05/2017,07/2017,60,60,2,40,801,N,P,PU,1,P,IN,471,,FRM,766,,N
100634580743,R,"MOVEMENT MORTGAGE, LLC",4.25,200000,360,05/2017,07/2017,80,80,2,28,808,N,P,PU,1,P,FL,327,,FRM,789,,N
100636100915,R,"WELLS FARGO BANK, N.A.",4.125,193000,360,05/2017,07/2017,97,97,1,45,759,Y,P,PU,1,P,ID,837,25,FRM,,1,N
100638349053,R,OTHER,3.375,130000,180,03/2017,05/2017,54,54,2,31,737,N,C,SF,1,P,CA,923,,FRM,682,,N
100640969941,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.25,240000,360,03/2017,05/2017,97,97,1,27,773,Y,P,PU,1,P,LA,708,35,FRM,,2,N
100643855096,R,OTHER,4.375,399000,360,04/2017,06/2017,52,52,1,42,756,Y,P,PU,1,P,VA,220,,FRM,,,N
100643933643,R,OTHER,4,85000,360,05/2017,07/2017,83,83,1,42,682,Y,P,CO,1,P,WI,537,12,FRM,,1,N
100644224930,R,OTHER,4.125,320000,360,06/2017,08/2017,80,80,2,25,755,N,R,SF,1,P,TX,757,,FRM,797,,N
100645717875,C,OTHER,3.25,171000,180,03/2017,05/2017,73,73,2,42,755,N,R,SF,1,P,TX,793,,FRM,663,,N
100646641633,C,"WELLS FARGO BANK, N.A.",4.75,205000,360,02/2017,04/2017,70,70,2,43,783,Y,P,SF,1,P,FL,330,,FRM,670,,N
100647839698,C,"FLAGSTAR BANK, FSB",4.25,485000,360,05/2017,07/2017,95,95,2,40,755,N,P,PU,1,P,CO,800,30,FRM,767,1,N
100650232625,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.625,226000,360,04/2017,06/2017,63,63,2,42,714,N,C,PU,1,P,IN,463,,FRM,791,,N
100651070385,R,OTHER,4.375,234000,360,03/2017,05/2017,95,95,1,27,792,Y,P,SF,1,P,TX,750,30,FRM,,1,N
100654776127,C,"FLAGSTAR BANK, FSB",3.49,313000,360,12/2016,02/2017,80,80,2,38,805,N,P,SF,1,P,OR,973,,FRM,808,,N
100656542723,R,OTHER,4.25,312000,360,04/2017,06/2017,80,80,2,44,681,N,P,SF,1,P,PR,7,,FRM,681,,N
100659023784,R,OTHER,3.5,97000,180,02/2017,05/2017,85,85,1,18,776,N,R,SF,1,P,NC,285,6,FRM,,1,N
100659871097,C,"WELLS FARGO BANK, N.A.",5.25,636000,360,03/2017,05/2017,74,74,2,39,674,Y,P,SF,1,P,CA,917,,FRM,647,,N
100661825247,R,OTHER,4.25,166000,360,03/2017,05/2017,53,53,2,13,806,N,P,SF,1,P,IA,527,,FRM,770,,N
100666739425,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.5,223000,360,05/2017,07/2017,66,66,1,45,778,N,C,SF,1,P,MO,640,,FRM,,,N
100674924031,C,OTHER,5.125,306000,360,04/2017,06/2017,97,97,1,45,702,Y,P,SF,1,P,CO,800,18,FRM,,1,N
100678349648,R,OTHER,3.5,136000,180,04/2017,06/2017,80,80,1,28,715,N,C,SF,1,P,PA,193,,FRM,,,N
100679241515,R,OTHER,4,200000,360,05/2017,07/2017,66,66,3,44,801,N,P,SF,1,P,GA,314,,FRM,787,,N
100680419142,R,"WELLS FARGO BANK, N.A.",5,131000,360,03/2017,05/2017,80,80,1,31,788,N,P,SF,1,I,GA,301,,FRM,,,N
100680614754,C,DITECH FINANCIAL LLC,4.875,369000,360,05/2017,07/2017,90,90,2,35,700,N,R,SF,1,P,CA,917,25,FRM,743,2,N
100681958998,R,OTHER,4.375,60000,360,05/2017,07/2017,49,49,1,33,734,N,C,CO,1,P,FL,334,,FRM,,,N
100686977988,C,"WELLS FARGO BANK, N.A.",4.25,273000,360,02/2017,04/2017,89,89,1,31,780,Y,P,SF,1,P,WA,986,25,FRM,,1,N
100687660759,C,"FLAGSTAR BANK, FSB",3.625,375000,180,04/2017,06/2017,52,52,2,29,803,N,C,SF,1,P,IL,600,,FRM,789,,N
100688114085,R,OTHER,4.25,360000,360,06/2017,08/2017,78,78,1,43,789,N,P,SF,1,P,TX,770,,FRM,,,N
100693461774,B,OTHER,4.625,146000,360,03/2017,05/2017,80,80,2,16,731,N,R,PU,1,P,NM,871,,FRM,714,,N
100695008116,R,OTHER,4.125,324000,360,05/2017,07/2017,92,92,2,28,750,N,P,PU,1,P,OH,430,30,FRM,742,1,N
100695688341,R,OTHER,3.875,109000,180,06/2017,08/2017,48,48,2,36,792,N,C,SF,1,P,OH,451,,FRM,801,,N
100695701947,R,OTHER,4,200000,360,06/2017,08/2017,80,80,2,31,715,Y,P,SF,1,P,NH,32,,FRM,715,,N
100698980720,R,QUICKEN LOANS INC.,4.99,289000,360,05/2017,07/2017,75,75,1,28,640,N,C,PU,1,P,TX,766,,FRM,,,N
100700858293,C,"WELLS FARGO BANK, N.A.",4.25,161000,360,02/2017,04/2017,94,94,2,41,791,Y,P,SF,1,P,IL,601,30,FRM,812,1,N
100702674764,R,OTHER,4.625,175000,240,03/2017,06/2017,64,64,2,43,706,N,C,PU,1,P,FL,330,,FRM,644,,N
100705211158,C,PMTT4,4.375,291000,360,03/2017,05/2017,75,75,1,45,734,N,C,SF,1,P,MN,551,,FRM,,,N
100710818110,R,OTHER,4.25,141000,360,06/2017,08/2017,80,80,1,33,746,N,R,SF,1,P,IL,612,,FRM,,,N
100710882521,C,FRANKLIN AMERICAN MORTGAGE COMPANY,3.875,62000,180,05/2017,07/2017,95,95,1,28,674,N,P,SF,1,P,MI,485,25,FRM,,1,N
100713339246,R,OTHER,3.875,320000,180,02/2017,04/2017,80,80,1,33,756,N,C,PU,1,P,NC,282,,FRM,,,N
100713777785,R,"WELLS FARGO BANK, N.A.",4,399000,360,04/2017,06/2017,75,75,2,19,794,N,P,PU,1,P,SC,297,,FRM,794,,N
100714909405,R,OTHER,5.125,110000,360,02/2017,04/2017,64,64,1,39,737,N,C,SF,2,I,TX,750,,FRM,,,N
100717747630,C,OTHER,4.625,377000,360,05/2017,07/2017,66,66,2,41,767,N,C,CO,1,I,CA,921,,FRM,797,,N
100719143167,C,PMTT4,4.375,274000,360,03/2017,05/2017,95,95,2,34,781,N,P,PU,1,P,NM,871,30,FRM,788,1,N
100719886209,C,U.S. BANK N.A.,4,54000,360,02/2017,04/2017,95,95,2,38,736,Y,P,SF,1,P,NE,686,16,FRM,788,1,N
100724073418,C,PENNYMAC CORP.,4.625,384000,240,05/2017,07/2017,80,80,2,42,695,N,C,SF,1,P,WA,980,,FRM,710,,N
100726170968,R,OTHER,3.999,65000,360,05/2017,07/2017,19,19,2,18,788,N,P,PU,1,P,VA,224,,FRM,791,,N
100728081151,C,PMTT4,4.25,273000,360,04/2017,06/2017,80,80,1,24,788,Y,P,PU,1,P,MO,630,,FRM,,,N
100730250299,R,OTHER,3,262000,180,06/2017,07/2017,52,52,2,35,778,N,R,SF,1,P,CA,958,,FRM,803,,N
100730564926,C,OTHER,4.125,185000,360,01/2017,03/2017,97,97,1,41,798,Y,P,PU,1,P,NC,273,18,FRM,,1,N
100733913209,B,PMTT4,4.125,215000,360,04/2017,06/2017,90,90,3,34,787,Y,P,SF,1,P,GA,314,25,FRM,780,1,N
100734083141,R,OTHER,4.25,110000,360,05/2017,08/2017,23,23,1,42,686,N,R,SF,1,P,NH,38,,FRM,,,N
100737156173,R,OTHER,4.25,70000,360,06/2017,08/2017,80,80,2,23,803,N,P,SF,1,P,MI,490,,FRM,783,,N
100741011089,B,"FLAGSTAR BANK, FSB",4.375,216000,360,03/2017,05/2017,80,80,2,34,799,N,P,SF,1,P,AZ,864,,FRM,801,,N
100745734043,R,OTHER,3.5,213000,180,06/2017,08/2017,80,80,2,23,806,Y,P,SF,1,P,FL,323,,FRM,806,,N
100746087927,R,QUICKEN LOANS INC.,4.625,188000,360,02/2017,04/2017,70,70,1,37,647,N,C,SF,1,P,MI,493,,FRM,,,N
100747915000,R,OTHER,4.625,130000,360,05/2017,07/2017,95,95,1,42,699,Y,P,SF,1,P,TX,785,30,FRM,,1,N
100750438281,R,"LOANDEPOT.COM, LLC",4.875,338000,360,03/2017,05/2017,90,90,2,43,664,Y,P,SF,1,P,CA,900,25,FRM,640,1,N
100752887327,R,OTHER,4.625,68000,360,05/2017,07/2017,80,80,2,42,774,N,P,SF,1,P,IA,515,,FRM,696,,N
100754445294,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.75,190000,360,02/2017,04/2017,95,95,2,29,803,Y,P,SF,1,P,TX,778,30,FRM,731,1,N
100755432040,R,"WELLS FARGO BANK, N.A.",4.125,252000,360,05/2017,07/2017,80,80,2,33,811,N,P,SF,1,S,AZ,864,,FRM,788,,N
100760205455,R,OTHER,4.625,159000,360,05/2017,07/2017,73,73,1,41,635,Y,P,PU,1,P,TX,786,,FRM,,,N
